"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Parugu","2008","lead","Yes","","tmdb","0.50","Exists","23776",""
"Aarya 2","2009","lead","Yes","","tmdb","0.50","Exists","34763",""
"Aarya","2004","lead","Yes","","tmdb","0.50","Exists","80880",""
"Happy","2006","lead","Yes","","tmdb","0.50","Exists","81060",""
"Bunny","2005","lead","Yes","","tmdb","0.50","Exists","83824",""
"Badrinath","2011","lead","Yes","","tmdb","0.50","Exists","77715",""
"Vedam","2010","lead","Yes","","tmdb","0.50","Exists","97342",""
"Julayi","2012","lead","Yes","","tmdb","0.50","Exists","125835",""
"Desamuduru","2007","lead","Yes","","tmdb","0.50","Exists","117058",""
"Gangotri","2003","lead","Yes","","tmdb","0.50","Added","117092",""
"Iddarammayilatho","2013","lead","Yes","","tmdb","0.50","Exists","197999",""
"Yevadu","2014","cameo","No","","tmdb","0.50","Added","215248",""
"Varudu","2010","lead","Yes","","tmdb","0.50","Exists","244941",""
"Race Gurram","2014","lead","Yes","","tmdb","0.50","Exists","262227",""
"Daddy","2001","cameo","No","","tmdb","0.50","Added","278422",""
"I Am That Change","2014","lead","Yes","","tmdb","0.50","Exists","287477",""
"Rudhramadevi","2015","lead","Yes","","tmdb","0.50","Added","315009",""
"Shankar Dada Zindabad","2007","cameo","No","","tmdb","0.50","Added","63811",""
"Son of Satyamurthy","2015","lead","Yes","","tmdb","0.50","Exists","333876",""
"Sarrainodu","2016","lead","Yes","","tmdb","0.50","Exists","374954",""
"DJ: Duvvada Jagannadham","2017","lead","Yes","","tmdb","0.50","Exists","443635",""
"Naa Peru Surya - Naa Illu India","2018","lead","Yes","","tmdb","0.50","Exists","500494",""
"Ala Vaikunthapurramuloo","2020","lead","Yes","","tmdb","0.50","Exists","628241",""
"Pushpa: The Rise","2021","lead","Yes","","tmdb","0.50","Exists","690957",""
"Pushpa 2 - The Rule","2024","lead","Yes","","tmdb","0.50","Exists","857598",""
"Swati Muthyam","1986","child_actor","No","","tmdb","0.50","Added","30344",""
"Vijetha","1985","child_actor","No","","tmdb","0.50","Added","279310",""
