Year	Title	Slug	Hero	Heroine	Director	Music Director	Cinematographer	Editor	Writer	Producer	TMDB ID	Genres
	AA22xA6	aa22xa6-tba	Allu Arjun	Deepika Padukone	Atlee	Sai Abhyankkar	G. K. Vishnu	Antony L. Ruben	Atlee	Kalanithi Maran	1411614	Action; Science Fiction
	Pushpa 3 - The Rampage	pushpa-3-the-rampage-tba	Allu Arjun	Rashmika Mandanna	Sukumar	Devi Sri Prasad	Mirosław Kuba Brożek	Naveen Nooli	Sukumar	Naveen Yerneni	1300535	Action; Crime; Thriller
2024	Buddy	buddy-2024	Allu Sirish	Gayatri Bhardwaj	Sam Anton	HipHop Tamizha Adhi			Sam Anton	K. E. Gnanavelraja	1230407	Action; Comedy
2024	Pushpa 2 - The Rule	pushpa-2-the-rule-2024	Allu Arjun	Rashmika Mandanna	Sukumar	Devi Sri Prasad	Mirosław Kuba Brożek	Naveen Nooli	Sukumar	Y. Ravi Shankar	857598	Action; Drama; Thriller; Crime
2022	Urvasivo Rakshasivo	urvasivo-rakshasivo-2022	Allu Sirish	Anu Emmanuel	Rakesh Shashi	Achu Rajamani	Tanveer Mir	Karthika Srinivas	Rakesh Shashi	Dheeraj Mogilineni	1033866	Romance; Comedy
2021	Pushpa: The Rise	pushpa-the-rise-2021	Allu Arjun	Rashmika Mandanna	Sukumar	Devi Sri Prasad	Mirosław Kuba Brożek	Karthika Srinivas	Sukumar	Naveen Yerneni	690957	Action; Drama; Thriller
2020	Ala Vaikunthapurramuloo	ala-vaikunthapurramuloo-2020	Allu Arjun	Pooja Hegde	Trivikram Srinivas	S. Thaman	P. S. Vinod	Naveen Nooli	Trivikram Srinivas	S. Radha Krishna	628241	Action; Comedy; Drama
2019	Abcd: American-born Confused Desi	abcd-american-born-confused-desi-2019	Allu Sirish	Rukshar Dhillon	Sanjeev Reddy	Judah Sandhy	Raam Reddy	Naveen Nooli	Sooraj-Neeraj	Yash Rangineni	587711	Comedy
2018	Naa Peru Surya	naa-peru-surya-2018	Allu Arjun	Anu Emmanuel	Vakkantham Vamsi	Vakkantham Vamsi	Rajeev Ravi	Kotagiri Venkateswara Rao	Vakkantham Vamsi	Sirisha Sridhar Lagadapati	500494	Action; Drama; Romance
2018	Naa Peru Surya - Naa Illu India	naa-peru-surya-naa-illu-india-2018	Allu Arjun	Anu Emmanuel	Vakkantham Vamsi	Vishal Dadlani	Rajeev Ravi	Kotagiri Venkateswara Rao	Vakkantham Vamsi	Nagendra Babu	500494	Action
2017	Yuddha Bhoomi (1971 Beyond Borders)	yuddha-bhoomi-1971-beyond-borders-1971	Allu Sirish	Srushti Dange	Major Ravi	Siddharth Vipin	Sujith Vaassudev	Samjith Mhd.	Major Ravi	Haneef Mohammed	428741	Drama; War
2017	Duvvada Jagannadham	duvvada-jagannadham-2017	Allu Arjun	Pooja Hegde	Harish Shankar	Harish Shankar	Ayananka Bose	Chota K. Prasad	Harish Shankar	Dil Raju	443635	Action; Comedy; Family
2017	DJ: Duvvada Jagannadham	dj-duvvada-jagannadham-2017	Allu Arjun	Pooja Hegde	Harish Shankar	Devi Sri Prasad	Ayananka Bose	Chota K. Prasad	Harish Shankar	Dil Raju	443635	Action; Comedy; Crime
2017	Okka Kshanam	okka-kshanam-2017	Allu Sirish	Surbhi	Vi Anand	Mani Sharma	Shyam K. Naidu	Chota K. Prasad	Vi Anand	Chakri Chigurupati Razesh Danda	494987	Action; Romance; Thriller
2016	Sarrainodu	sarrainodu-2016	Allu Arjun	Rakul Preet Singh	Boyapati Srinu	S. Thaman	Rishi Punjabi		Boyapati Srinu	Allu Aravind	374954	Action; Drama
2015	Son of Satyamurthy	son-of-satyamurthy-2015	Allu Arjun	Samantha	Trivikram Srinivas	Devi Sri Prasad	Prasad Murella	Prawin Pudi	Trivikram Srinivas	S. Radha Krishna	333876	Drama; Action; Comedy; Family
2015	S/O Satyamurthy	s-o-satyamurthy-2015	Allu Arjun	Upendra	Trivikram Srinivas	Trivikram Srinivas	Prasad Murella	Prawin Pudi	Trivikram Srinivas	S. Radha Krishna	333876	Drama; Action; Comedy; Family
2014	Kotha Janta	kotha-janta-2014	Allu Sirish	Regina Cassandra	Maruthi	Jeevan Babu	Richard Prasad	S. B. Uddhav	Maruthi	Allu Aravind	227057	Comedy; Romance; Drama
