"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Chintakayala Ravi","2008","lead","Yes","","tmdb, wikidata","0.75","Added","22052","tt1187038"
"Arundhati","2009","lead","Yes","","tmdb, wikidata","0.75","Exists","31629","tt1361809"
"Billa","2009","lead","Yes","","tmdb, wikidata","0.75","Added","23766","tt1525323"
"Vikramarkudu","2006","lead","Yes","","tmdb, wikidata","0.75","Exists","40909","tt0858492"
"Kedi","2010","lead","Yes","","tmdb","0.50","Added","41337",""
"Singam","2010","lead","Yes","","tmdb, wikidata","0.75","Added","62756","tt1655607"
"Vettaikaaran","2009","lead","Yes","","tmdb, wikidata","0.75","Added","63635","tt1570732"
"Deiva Thirumagal","2011","lead","Yes","","tmdb, wikidata","0.75","Added","63964","tt1857670"
"Don","2007","lead","Yes","","tmdb, wikidata","0.75","Exists","66107","tt1169270"
"Vaanam","2011","lead","Yes","","tmdb, wikidata","0.75","Exists","66207","tt1712057"
"Swagatam","2008","lead","Yes","","tmdb, wikidata","0.75","Exists","69448","tt1156337"
"Irandam Ulagam","2013","lead","Yes","","tmdb, wikidata","0.75","Exists","69510","tt3107246"
"Rendu","2006","lead","Yes","","tmdb","0.50","Exists","69583",""
"Nagavalli","2010","lead","Yes","","tmdb","0.50","Exists","83154",""
"Souryam","2008","lead","Yes","","tmdb, wikidata","0.75","Exists","73140","tt1612039"
"Ragada","2010","lead","Yes","","tmdb, wikidata","0.75","Added","54069","tt1754394"
"Khaleja","2010","supporting","No","","tmdb, wikidata","0.75","Exists","56986","tt1582519"
"Thaandavam","2012","lead","Yes","","tmdb","0.50","Added","78686",""
"Vedam","2010","lead","Yes","","tmdb, wikidata","0.75","Exists","97342","tt1649431"
"Alex Pandian","2013","lead","Yes","","tmdb, wikidata","0.75","Exists","155491","tt2614032"
"Damarukam","2012","lead","Yes","","tmdb","0.50","Exists","145335",""
"Asthram","2006","lead","Yes","","tmdb","0.50","Added","115070",""
"Baladur","2008","lead","Yes","","tmdb, wikidata","0.75","Added","115267","tt1263658"
"Thakita Thakita","2010","supporting","No","","tmdb","0.50","Added","145893",""
"Super","2005","lead","Yes","","tmdb, wikidata","0.75","Added","148839","tt0475735"
"Okka Magaadu","2008","lead","Yes","","tmdb","0.50","Added","137468",""
"Singam 2","2013","lead","Yes","","tmdb","0.50","Added","191735",""
"Mirchi","2013","lead","Yes","","tmdb, wikidata","0.75","Exists","176590","tt2469980"
"Stalin","2006","supporting","No","","tmdb","0.50","Added","242911",""
"Bāhubali: The Beginning","2015","supporting","No","","tmdb","0.50","Added","256040",""
"Lingaa","2014","lead","Yes","","tmdb, wikidata","0.75","Added","300425","tt4020624"
"Yennai Arindhaal","2015","supporting","No","","tmdb","0.50","Added","300983",""
"Rudhramadevi","2015","lead","Yes","","tmdb, wikidata","0.75","Exists","315009","tt2807410"
"Panchakshari","2010","lead","Yes","","tmdb, wikidata","0.75","Added","308283","tt1629737"
"Miss. Shetty Mr. Polishetty","2023","lead","Yes","","tmdb, wikidata","0.75","Exists","1045385","tt15891388"
"Ghaati","2025","lead","Yes","","tmdb","0.50","Exists","1249926",""
"Bāhubali 2: The Conclusion","2017","lead","Yes","","tmdb","0.50","Added","350312",""
"Inji Iduppazhagi","2015","lead","Yes","","tmdb","0.50","Exists","357708",""
"King","2008","cameo","No","","tmdb","0.50","Added","71918",""
"Oopiri","2016","cameo","No","","tmdb","0.50","Added","369925",""
"Si 3","2017","lead","Yes","","tmdb","0.50","Added","376440",""
"Soggade Chinni Nayana","2016","cameo","No","","tmdb","0.50","Added","378777",""
"Om Namo Venkatesaya","2017","lead","Yes","","tmdb, wikidata","0.75","Exists","443640","tt6182372"
"Bhaagamathie","2018","lead","Yes","","tmdb","0.50","Exists","485789",""
"Mahanandi","2005","lead","Yes","","tmdb","0.50","Added","81081",""
"Lakshyam","2007","lead","Yes","","tmdb, wikidata","0.75","Exists","81079","tt1043851"
"N.T.R: Kathanayakudu","2019","supporting","No","","tmdb","0.50","Added","568522",""
"Sye Raa Narasimha Reddy","2019","supporting","No","","tmdb","0.50","Added","496495",""
"Nishabdham","2020","lead","Yes","","tmdb","0.50","Exists","648705",""
"Saguni","2012","supporting","No","","tmdb","0.50","Added","67635",""
"Bāhubali: The Epic","2025","lead","Yes","","tmdb","0.50","Added","1511417",""
"Lakshyam","1993","supporting","No","","wikidata","0.50","Added","","tt1043851"
"Dhamarukam","2012","supporting","No","","wikidata","0.50","Added","","tt1842347"
"Baahubali: The Beginning","2015","supporting","No","","wikidata","0.50","Added","","tt2631186"
"Well, If You Know Me","2015","supporting","No","","wikidata","0.50","Added","","tt4258292"
"Baahubali: The Beginning","2016","supporting","No","","wikidata","0.50","Added","","tt2631186"
"Baahubali: The Beginning","2017","supporting","No","","wikidata","0.50","Added","","tt2631186"
"Baahubali 2: The Conclusion","2017","supporting","No","","wikidata","0.50","Exists","","tt4849438"
"Baahubali 2: The Conclusion","2018","supporting","No","","wikidata","0.50","Exists","","tt4849438"
"Bhagmati","2018","supporting","No","","wikidata","0.50","Added","","tt6727296"
