name1,id1,slug1,name2,id2,slug2,match_type,similarity,confidence,action,keep_id,reason
"Aadi","bd03d4e0-7ac8-46d0-be57-956c3fc0f048","celeb-aadi","Aadi Saikumar","3c8c9b48-081b-4839-8866-3adad4d9b47a","celeb-aadi-saikumar","fuzzy_medium",0.9000,0.7650,"manual_review","bd03d4e0-7ac8-46d0-be57-956c3fc0f048","Different name format (initials vs full)"
"Ajay","d6e855cd-0052-4bbb-8edb-9474ef269a7d","celeb-ajay","Ajay Ghosh","53248273-747b-4e8d-bbd1-42967a70b0f7","celeb-ajay-ghosh","fuzzy_medium",0.9000,0.7650,"manual_review","d6e855cd-0052-4bbb-8edb-9474ef269a7d","Different name format (initials vs full)"
"Akkineni Nagarjuna","7ea66985-c6f8-4f52-a51b-1dc9fd3f184d","akkineni-nagarjuna","Arjun","2f114413-4da7-4620-8268-131f25ccc599","celeb-arjun","fuzzy_medium",0.9000,0.7650,"manual_review","7ea66985-c6f8-4f52-a51b-1dc9fd3f184d","Different name format (initials vs full)"
"Ali","4287391f-f22b-454d-9d04-f41951af6cfe","celeb-ali","Ali Basha","ca7cc781-8ed0-4b31-bfbc-9fe8b2cbbcb1","celeb-ali-basha","fuzzy_medium",0.9000,0.7650,"manual_review","4287391f-f22b-454d-9d04-f41951af6cfe","Different name format (initials vs full)"
"Allu","fa67cbeb-adcc-49e1-9418-77e29ddc0aac","celeb-allu","Allu Arjun","e772a33c-504c-47f1-b723-ea9a47869638","allu-arjun","fuzzy_medium",0.9000,0.7650,"manual_review","fa67cbeb-adcc-49e1-9418-77e29ddc0aac","Different name format (initials vs full)"
"Allu","fa67cbeb-adcc-49e1-9418-77e29ddc0aac","celeb-allu","Allu Rama Lingaiah","02eb7a20-8f3c-4bfa-abc3-d29fd781ab68","celeb-allu-rama-lingaiah","fuzzy_medium",0.9000,0.7650,"manual_review","fa67cbeb-adcc-49e1-9418-77e29ddc0aac","Different name format (initials vs full)"
"Allu","fa67cbeb-adcc-49e1-9418-77e29ddc0aac","celeb-allu","Allu Sirish","1134f0bd-ef21-4da2-907e-0b117d516131","celeb-allu-sirish","fuzzy_medium",0.9000,0.7650,"manual_review","fa67cbeb-adcc-49e1-9418-77e29ddc0aac","Different name format (initials vs full)"
"Allu Arjun","e772a33c-504c-47f1-b723-ea9a47869638","allu-arjun","Arjun","2f114413-4da7-4620-8268-131f25ccc599","celeb-arjun","fuzzy_medium",0.9000,0.7650,"manual_review","2f114413-4da7-4620-8268-131f25ccc599","Different name format (initials vs full)"
"Amala","2cffc92c-3c92-4aca-9278-ecac6adc1d94","celeb-amala","Amala Akkineni","5cc0bf8b-1e64-4dcd-9323-a431403c8102","celeb-amala-akkineni","fuzzy_medium",0.9000,0.7650,"manual_review","2cffc92c-3c92-4aca-9278-ecac6adc1d94","Different name format (initials vs full)"
"Anjali","705b822f-216f-486e-964f-24109b906846","celeb-anjali","Anjali Devi","130a4f9c-be79-4127-b5f9-1893d86fd243","anjali-devi","fuzzy_medium",0.9000,0.7650,"manual_review","130a4f9c-be79-4127-b5f9-1893d86fd243","Different name format (initials vs full)"
"Arjun","2f114413-4da7-4620-8268-131f25ccc599","celeb-arjun","Arjun Sarja","546d92b5-c541-4231-9758-d1933cc80619","celeb-arjun-sarja","fuzzy_medium",0.9000,0.7650,"manual_review","2f114413-4da7-4620-8268-131f25ccc599","Different name format (initials vs full)"
"B","1c01255a-ae10-4035-8ec7-22f485487955","celeb-b","B. A. Subba Rao","69cd0724-45fc-4b3b-bdf0-3e82df130897","celeb-b-a-subba-rao","fuzzy_medium",0.9000,0.7650,"manual_review","1c01255a-ae10-4035-8ec7-22f485487955","Different name format (initials vs full)"
"B","1c01255a-ae10-4035-8ec7-22f485487955","celeb-b","B. Gopal","529e301a-be7d-4c5e-b1a6-f21f83d65b2f","celeb-b-gopal","fuzzy_medium",0.9000,0.7650,"manual_review","1c01255a-ae10-4035-8ec7-22f485487955","Different name format (initials vs full)"
"B","1c01255a-ae10-4035-8ec7-22f485487955","celeb-b","B. S. Narayana","436fc400-e5f4-41ab-9524-0c95c3bce078","celeb-b-s-narayana","fuzzy_medium",0.9000,0.7650,"manual_review","1c01255a-ae10-4035-8ec7-22f485487955","Different name format (initials vs full)"
"B","1c01255a-ae10-4035-8ec7-22f485487955","celeb-b","B. S. Ranga","d4b45e2b-17cd-41f1-baf8-951e804c800a","celeb-b-s-ranga","fuzzy_medium",0.9000,0.7650,"manual_review","1c01255a-ae10-4035-8ec7-22f485487955","Different name format (initials vs full)"
