Category,Priority,MovieID,Title,Year,Issue,Details,ActionNeeded
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, unknown_variation","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, unknown_variation","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
Fuzzy Duplicates,high,,undefined vs undefined,,Potential duplicate,"100.0%% title similarity, transliteration_variant","Review and merge if same movie, or mark as distinct"
