Type,Movie,Year,Field,Current Value,Suggested Value,Confidence,Details,Action
duplicate,"Palleturi Monagadu",1983,-,"-","-",89%,"Duplicate of ""Palletoori Monagadu"" (1983) - 89% similar",flag_review
duplicate,"Simhapuri Simham",1983,-,"-","-",88%,"Duplicate of ""Simhapoori Simham"" (1983) - 88% similar",flag_review
duplicate,"Adavi Donga",1985,-,"-","-",90%,"Duplicate of ""Donga"" (1985) - 90% similar",flag_review
duplicate,"Alluda Majaka",1995,-,"-","-",86%,"Duplicate of ""Alludaa Majakaa"" (1995) - 86% similar",flag_review
ghost_entry,"Anji",2004,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Tagore",2003,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Annayya",2000,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Iddaru Mitrulu",1999,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Sneham Kosam",1999,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Bavagaru Bagunnara",1998,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Master",1997,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Big Boss",1995,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Rikshavodu",1995,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Stuartpuram Police Station",1991,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Stuvartpuram Dongalu",1991,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Kondaveeti Donga",1990,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
ghost_entry,"Pratibandh",1990,-,"-","-",0%,"Chiranjeevi not in TMDB cast. Top cast: ",report_only
