"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Best Actor – Telugu","1982","lead","Yes","","wikipedia","0.50","Added","",""
"Vijetha","1985","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0246315"
"Aapadbandhavudu","1992","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0245679"
"Muta Mestri","1993","lead","Yes","","wikipedia","0.50","Exists","",""
"Sneham Kosam","1999","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0246240"
"Indra","2002","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0319557"
"Shankar Dada MBBS","2004","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0408181"
"Special Award – South","2006","lead","Yes","","wikipedia","0.50","Added","",""
"Lifetime Achievement Award – South","2010","lead","Yes","","wikipedia","0.50","Added","",""
"Best Actor – Telugu","2023","lead","Yes","","wikipedia","0.50","Added","",""
"Best Actor – Telugu","2024","lead","Yes","","wikipedia","0.50","Added","",""
"Best Actor","1987","lead","Yes","","wikipedia","0.50","Exists","",""
"Raghupathi Venkaiah Award","2016","lead","Yes","","wikipedia","0.50","Added","",""
"Pranam Khareedu","1978","supporting","No","","wikidata","0.50","Exists","","tt0246162"
"Mana Voori Pandavulu","1978","supporting","No","","wikidata","0.50","Added","","tt0155853"
"Kothala Raayudu","1979","supporting","No","","wikidata","0.50","Exists","","tt0246010"
"Kukka Katuku Cheppu Debba","1979","supporting","No","","wikidata","0.50","Exists","","tt0246023"
"Punadhirallu","1979","supporting","No","","wikidata","0.50","Exists","","tt0215087"
"Sri Rambantu","1979","supporting","No","","wikidata","0.50","Added","","tt0246251"
"Thathayya Premaleelalu","1980","supporting","No","","wikidata","0.50","Exists","","tt0246275"
"Love In Singapore","1980","supporting","No","","wikidata","0.50","Exists","","tt7855902"
"Nakili Manishi","1980","supporting","No","","wikidata","0.50","Exists","","tt0246109"
"Aarani Mantalu","1980","supporting","No","","wikidata","0.50","Exists","","tt0245680"
"Agni Sanskaram","1980","supporting","No","","wikidata","0.50","Added","","tt0245690"
"Chandipriya","1980","supporting","No","","wikidata","0.50","Exists","","tt0245828"
"Jathara","1980","supporting","No","","wikidata","0.50","Exists","","tt0245979"
"Kottapeta Rowdy","1980","supporting","No","","wikidata","0.50","Added","","tt0246012"
"Mogudu Kaavali","1980","supporting","No","","wikidata","0.50","Exists","","tt0246081"
"Mosagadu","1980","supporting","No","","wikidata","0.50","Added","","tt0246089"
"Prema Tarangalu","1980","supporting","No","","wikidata","0.50","Added","","tt0246166"
"Punnami Naagu","1980","supporting","No","","wikidata","0.50","Exists","","tt0246177"
"Rakta Sambandham","1980","supporting","No","","wikidata","0.50","Added","","tt0246187"
"Thodu Dongalu","1981","supporting","No","","wikidata","0.50","Added","","tt0246281"
"Tirugu Leni Manishi","1981","supporting","No","","wikidata","0.50","Exists","","tt0246280"
"47 Rojulu","1981","supporting","No","","wikidata","0.50","Added","","tt0154101"
"Chattaniki Kallu Levu","1981","supporting","No","","wikidata","0.50","Exists","","tt0245830"
"Kirayi Rowdylu","1981","supporting","No","","wikidata","0.50","Exists","","tt0246003"
"Nyayam Kavali","1981","supporting","No","","wikidata","0.50","Exists","","tt0246114"
"Ooriki Ichina Maata","1981","supporting","No","","wikidata","0.50","Added","","tt0246130"
"Paravathi Parameshwarulu","1981","supporting","No","","wikidata","0.50","Added","","tt0246141"
"Rani Kasula Rangamma","1981","supporting","No","","wikidata","0.50","Exists","","tt0187444"
"Srirasthu Subhamasthu","1981","supporting","No","","wikidata","0.50","Exists","","tt0246252"
"Tingu Rangadu","1982","supporting","No","","wikidata","0.50","Exists","","tt0246279"
"Yamakinkarudu","1982","supporting","No","","wikidata","0.50","Exists","","tt0246338"
"Subhalekha","1982","supporting","No","","wikidata","0.50","Exists","","tt0246258"
"Bandhalu Anubandhalu","1982","supporting","No","","wikidata","0.50","Exists","","tt0245745"
"Idi Pellantara","1982","supporting","No","","wikidata","0.50","Exists","","tt0245962"
"Intlo Ramayya Veedilo Krishnayya","1982","supporting","No","","wikidata","0.50","Exists","","tt0245972"
"Manchu Pallaki","1982","supporting","No","","wikidata","0.50","Exists","","tt0248168"
"Mondi Ghatam","1982","supporting","No","","wikidata","0.50","Exists","","tt0246083"
"Patnam Vachina Pativrathalu","1982","supporting","No","","wikidata","0.50","Exists","","tt0246145"
"Radha My Darling","1982","supporting","No","","wikidata","0.50","Exists","","tt0246183"
"Sitadevi","1982","supporting","No","","wikidata","0.50","Exists","","tt0246235"
"Shivudu Shivudu Shivudu","1983","supporting","No","","wikidata","0.50","Exists","","tt0246230"
"Aalaya Sikharam","1983","supporting","No","","wikidata","0.50","Exists","","tt0245678"
"Gudachari No.1","1983","supporting","No","","wikidata","0.50","Exists","","tt0248051"
"Simhapuri Simham","1983","supporting","No","","wikidata","0.50","Exists","","tt0246234"
"Abhilasha","1983","supporting","No","","wikidata","0.50","Exists","","tt0245682"
"Khaidi","1983","supporting","No","","wikidata","0.50","Exists","","tt0245997"
"Maga Maharaju","1983","supporting","No","","wikidata","0.50","Exists","","tt0246053"
"Mantri Gari Viyyankudu","1983","supporting","No","","wikidata","0.50","Exists","","tt0155855"
"Palletoori Monagadu","1983","supporting","No","","wikidata","0.50","Exists","",""
"Prema Pichollu","1983","supporting","No","","wikidata","0.50","Exists","","tt0246165"
"Roshagadu","1983","supporting","No","","wikidata","0.50","Exists","","tt0246202"
"Sangharshana","1983","supporting","No","","wikidata","0.50","Exists","","tt0246213"
"Goonda","1984","supporting","No","","wikidata","0.50","Exists","","tt0245924"
"Agni Gundam","1984","supporting","No","","wikidata","0.50","Exists","","tt0245691"
"Allulu Vasthunnaru","1984","supporting","No","","wikidata","0.50","Exists","","tt0245705"
"Challenge","1984","supporting","No","","wikidata","0.50","Exists","","tt0245826"
"Devanthakudu","1984","supporting","No","","wikidata","0.50","Exists","","tt0245865"
"Hero","1984","supporting","No","","wikidata","0.50","Exists","","tt0245942"
"Intiguttu","1984","supporting","No","","wikidata","0.50","Exists","","tt0154645"
"Mahanagaramlo Mayagadu","1984","supporting","No","","wikidata","0.50","Exists","","tt0246057"
"Naagu","1984","supporting","No","","wikidata","0.50","Exists","","tt0246103"
"Rustum","1984","supporting","No","","wikidata","0.50","Exists","","tt0246206"
"Puli","1985","supporting","No","","wikidata","0.50","Added","","tt0246175"
"Adavi Donga","1985","supporting","No","","wikidata","0.50","Exists","","tt0245683"
"Chattamtho Poratam","1985","supporting","No","","wikidata","0.50","Exists","",""
"Donga","1985","supporting","No","","wikidata","0.50","Exists","","tt0245871"
"Raktha Sindhuram","1985","supporting","No","","wikidata","0.50","Added","","tt0246188"
