Type,Movie,Year,Field,Current Value,Suggested Value,Confidence,Details,Action
ghost_entry,"Anji",2004,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Shankar Dada M.B.B.S.",2004,hero,"Chiranjeevi","Omid Djalili",60%,"Only 1 source suggests Omid Djalili - manual review recommended",flag_review
ghost_entry,"S.P. Parasuram",1994,hero,"Chiranjeevi","Adolf Jahr",60%,"Only 1 source suggests Adolf Jahr - manual review recommended",flag_review
ghost_entry,"Mugguru Monagallu",1994,hero,"Chiranjeevi","Leslie Klug",60%,"Only 1 source suggests Leslie Klug - manual review recommended",flag_review
ghost_entry,"Muta Mestri",1993,hero,"Chiranjeevi","Bharat",60%,"Only 1 source suggests Bharat - manual review recommended",flag_review
ghost_entry,"Rowdy Alludu",1991,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Rudraveena",1988,hero,"Chiranjeevi","Kichiemon Nakamura II",60%,"Only 1 source suggests Kichiemon Nakamura II - manual review recommended",flag_review
ghost_entry,"Kirathakudu",1986,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Devanthakudu",1984,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Challenge",1984,hero,"Chiranjeevi","Jorge Negrete",60%,"Only 1 source suggests Jorge Negrete - manual review recommended",flag_review
ghost_entry,"Abhilasha",1983,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Khaidi",1983,hero,"Chiranjeevi","చిరంజీవి",60%,"Only 1 source suggests చిరంజీవి - manual review recommended",flag_review
ghost_entry,"Tingu Rangadu",1982,hero,"Chiranjeevi","Stephanie Leonidas",60%,"Only 1 source suggests Stephanie Leonidas - manual review recommended",flag_review
ghost_entry,"Rani Kasula Rangamma",1981,hero,"Chiranjeevi","Moon Lee Choi-Fung",60%,"Only 1 source suggests Moon Lee Choi-Fung - manual review recommended",flag_review
ghost_entry,"Aarani Mantalu",1980,hero,"Chiranjeevi","R. Nandintsetseg",60%,"Only 1 source suggests R. Nandintsetseg - manual review recommended",flag_review
ghost_entry,"Master",1997,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Indra",2002,hero,"Chiranjeevi","Makoto Shinkai",60%,"Only 1 source suggests Makoto Shinkai - manual review recommended",flag_review
ghost_entry,"Kondaveeti Donga",1990,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Marana Mrudangam",1988,hero,"Chiranjeevi","Luke Perry",60%,"Only 1 source suggests Luke Perry - manual review recommended",flag_review
ghost_entry,"Aradhana",1987,hero,"Chiranjeevi","Thalles Roberto",60%,"Only 1 source suggests Thalles Roberto - manual review recommended",flag_review
ghost_entry,"Chantabbai",1986,hero,"Chiranjeevi","Michael Ontkean",60%,"Only 1 source suggests Michael Ontkean - manual review recommended",flag_review
ghost_entry,"Vijetha",1985,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Goonda",1984,hero,"Chiranjeevi","Lucien Baroux",60%,"Only 1 source suggests Lucien Baroux - manual review recommended",flag_review
ghost_entry,"Subhalekha",1982,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Illanta Sandadi",1982,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Nyayam Kavali",1981,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Mogudu Kaavali",1980,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Nakili Manishi",1980,hero,"Chiranjeevi","David Lam Wai",60%,"Only 1 source suggests David Lam Wai - manual review recommended",flag_review
ghost_entry,"Punnami Naagu",1980,hero,"Chiranjeevi","Joey Wong",60%,"Only 1 source suggests Joey Wong - manual review recommended",flag_review
ghost_entry,"Chattaniki Kallu Levu",1981,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Kothala Raayudu",1979,hero,"Chiranjeevi","Kunchacko Boban",60%,"Only 1 source suggests Kunchacko Boban - manual review recommended",flag_review
ghost_entry,"State Rowdy",1989,hero,"Chiranjeevi","Moe Howard",60%,"Only 1 source suggests Moe Howard - manual review recommended",flag_review
ghost_entry,"Oorukichina Maata",1981,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Mahanagaramlo Mayagadu",1984,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Sangharshana",1983,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Billa Ranga",1982,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Manchu Pallaki",1982,hero,"Chiranjeevi","Stephanie Leonidas",60%,"Only 1 source suggests Stephanie Leonidas - manual review recommended",flag_review
ghost_entry,"Veta",1986,hero,"Chiranjeevi","Cemile Ilker",60%,"Only 1 source suggests Cemile Ilker - manual review recommended",flag_review
ghost_entry,"Prema Pichollu",1983,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Hitler",1997,hero,"Chiranjeevi","Allari Naresh",60%,"Only 1 source suggests Allari Naresh - manual review recommended",flag_review
ghost_entry,"Yamudiki Mogudu",1988,hero,"Chiranjeevi","Moe Howard",60%,"Only 1 source suggests Moe Howard - manual review recommended",flag_review
ghost_entry,"Antima Teerpu",1988,hero,"Chiranjeevi","Alexander Bakshaev",60%,"Only 1 source suggests Alexander Bakshaev - manual review recommended",flag_review
ghost_entry,"Rakshasudu",1986,hero,"Chiranjeevi","Campbell Scott",60%,"Only 1 source suggests Campbell Scott - manual review recommended",flag_review
ghost_entry,"Agni Samskaram",1980,hero,"Chiranjeevi","Lotta Losten",60%,"Only 1 source suggests Lotta Losten - manual review recommended",flag_review
ghost_entry,"Kodama Simham",1990,hero,"Chiranjeevi","Arthur Franz",60%,"Only 1 source suggests Arthur Franz - manual review recommended",flag_review
ghost_entry,"Jagadeka Veerudu Athiloka Sundari",1990,hero,"Chiranjeevi","Sean P. Donahue",60%,"Only 1 source suggests Sean P. Donahue - manual review recommended",flag_review
ghost_entry,"Chakravarthy",1987,hero,"Chiranjeevi","Mel Blanc",60%,"Only 1 source suggests Mel Blanc - manual review recommended",flag_review
ghost_entry,"Magadheerudu",1986,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Simhapuri Simham",1983,hero,"Chiranjeevi","Matt Smith",60%,"Only 1 source suggests Matt Smith - manual review recommended",flag_review
ghost_entry,"Inti Guttu",1984,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Kirayi Rowdylu",1981,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Adavi Donga",1985,hero,"Chiranjeevi","Rosângela Dias",60%,"Only 1 source suggests Rosângela Dias - manual review recommended",flag_review
ghost_entry,"Yamakinkarudu",1982,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
ghost_entry,"Rana",1984,hero,"Chiranjeevi","Roberta Fattor",60%,"Only 1 source suggests Roberta Fattor - manual review recommended",flag_review
ghost_entry,"Bandhalu Anubandhalu",1982,hero,"Chiranjeevi","Viveca Lindfors",60%,"Only 1 source suggests Viveca Lindfors - manual review recommended",flag_review
ghost_entry,"Radha My Darling",1982,hero,"Chiranjeevi","చిరంజీవి",60%,"Only 1 source suggests చిరంజీవి - manual review recommended",flag_review
ghost_entry,"I Love You",1979,hero,"Chiranjeevi","Kenichi Matsuyama",60%,"Only 1 source suggests Kenichi Matsuyama - manual review recommended",flag_review
ghost_entry,"Mega 159",2026,hero,"Chiranjeevi","-",40%,"No cast data found in any source - manual review required",report_only
