Year,Title,Slug,Hero,Heroine,Director,Music_Director,Cinematographer,Editor,Writer,Producer,TMDB_ID,Genres
2026,Vishwambhara,vishwambhara-2026,Chiranjeevi,Trisha Krishnan,Vassishta,M.M. Keeravani,Chota K. Naidu,Kotagiri Venkateswara Rao,Mallidi Vassishta,Vamsi-Pramod,1211111,Action; Fantasy
2026,Mana Shankara Vara Prasad Garu,msvp-2026,Chiranjeevi,Nayanthara,Anil Ravipudi,Bheems Ceciroleo,Sameer Reddy,Tammi Raju,Anil Ravipudi,Sahu Garapati,1146313,Comedy; Action
2026,Auto Jaani,auto-jaani-2026,Chiranjeevi,,Puri Jagannadh,Anirudh,Shyam K. Naidu,S. R. Shekhar,Puri Jagannadh,Puri Jagannadh,341935,Action; Drama
2026,Mega 159,mega-159-2026,Chiranjeevi,,Srikanth Odela,Santhosh Narayanan,Sathyan Sooryan,Naveen Nooli,Srikanth Odela,Sudhakar Cherukuri,1382410,Action; Drama
2023,Waltair Veerayya,waltair-veerayya-2023,Chiranjeevi,Shruti Haasan,Bobby Kolli,Devi Sri Prasad,Arthur A. Wilson,Niranjan Devaramane,Bobby Kolli,Naveen Yerneni,989017,Action; Comedy
2023,Bhola Shankar,bhola-shankar-2023,Chiranjeevi,Tamannaah,Meher Ramesh,Mahati Swara Sagar,Dudley,Marthand K Venkatesh,Meher Ramesh,Anil Sunkara,864221,Action; Drama
2022,Acharya,acharya-2022,Chiranjeevi,Pooja Hegde,Koratala Siva,Mani Sharma,Tirru,Naveen Nooli,Koratala Siva,Niranjan Reddy,679919,Action; Drama
2022,Godfather,godfather-2022,Chiranjeevi,Nayanthara,Mohan Raja,Thaman S,Nirav Shah,Marthand K Venkatesh,Mohan Raja,Konidela Production Company,863931,Action; Thriller
2019,Sye Raa Narasimha Reddy,sye-raa-narasimha-reddy-2019,Chiranjeevi,Nayanthara,Surender Reddy,Amit Trivedi,R. Rathnavelu,Sreekar Prasad,Paruchuri Brothers,Konidela Production Company,496495,Action; History
2017,Khaidi No. 150,khaidi-no-150-2017,Chiranjeevi,Kajal Aggarwal,V.V. Vinayak,Devi Sri Prasad,R. Rathnavelu,Gautham Raju,V.V. Vinayak,Konidela Production Company,412326,Action; Drama
2007,Shankar Dada Zindabad,shankar-dada-zindabad-2007,Chiranjeevi,Karishma Kotak,Prabhu Deva,Devi Sri Prasad,Chota K. Naidu,Marthand K Venkatesh,Prabhu Deva,Gemini Kiran,63811,Comedy; Drama
2006,Stalin,stalin-2006,Chiranjeevi,Trisha,A.R. Murugadoss,Mani Sharma,Chota K. Naidu,Anthony,A.R. Murugadoss,Nagendra Babu,242911,Action; Drama
2005,Andarivadu,andarivadu-2005,Chiranjeevi,"Tabu, Rimi Sen",Srinu Vaitla,Devi Sri Prasad,Sameer Reddy,Marthand K. Venkatesh,Srinu Vaitla,Allu Aravind,115066,Comedy; Action
2005,Jai Chiranjeeva,jai-chiranjeeva-2005,Chiranjeevi,Sameera Reddy,K. Vijaya Bhaskar,Mani Sharma,Venu,Kotagiri Venkateswara Rao,Trivikram Srinivas,C. Ashwini Dutt,117415,Action; Comedy
2004,Anji,anji-2004,Chiranjeevi,Namrata Shirodkar,Kodi Ramakrishna,Mani Sharma,Chota K. Naidu,K. V. Krishna Reddy,Kodi Ramakrishna,Shyam Prasad Reddy,115063,Fantasy; Action
2004,Shankar Dada M.B.B.S.,shankar-dada-m-b-b-s-2004,Chiranjeevi,Sonali Bendre,Jayanth C. Paranjee,Devi Sri Prasad,Chota K. Naidu,Kim Gaster,Jayanth C. Paranjee,Gemini Film Circuit,42171,Comedy; Drama
2003,Tagore,tagore-2003,Chiranjeevi,"Jyothika, Shriya",V.V. Vinayak,Mani Sharma,Chota K. Naidu,Gautham Raju,A.R. Murugadoss,B. Madhu,54170,Action; Drama
2002,Indra,indra-2002,Chiranjeevi,Sonali Bendre,B. Gopal,Mani Sharma,V.S.R. Swamy,Makoto Shinkai,Yandamuri Veerendranath,C. Ashwini Dutt,37910,Action; Drama
2001,Mrugaraju,mrugaraju-2001,Chiranjeevi,Simran,Gunasekhar,Mani Sharma,Sekhar V. Joseph,Cecilia Zanuso,Gunasekhar,K. Devi Vara Prasad,56399,Action; Adventure
2001,Daddy,daddy-2001,Chiranjeevi,"Simran, Ashima Bhalla",Suresh Krissna,S.A. Rajkumar,Chota K. Naidu,Marthand K Venkatesh,Suresh Krissna,Allu Aravind,278422,Drama; Family
2000,Annayya,annayya-2000,Chiranjeevi,Soundarya,Muthyala Subbaiah,Mani Sharma,Chota K. Naidu,Gowtham Raju,Muthyala Subbaiah,M. Venkataratnam,115059,Drama; Action
1999,Iddaru Mitrulu,iddaru-mitrulu-1999,Chiranjeevi,Sakshi Sivanand,K. Raghavendra Rao,Mani Sharma,Ajay Vincent,Marthand K. Venkatesh,Satyanand,C. Ashwini Dutt,115057,Drama; Romance
1999,Sneham Kosam,sneham-kosam-1999,Chiranjeevi,Meena,K.S. Ravikumar,S.A. Rajkumar,Arthur A. Wilson,Thanikachalam,K.S. Ravikumar,A.M. Rathnam,109630,Drama
1998,Bavagaru Bagunnara,bavagaru-bagunnara-1998,Chiranjeevi,Rambha,Jayanth C. Paranjee,Mani Sharma,M.V. Raghu,Marthand K. Venkatesh,Jayanth C. Paranjee,Nagendra Babu,108502,Action; Comedy
1998,Choodalani Vundi,choodalani-vundi-1998,Chiranjeevi,Soundarya,Gunasekhar,Mani Sharma,Chota K. Naidu,Jerome Thoms,Gunasekhar,C. Ashwini Dutt,37911,Action; Thriller
1997,Master,master-1997,Chiranjeevi,Sakshi Sivanand,Suresh Krissna,Deva,Chota K. Naidu,Marthand K. Venkatesh,Suresh Krissna,Allu Aravind,101370,Action; Drama
