Year,Title,Director,Music,Cinematographer,Editor,Writer,Producer,TMDB_ID,Genres,Rating,Missing_Fields
1979,"Punadhirallu","","","","","","","","","","Editor"
1979,"Kotta Alludu","","","","","","","","","","Cinematographer, Editor, Writer"
1980,"Mogudu Kaavali","","","","","","","","","","Music"
1981,"Rani Kasula Rangamma","","","","","","","","","","Editor"
1981,"Kirayi Rowdylu","","","","","","","","","","Writer"
1981,"Tirugu Leni Manishi","","","","","","","","","","Cinematographer, Editor, Writer, Producer, TMDB ID"
1981,"Parvathi Parameswarulu","","","","","","","","","","Music, Cinematographer, Editor, Writer, Producer, TMDB ID"
1981,"Todu Dongalu","","","","","","","","","","Music, Cinematographer, Editor, Writer, Producer"
1982,"Intlo Ramayya Veedhilo Krishnayya","","","","","","","","","","Editor"
1982,"Yamakinkarudu","","","","","","","","","","Editor, Writer, Rating"
1982,"Mondi Ghatam","","","","","","","","","","Editor, Writer, Rating"
1982,"Radha My Darling","","","","","","","","","","Editor, Rating"
1982,"Idi Pellantara","","","","","","","","","","Music, Cinematographer, Editor, Writer, Producer"
1982,"Sitadevi","","","","","","","","","","Music, Cinematographer, Editor, Writer, Producer"
1983,"Mantri Gari Viyyankudu","","","","","","","","","","Editor"
1983,"Aalaya Sikharam","","","","","","","","","","Editor"
1984,"Challenge","","","","","","","","","","Editor"
1984,"Agni Gundam","","","","","","","","","","Editor"
1984,"Allullostunnaru","","","","","","","","","","Editor"
1985,"Adavi Donga","","","","","","","","","","Editor, Writer, Rating"
1986,"Veta","","","","","","","","","","Writer"
1986,"Rakshasudu","","","","","","","","","","Editor"
1987,"Jebu Donga","","","","","","","","","","Editor, Writer, Rating"
1988,"Manchi Donga","","","","","","","","","","Writer"
1989,"Attaku Yamudu Ammayiki Mogudu","","","","","","","","","","Editor"
1990,"Raja Vikramarka","","","","","","","","","","Editor"
1993,"Mechanic Alludu","","","","","","","","","","Editor"
1994,"S.P. Parasuram","","","","","","","","","","Editor"
1994,"Mugguru Monagallu","","","","","","","","","","Writer"
1995,"Alluda Majaka","","","","","","","","","","Editor"
2026,"Vishwambhara","","","","","","","","","","Music, Cinematographer, Editor, Writer, Producer, TMDB ID, Rating"
2026,"Mega 159","","","","","","","","","","Music, Cinematographer, Editor, Writer, Producer, TMDB ID, Rating"
2026,"Auto Jaani","","","","","","","","","","Music, Cinematographer, Editor, Writer, Producer, TMDB ID, Rating"
