Year,Title,Slug,Director,Heroine,Music,Cinematographer,Editor,Writer,Producer,TMDB_ID,Missing
2026,"Mana Shankara Vara Prasad Garu",mana-shankara-vara-prasad-garu-2026,"Anil Ravipudi","Nayanthara","Anil Ravipudi","","Tammiraju","Anil Ravipudi","Sahu Garapati",,"Cine; TMDB"
2025,"Vishwambhara",vishwambhara-2025,"Malladi Vassishta","Trisha Krishnan","M.M. Keeravaani","","Kotagiri Venkateswara Rao","Malladi Vassishta","Vamsi Krishna Reddy",1229939,"Cine"
2023,"Waltair Veerayya",waltair-veerayya-2023,"Bobby Kolli","Shruti Haasan","Devi Sri Prasad","","Niranjan Devaramane","Bobby Kolli","Y. Ravi Shankar",989017,"Cine"
2023,"Bhola Shankar",bhola-shankar-2023,"Meher Ramesh","Keerthy Suresh, Tamannaah Bhatia","Mahati Swara Sagar","","Marthand K Venkatesh","Meher Ramesh","Anil Sunkara",864221,"Cine"
2022,"Acharya",acharya-2022,"Koratala Siva","Pooja Hegde","Mani Sharma","","Naveen Nooli","Koratala Siva","Niranjan Reddy",679919,"Cine"
2022,"Godfather",godfather-2022,"Mohan Raja","Nayanthara","S. Thaman","","Marthand K Venkatesh","Mohan Raja","R. B. Choudary",863931,"Cine"
2019,"Sye Raa Narasimha Reddy",sye-raa-narasimha-reddy-2019,"Surender Reddy","Nayanthara","Julius Packiam","","Sreekar Prasad","Surender Reddy","Ram Charan",496495,"Cine"
2017,"Khaidi No. 150",khaidi-no-150-2017,"V. V. Vinayak","Kajal Aggarwal","Devi Sri Prasad","","Gautham Raju","V. V. Vinayak","Ram Charan",412326,"Cine"
2015,"Rudra Tandava",rudra-tandava-2015,"Guru Deshpande","Radhika Kumaraswamy","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
2015,"Aatagara",aatagara-2015,"K. M. Chaitanya","Parul Yadav","","","","","",,"Cine; Edit; Writ; Prod; TMDB"
2007,"Shankar Dada Zindabad",shankar-dada-zindabad-2007,"Prabhu Deva","Srikanth","Devi Sri Prasad","","Marthand K Venkatesh","Rajkumar Hirani","Ravishankal Akkineni",63811,"Cine"
2006,"Stalin",stalin-2006,"A. R. Murugadoss","Trisha Krishnan, Khushbu Sundar","Mani Sharma","","Anthony","A. R. Murugadoss","Nagendra Babu",242911,"Cine"
2005,"Andarivadu",andarivadu-2005,"Vamsi Paidipally","Meera Jasmine","Devi Sri Prasad","","Marthand K. Venkatesh","Kona Venkat","Allu Aravind",,"Cine; TMDB"
2005,"Jai Chiranjeeva",jai-chiranjeeva-2005,"K. Vijaya Bhaskar","Apu Biswas","Mani Sharma","","Kotagiri Venkateswara Rao","Trivikram Srinivas","C. Ashwini Dutt",117415,"Cine"
2004,"Anji",anji-2004,"Kodi Ramakrishna","Reema Sen","Mani Sharma","","K V Krishna Reddy","Satyanand Pydipalli","M Shyam Prasad Reddy",115067,"Cine"
2004,"Shankar Dada M.B.B.S.",shankar-dada-m-b-b-s-2004,"Jayanth C. Paranjee","Sonali Bendre","Devi Sri Prasad","","Marthand K. Venkatesh","","Ganesh Raja",148884,"Cine; Writ"
2003,"Tagore",tagore-2003,"V. V. Vinayak","Shriya Saran","Mani Sharma","","","A. R. Murugadoss","B. Madhu",97343,"Cine; Edit"
2002,"Indra",indra-2002,"B. Gopal","Sonali Bendre, Aarti Agarwal","Stephen Warbeck","","David Gamble","Marc Norman","Harvey Weinstein",,"Cine; TMDB"
2001,"Daddy",daddy-2001,"Suresh Krissna","Ashima Bhalla","S.A. Rajkumar","","Marthand K. Venkatesh","Satyanand","Allu Aravind",,"Cine; TMDB"
