Section,Title,Year,Slug,Current Value,Suggested Value,Action
Ghost Entry,"Mana Shankara Vara Prasad Garu",2026,msvp-2026,Chiranjeevi,"Rodrigo Ramirez",Re-attribute
Ghost Entry,"Auto Jaani",2026,auto-jaani-2026,Chiranjeevi,"Élie Semoun",Re-attribute
Ghost Entry,"Vishwambhara",2026,vishwambhara-2026,Chiranjeevi,"Su Ling Chan",Re-attribute
Ghost Entry,"Mega 159",2026,mega-159-2026,Chiranjeevi,"",Re-attribute
Ghost Entry,"Rudra Tandava",2015,rudra-tandava-2015,Chiranjeevi Sarja,"Chiranjeevi Sarja",Re-attribute
Ghost Entry,"Aatagara",2015,aatagara-2015,Chiranjeevi Sarja,"Chiranjeevi Sarja",Re-attribute
Ghost Entry,"Anji",2004,anji-2004,Chiranjeevi,"",Re-attribute
Ghost Entry,"Shankar Dada M.B.B.S.",2004,shankar-dada-m-b-b-s-2004,Chiranjeevi,"Omid Djalili",Re-attribute
Ghost Entry,"Tagore",2003,tagore-2003,Chiranjeevi,"",Re-attribute
Ghost Entry,"Indra",2002,indra-2002,Chiranjeevi,"Makoto Shinkai",Re-attribute
Ghost Entry,"Mrugaraju",2001,mrugaraju-2001,Chiranjeevi,"Silvio Orlando",Re-attribute
Ghost Entry,"Annayya",2000,annayya-2000,Chiranjeevi,"",Re-attribute
Ghost Entry,"Iddaru Mitrulu",1999,iddaru-mitrulu-1999,Chiranjeevi,"",Re-attribute
Ghost Entry,"Sneham Kosam",1999,sneham-kosam-1999,Chiranjeevi,"",Re-attribute
Ghost Entry,"Choodalani Vundi",1998,choodalani-vundi-1998,Chiranjeevi,"Guy Madison",Re-attribute
Ghost Entry,"Bavagaru Bagunnara",1998,bavagaru-bagunnara-1998,Chiranjeevi,"",Re-attribute
Ghost Entry,"Master",1997,master-1997,Chiranjeevi,"",Re-attribute
Ghost Entry,"Hitler",1997,hitler-1997,Chiranjeevi,"Allari Naresh",Re-attribute
Ghost Entry,"Big Boss",1995,big-boss-1995,Chiranjeevi,"",Re-attribute
Ghost Entry,"Alluda Majaka",1995,alluda-majaka-1995,Chiranjeevi,"Aleksey Batalov",Re-attribute
Ghost Entry,"Rikshavodu",1995,rikshavodu-1995,Chiranjeevi,"",Re-attribute
Ghost Entry,"Mugguru Monagallu",1994,mugguru-monagallu-1994,Chiranjeevi,"Leslie Klug",Re-attribute
Ghost Entry,"S.P. Parasuram",1994,sp-parasuram-1994,Chiranjeevi,"Adolf Jahr",Re-attribute
Ghost Entry,"The Gentleman",1994,the-gentleman-1994,Chiranjeevi,"",Re-attribute
Ghost Entry,"Muta Mestri",1993,muta-mestri-1993,Chiranjeevi,"Bharat",Re-attribute
Ghost Entry,"Mechanic Alludu",1993,mechanic-alludu-1993,Chiranjeevi,"Katherine Hicks",Re-attribute
Ghost Entry,"Aapadbandhavudu",1992,aapadbandhavudu-1992,Chiranjeevi,"Robert Iannucci",Re-attribute
Ghost Entry,"Gharana Mogudu",1992,gharana-mogudu-1992,Chiranjeevi,"Gene Kelly",Re-attribute
Ghost Entry,"Aaj Ka Goonda Raaj",1992,aaj-ka-goonda-raaj-1992,Chiranjeevi,"Robert Young",Re-attribute
Ghost Entry,"Rowdy Alludu",1991,rowdy-alludu-1991,Chiranjeevi,"",Re-attribute
Ghost Entry,"Gang Leader",1991,gang-leader-1991,Chiranjeevi,"Tom Alter",Re-attribute
Ghost Entry,"Stuartpuram Police Station",1991,stuartpuram-police-station-1991,Chiranjeevi,"",Re-attribute
Ghost Entry,"Stuvartpuram Dongalu",1991,stuvartpuram-dongalu-1991,Chiranjeevi,"",Re-attribute
Ghost Entry,"Kodama Simham",1990,kodama-simham-1990,Chiranjeevi,"Arthur Franz",Re-attribute
Ghost Entry,"Kondaveeti Donga",1990,kondaveeti-donga-1990,Chiranjeevi,"",Re-attribute
Ghost Entry,"Pratibandh",1990,pratibandh-1990,Chiranjeevi,"",Re-attribute
Ghost Entry,"Jagadeka Veerudu Athiloka Sundari",1990,jagadeka-veerudu-athiloka-sundari-1990,Chiranjeevi,"Sean P. Donahue",Re-attribute
Ghost Entry,"Rudranetra",1989,rudranetra-1989,Chiranjeevi,"",Re-attribute
Ghost Entry,"State Rowdy",1989,state-rowdy-1989,Chiranjeevi,"Moe Howard",Re-attribute
Ghost Entry,"Khaidi No.786",1988,khaidi-no786-1988,Chiranjeevi,"",Re-attribute
Ghost Entry,"Manchi Donga",1988,manchi-donga-1988,Chiranjeevi,"Burton Cummings",Re-attribute
Ghost Entry,"Rudraveena",1988,rudraveena-1988,Chiranjeevi,"Kichiemon Nakamura II",Re-attribute
Ghost Entry,"Antima Teerpu",1988,antima-teerpu-1988,Chiranjeevi,"Alexander Bakshaev",Re-attribute
Ghost Entry,"Yamudiki Mogudu",1988,yamudiki-mogudu-1988,Chiranjeevi,"Moe Howard",Re-attribute
Ghost Entry,"Marana Mrudangam",1988,marana-mrudangam-1988,Chiranjeevi,"Luke Perry",Re-attribute
Ghost Entry,"Trinetrudu",1988,trinetrudu-1988,Chiranjeevi,"",Re-attribute
Ghost Entry,"Jebu Donga",1987,jebu-donga-1987,Chiranjeevi,"Franco Franchi",Re-attribute
Ghost Entry,"Swayamkrushi",1987,swayamkrushi-1987,Chiranjeevi,"Maria Schell",Re-attribute
Ghost Entry,"Donga Mogudu",1987,donga-mogudu-1987,Chiranjeevi,"",Re-attribute
Ghost Entry,"Aradhana",1987,aradhana-1987,Chiranjeevi,"Thalles Roberto",Re-attribute
Ghost Entry,"Pasivadi Pranam",1987,pasivadi-pranam-1987,Chiranjeevi,"",Re-attribute
Ghost Entry,"Chakravarthy",1987,chakravarthy-1987,Chiranjeevi,"Mel Blanc",Re-attribute
Ghost Entry,"Chantabbai",1986,chantabbai-1986,Chiranjeevi,"Michael Ontkean",Re-attribute
Ghost Entry,"Kondaveeti Raja",1986,kondaveeti-raja-1986,Chiranjeevi,"Florian David Fitz",Re-attribute
Ghost Entry,"Dhairyavanthudu",1986,dhairyavanthudu-1986,Chiranjeevi,"Éric Antoine",Re-attribute
Ghost Entry,"Magadheerudu",1986,magadheerudu-1986,Chiranjeevi,"",Re-attribute
Ghost Entry,"Veta",1986,veta-1986,Chiranjeevi,"Cemile Ilker",Re-attribute
Ghost Entry,"Rakshasudu",1986,rakshasudu-1986,Chiranjeevi,"Campbell Scott",Re-attribute
Ghost Entry,"Kirathakudu",1986,kirathakudu-1986,Chiranjeevi,"",Re-attribute
Ghost Entry,"Rakta Sindhuram",1985,rakta-sindhuram-1985,Chiranjeevi,"Antoine Bonnaire",Re-attribute
Ghost Entry,"Donga",1985,donga-1985,Chiranjeevi,"",Re-attribute
Ghost Entry,"Jwala",1985,jwala-1985,Chiranjeevi,"Kayo Matsuo",Re-attribute
Ghost Entry,"Adavi Donga",1985,adavi-donga-1985,Chiranjeevi,"Rosângela Dias",Re-attribute
Ghost Entry,"Vijetha",1985,vijetha-1985,Chiranjeevi,"",Re-attribute
Ghost Entry,"Chattamtho Poratam",1985,chattamtho-poratam-1985,Chiranjeevi,"",Re-attribute
Ghost Entry,"Allullostunnaru",1984,allullostunnaru-1984,Chiranjeevi,"Lucio Dalla",Re-attribute
Ghost Entry,"Inti Guttu",1984,inti-guttu-1984,Chiranjeevi,"",Re-attribute
Ghost Entry,"Challenge",1984,challenge-1984,Chiranjeevi,"Jorge Negrete",Re-attribute
Ghost Entry,"Rana",1984,rana-1984,Chiranjeevi,"Roberta Fattor",Re-attribute
Ghost Entry,"Koteeswarudu",1984,koteeswarudu-1984,Chiranjeevi,"Nizhalgal Ravi",Re-attribute
Ghost Entry,"Hero",1984,hero-1984,Chiranjeevi,"Piotr Rogucki",Re-attribute
Ghost Entry,"Naagu",1984,naagu-1984,Chiranjeevi,"",Re-attribute
Ghost Entry,"Goonda",1984,goonda-1984,Chiranjeevi,"Lucien Baroux",Re-attribute
Ghost Entry,"Agni Gundam",1984,agni-gundam-1984,Chiranjeevi,"Joaquín Coss",Re-attribute
Ghost Entry,"Devanthakudu",1984,devanthakudu-1984,Chiranjeevi,"",Re-attribute
Ghost Entry,"Rustum",1984,rustum-1984,Chiranjeevi,"",Re-attribute
Ghost Entry,"Mahanagaramlo Mayagadu",1984,mahanagaramlo-mayagadu-1984,Chiranjeevi,"",Re-attribute
Missing Film,"Manavoori Pandavulu",1978,,714721,"Parthu",Add
Missing Film,"Idi Katha Kaadu",1979,,429534,"",Add
Missing Film,"Prema Tarangalu",1980,,938158,"Kumar",Add
Missing Film,"Mosagadu",1980,,279362,"",Add
Missing Film,"Kottapeta Rowdy",1980,,1301219,"",Add
Missing Film,"Ooriki Ichina Maata",1981,,279352,"",Add
Missing Film,"Priya",1981,,279360,"",Add
Missing Film,"Srirasthu Shubamasthu",1981,,676776,"",Add
Missing Film,"Puli",1985,,279313,"",Add
Missing Film,"Dairyavanthudu",1986,,279297,"",Add
Missing Film,"Chanakya Shapadham",1986,,279294,"Chanakya",Add
Missing Film,"Hands Up",2000,,279108,"Guest Appearance",Add
Missing Film,"Sri Manjunatha",2001,,66519,"Lord Shiva",Add
Missing Film,"Style",2006,,224953,"Cameo",Add
Missing Film,"Magadheera",2009,,23790,"Boss",Add
Missing Film,"Jagadguru Adi Shankara",2013,,244025,"Lord Shiva",Add
Missing Film,"Bruce Lee - The Fighter",2015,,364080,"Cameo (Himself)",Add
