"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Best Actor – Telugu","1993","lead","Yes","","wikipedia","0.50","Exists","",""
"Subhalagnam","1994","lead","Yes","","wikipedia","0.50","Added","",""
"Maavichiguru","1996","lead","Yes","","wikipedia","0.50","Added","",""
"Chilakkottudu","1997","lead","Yes","","wikipedia","0.50","Added","",""
"Best Supporting Actor – Telugu","2005","lead","Yes","","wikipedia","0.50","Exists","",""
"Lakshyam","2007","lead","Yes","","wikipedia","0.50","Added","",""
"Kathanayakudu","2008","lead","Yes","","wikipedia","0.50","Added","",""
"Jai Bolo Telangana","2011","lead","Yes","","wikipedia","0.50","Exists","",""
"Legend","2014","lead","Yes","","wikipedia","0.50","Added","",""
"Srimanthudu","2015","lead","Yes","","wikipedia","0.50","Added","",""
"Nannaku Prematho","2016","lead","Yes","","wikipedia","0.50","Added","",""
"Aravinda Sametha Veera Raghava","2018","lead","Yes","","wikipedia","0.50","Added","",""
"Special Jury Award","1989","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Actor","1993","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Supporting Actor","1998","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Actor","2000","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Supporting Actor","2007","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Villain","2014","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Actor in a Negative Role (Telugu)","2014","lead","Yes","","wikipedia","0.50","Exists","",""
"Rangasthalam","2019","lead","Yes","","wikipedia","0.50","Exists","",""
"Maharshi","2021","lead","Yes","","wikipedia","0.50","Exists","",""
"Special Jury Award","2016","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Actor in a Negative Role (Malayalam)","2016","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Actor in a Negative Role (Tamil)","2021","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Supporting Actor","2016","lead","Yes","","wikipedia","0.50","Exists","",""
"Best Actor in a Negative Role","2017","lead","Yes","","wikipedia","0.50","Exists","",""
