"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Bhoomi Kosam","1974","lead","Yes","","wikipedia","0.50","Added","",""
"Naaku Swatantram Vachindi","1975","lead","Yes","","wikipedia","0.50","Added","",""
"Manmatha Leelai","1976","lead","Yes","","wikipedia","0.50","Exists","",""
"Bhadrakali","1977","lead","Yes","","wikipedia","0.50","Exists","",""
"Nayudu Bava","1978","lead","Yes","","wikipedia","0.50","Exists","",""
"Sargam","1979","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0246914"
"Challenge Ramudu","1980","lead","Yes","","wikipedia","0.50","Added","",""
"Srivari Muchatlu","1981","lead","Yes","","wikipedia","0.50","Exists","",""
"Madhura Swapnam","1982","lead","Yes","","wikipedia, wikidata","0.75","Added","","tt0257887"
"Sagara Sangamam","1983","lead","Yes","","wikipedia","0.50","Exists","",""
"Sardar&#91;41&#93;","1984","lead","Yes","","wikipedia","0.50","Exists","",""
"Pataal Bhairavi","1985","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0154998"
"Krishna Garadi","1986","lead","Yes","","wikipedia","0.50","Exists","",""
"Aulad","1987","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0186838"
"Mardon Wali Baat","1988","lead","Yes","","wikipedia","0.50","Added","",""
"Jaadugar","1989","lead","Yes","","wikipedia, wikidata","0.75","Added","","tt0097609"
"Majboor","1990","lead","Yes","","wikipedia","0.50","Exists","",""
"Indrajeet","1991","lead","Yes","","wikipedia","0.50","Exists","",""
"Maa","1992","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0246766"
"Insaniyat Ke Devta","1993","lead","Yes","","wikipedia, wikidata","0.75","Added","","tt0353555"
"Insaniyat","1994","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0110140"
"Himapatha","1995","lead","Yes","","wikipedia","0.50","Exists","",""
"Pellala Rajyam","1996","lead","Yes","","wikipedia","0.50","Added","",""
"Jeevan Yudh","1997","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0351126"
"Aami Sei Meye","1998","lead","Yes","","wikipedia","0.50","Exists","",""
"Velugu Needalu","1999","lead","Yes","","wikipedia","0.50","Added","",""
"Devadoothan","2000","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0280599"
"Chandravamsam","2002","lead","Yes","","wikipedia, wikidata","0.75","Added","","tt3414420"
"Sri Renukadevi","2003","lead","Yes","","wikipedia","0.50","Exists","",""
"Khakee","2004","lead","Yes","","wikipedia","0.50","Added","",""
"Tathastu","2006","lead","Yes","","wikipedia","0.50","Exists","",""
"Ee Bandhana","2007","lead","Yes","","wikipedia","0.50","Exists","",""
"Dasavathaaram","2008","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt0479651"
"Sesh Sangat","2009","lead","Yes","","wikipedia","0.50","Exists","",""
"The Desire","2010","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt1776994"
"Pranayam","2011","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt2042633"
"Krantiveera Sangolli Rayanna","2012","lead","Yes","","wikipedia","0.50","Exists","",""
"Rajjo","2013","lead","Yes","","wikipedia","0.50","Added","",""
