"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"War 2","2025","lead","Yes","","tmdb","0.50","Added","1109086",""
"Shakti","2011","lead","Yes","","tmdb","0.50","Added","63372",""
"Adurs","2010","lead","Yes","","tmdb","0.50","Added","38677",""
"Oosaravelli","2011","lead","Yes","","tmdb","0.50","Added","80281",""
"Simhadri","2003","lead","Yes","","tmdb","0.50","Added","80805",""
"Aadi","2002","lead","Yes","","tmdb","0.50","Added","80395",""
"Samba","2004","lead","Yes","","tmdb","0.50","Added","80391",""
"Ashok","2006","lead","Yes","","tmdb","0.50","Added","80864",""
"Ramayanam","1996","lead","Yes","","tmdb","0.50","Added","80940",""
"Rakhi","2006","lead","Yes","","tmdb","0.50","Added","81002",""
"Kantri","2008","lead","Yes","","tmdb","0.50","Added","81065",""
"Student No. 1","2001","lead","Yes","","tmdb","0.50","Added","82572",""
"Brindavanam","2010","lead","Yes","","tmdb","0.50","Added","56981",""
"Jai Lava Kusa","2017","lead","Yes","","tmdb","0.50","Added","101736",""
"Dhammu","2012","lead","Yes","","tmdb","0.50","Added","113728",""
"Baadshah","2013","lead","Yes","","tmdb","0.50","Added","181882",""
"Ramayya Vasthavayya","2013","lead","Yes","","tmdb","0.50","Added","227056",""
"Yamadonga","2007","lead","Yes","","tmdb","0.50","Added","77043",""
"Temper","2015","lead","Yes","","tmdb","0.50","Added","325699",""
"Chintakayala Ravi","2008","cameo","No","","tmdb","0.50","Added","22052",""
"Rabhasa","2014","lead","Yes","","tmdb","0.50","Added","307614",""
"Ninnu Choodalani","2001","lead","Yes","","tmdb","0.50","Added","342799",""
"Narasimhudu","2005","lead","Yes","","tmdb","0.50","Added","279533",""
"Naaga","2003","lead","Yes","","tmdb","0.50","Added","342800",""
"Andhrawala","2004","lead","Yes","","tmdb","0.50","Added","307746",""
"Naa Alludu","2005","lead","Yes","","tmdb","0.50","Added","82168",""
"Nannaku Prematho...","2016","lead","Yes","","tmdb","0.50","Added","365187",""
"Janatha Garage","2016","lead","Yes","","tmdb","0.50","Added","405924",""
"Modern Masters: SS Rajamouli","2024","supporting","No","","tmdb","0.50","Added","1313130",""
"Subbu","2001","lead","Yes","","tmdb","0.50","Added","463736",""
"Allari Ramudu","2002","lead","Yes","","tmdb","0.50","Added","307738",""
"Aravinda Sametha Veera Raghava","2018","lead","Yes","","tmdb","0.50","Added","534530",""
"Devara: Part 1","2024","lead","Yes","","tmdb","0.50","Added","811941",""
"RRR","2022","lead","Yes","","tmdb","0.50","Added","579974",""
"RRR: Behind & Beyond","2024","lead","Yes","","tmdb","0.50","Added","1400515",""
"Brahmarshi Vishwamitra","1991","supporting","No","","tmdb","0.50","Added","724073",""
