"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Radhe Shyam","2022","supporting","No","","tmdb, wikidata","0.75","Added","673392","tt8960382"
"Naidugaari Kutumbam","1996","lead","Yes","","tmdb","0.50","Added","925822",""
"Bobbili Brahmanna","1984","lead","Yes","","tmdb, wikipedia, wikidata","0.95","Added","933457","tt0257451"
"Prema Tarangalu","1980","lead","Yes","","tmdb, wikidata","0.75","Exists","938158","tt0246166"
"Rajamahal","1972","lead","Yes","","tmdb","0.50","Added","1142108",""
"Maa Nanna Ki Pelli","1997","lead","Yes","","tmdb","0.50","Added","308064",""
"Talli Kodukulu","1973","lead","Yes","","tmdb","0.50","Added","995822",""
"Puli Bebbuli","1983","lead","Yes","","tmdb","0.50","Exists","279340",""
"Two Town Rowdy","1989","lead","Yes","","tmdb","0.50","Added","279500",""
"Samardhudu","2009","lead","Yes","","tmdb","0.50","Added","281848",""
"Sultan","1999","supporting","No","","tmdb, wikidata","0.75","Added","280342","tt1575688"
"Thakita Thakita","2010","cameo","No","","tmdb","0.50","Added","145893",""
"Neeku Nenu Naaku Nuvvu","2003","lead","Yes","","tmdb, wikidata","0.75","Added","307915","tt0378444"
"Rudhramadevi","2015","supporting","No","","tmdb","0.50","Added","315009",""
"Billa","2009","lead","Yes","","tmdb, wikidata","0.75","Added","23766","tt1525323"
"Time Pass","2001","supporting","No","","tmdb","0.50","Added","330753",""
"Rebel","2012","supporting","No","","tmdb, wikidata","0.75","Added","135870","tt2235858"
"Sati Savithri","1978","lead","Yes","","tmdb","0.50","Exists","1269788",""
"Yevade Subramanyam","2015","supporting","No","","tmdb, wikidata","0.75","Added","332831","tt4515070"
"Vishwanatha Nayakudu","1987","lead","Yes","","tmdb, wikidata","0.75","Added","1328969","tt0262877"
"Gangmaster","1994","lead","Yes","","tmdb","0.50","Added","511339",""
"Vamsodharakudu","2000","lead","Yes","","tmdb","0.50","Added","521440",""
"Badi Panthulu","1972","lead","Yes","","tmdb, wikidata","0.75","Added","304932","tt0186847"
"Chandi: The Power of Woman","2013","lead","Yes","","tmdb","0.50","Exists","303350",""
"Anthima Theerpu","1988","lead","Yes","","tmdb","0.50","Added","278155",""
"Kirayi Dada","1987","supporting","No","","tmdb","0.50","Added","530754",""
"Neti Siddhartha","1990","supporting","No","","tmdb","0.50","Added","322361",""
"Manavoori Pandavulu","1978","lead","Yes","","tmdb","0.50","Exists","714721",""
"Amara Deepam","1977","lead","Yes","","tmdb, wikipedia","0.75","Exists","717240",""
"Simha Swapnam","1989","lead","Yes","","tmdb, wikidata","0.75","Exists","757883","tt2722792"
