Year,Title,Slug,Hero,Heroine,Director,Music Director,Cinematographer,Editor,Writer,Producer,TMDB ID,Genres
,Vāranāsi,varanasi-tba,Mahesh Babu,Priyanka Chopra Jonas,S. S. Rajamouli,M.M. Keeravaani,P. S. Vinod,Bikkina Thammiraju,Vijayendra Prasad,K. L. Narayana,920708,Adventure; Action; Science Fiction; Fantasy
2024,Guntur Kaaram,guntur-kaaram-2024,Mahesh Babu,Sreeleela,Trivikram Srinivas,S. Thaman,Manoj Paramahamsa,Naveen Nooli,Trivikram Srinivas,S. Radha Krishna,868660,Action; Drama
2024,Drinker Sai,drinker-sai-2024,Mahesh Dharma,Aishwarya Sharma,Kiran Tirumalasetti,Sri Vasanth,Prasanth Ankireddy,Marthand K Venkatesh,Kiran Tirumalasetti,,1407473,Drama
2023,Mao Oori Cinema,mao-oori-cinema-2023,Pulivendula Mahesh,Priya Paul,G Sivaram Teja,SK. Baji,Dharma Prabha,G Sivaram Teja,,G. Manjunath Reddy,1189224,Comedy; Romance
2022,Sarkaru Vaari Paata,sarkaru-vaari-paata-2022,Mahesh Babu,Keerthy Suresh,Parasuram Petla,S. Thaman,R. Madhi,Marthand K Venkatesh,Parasuram Petla,Gopichand Achanta,784696,Action; Comedy; Drama
2020,Sarileru Neekevvaru,sarileru-neekevvaru-2020,Mahesh Babu,Vijayashanti,Anil Ravipudi,Devi Sri Prasad,R. Ratnavelu,Bikkina Thammiraju,Anil Ravipudi,Ramabrahmam Sunkara,607313,Action
2019,Maharshi,maharshi-2019,Mahesh Babu,Pooja Hegde,Vamsi Paidipally,Devi Sri Prasad,K.U. Mohanan,Praveen K. L.,Hari,Kavin Anne,541487,Drama; Action
2018,Bharat Ane Nenu,bharat-ane-nenu-2018,Mahesh Babu,Kiara Advani,Koratala Siva,Devi Sri Prasad,Ravi K. Chandran,Sreekar Prasad,Koratala Siva,DVV Danayya,501987,Drama; Action
2017,Spyder,spyder-2017,Mahesh Babu,Bharath,A. R. Murugadoss,A. R. Murugadoss,Santosh Sivan,A. Sreekar Prasad,A.   R.   Murugadoss,Mahesh Babu,,Action; Thriller; Drama
2016,Brahmotsavam,brahmotsavam-2016,Mahesh Babu,Kajal Aggarwal,Srikanth Addala,Mickey J Meyer,R. Ratnavelu,Kotagiri Venkateswara Rao,Srikanth Addala,Prasad Vara Potluri,371363,Drama; Family; Romance
