Section,Title,Year,Slug,Current Value,Suggested Value,Action
Ghost Entry,"Bobby",2002,bobby-2002,Mahesh Babu,"Bobby Brederlow",Re-attribute
Missing producer,"Drinker Sai",2024,drinker-sai-2024,,,"Fill"
Missing writer,"Mao Oori Cinema",2023,mao-oori-cinema-2023,,,"Fill"
Missing tmdb_id,"Spyder",2017,spyder-2017,,,"Fill"
Missing tmdb_id,"Sivaji",2010,sivaji-2010,,,"Fill"
Missing tmdb_id,"Athidi",2007,athidi-2007,,,"Fill"
Missing tmdb_id,"Okkade",2005,okkade-2005,,,"Fill"
Missing editor,"Nijam",2003,nijam-2003,,,"Fill"
Missing cinematographer,"Murari",2001,murari-2001,,,"Fill"
Missing editor,"Murari",2001,murari-2001,,,"Fill"
Missing writer,"Murari",2001,murari-2001,,,"Fill"
Missing producer,"Murari",2001,murari-2001,,,"Fill"
Missing cinematographer,"Yuvaraju",2000,yuvaraju-2000,,,"Fill"
Missing editor,"Yuvaraju",2000,yuvaraju-2000,,,"Fill"
Missing writer,"Yuvaraju",2000,yuvaraju-2000,,,"Fill"
Missing producer,"Yuvaraju",2000,yuvaraju-2000,,,"Fill"
Missing cinematographer,"Rajakumarudu",1999,rajakumarudu-1999,,,"Fill"
Missing editor,"Rajakumarudu",1999,rajakumarudu-1999,,,"Fill"
Missing writer,"Rajakumarudu",1999,rajakumarudu-1999,,,"Fill"
Missing producer,"Rajakumarudu",1999,rajakumarudu-1999,,,"Fill"
Missing cinematographer,"Raja Kumarudu",1999,raja-kumarudu-1999,,,"Fill"
Missing editor,"Raja Kumarudu",1999,raja-kumarudu-1999,,,"Fill"
Missing writer,"Raja Kumarudu",1999,raja-kumarudu-1999,,,"Fill"
Missing producer,"Raja Kumarudu",1999,raja-kumarudu-1999,,,"Fill"
Missing tmdb_id,"Raja Kumarudu",1999,raja-kumarudu-1999,,,"Fill"
TMDB Issue,"Bobby",2002,bobby-2002,299127,"wrong_language",Fix
