"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Major Chandrakanth","1993","child_actor","No","","wikipedia","0.50","Added","",""
"Punya Bhoomi Naa Desam","1994","child_actor","No","","wikipedia","0.50","Added","",""
"Adavilo Anna","1997","child_actor","No","","wikipedia","0.50","Added","",""
"Khaidi Garu","1998","child_actor","No","","wikipedia","0.50","Added","",""
"Donga Dongadi","2004","lead","Yes","","wikipedia","0.50","Added","",""
"Political Rowdy","2005","cameo","No","special_appearance","wikipedia","0.50","Added","",""
"Raju Bhai","2007","lead","Yes","","wikipedia","0.50","Exists","",""
"Nenu Meeku Telusa?","2008","lead","Yes","","wikipedia","0.50","Exists","",""
"Prayanam","2009","lead","Yes","","wikipedia","0.50","Exists","",""
"Bindaas","2010","cameo","No","","wikipedia","0.50","Exists","",""
"Mr. Nookayya","2012","lead","Yes","","wikipedia","0.50","Added","",""
"Potugadu","2013","lead","Yes","","wikipedia","0.50","Exists","",""
"Pandavulu Pandavulu Tummeda","2014","lead","Yes","","wikipedia","0.50","Exists","",""
"Dongaata","2015","lead","Yes","","wikipedia","0.50","Added","",""
"Shourya","2016","lead","Yes","","wikipedia","0.50","Added","",""
"Gunturodu","2017","lead","Yes","","wikipedia","0.50","Exists","",""
"Idi Naa Love Story","2018","cameo","No","","wikipedia","0.50","Added","",""
"Police officer","2019","lead","Yes","","wikipedia","0.50","Exists","",""
"Bhairavam","2025","lead","Yes","","wikipedia","0.50","Added","",""
"Ustaad","2023","lead","Yes","","wikipedia","0.50","Added","",""
