Title	Year	NonStandard_Genre	Suggested_Standard	Action
Ravanna	2000	Period		UPDATE
Returning Soldier	1945	Social Realism		UPDATE
Chivarku Migiledhi	1953	Psychological Drama		UPDATE
Beedala Patlu	1952	Epic Drama		UPDATE
Pantulamma	1943	Social Reform		UPDATE
Dharmapatni	1941	Social Drama		UPDATE
Kaali	1980	TV Movie		UPDATE
Subash Chandra Bose	2005	Period		UPDATE
Srinatha Kavi Sarvabhowmudu	1993	Period		UPDATE
Rajdooth	2019	Period		UPDATE
Happy	2006	TV Movie		UPDATE
Sabhaku Namaskaram	2026	Political		UPDATE
Missamma	1955	Classic		UPDATE
Adhinetha	2009	Political		UPDATE
Maharaju	1985	TV Movie		UPDATE
Bobbili Simham	1994	Period		UPDATE
Kattula Rattayya	1972	Folklore		UPDATE
Hantakulu Devantakulu	1972	Spy		UPDATE
Veta	1986	Period		UPDATE
Aggi Veerudu	1969	Folklore		UPDATE
Bandhipotu Bhimanna	1969	Folklore		UPDATE
Gandaragandudu	1969	Folklore		UPDATE
Ekaveera	1969	Historical		UPDATE
Kathanayakudu	1969	Political		UPDATE
Bhakta Prahlada	1931	First Telugu Talkie		UPDATE
Bhuvana Sundari Katha	1967	Folklore		UPDATE
Merupu Veerudu	1970	Folklore		UPDATE
Rajakota Rahasyam	1971	Folklore		UPDATE
Vikramarka Vijayam	1971	Folklore		UPDATE
Operation 2019	2018	Political		UPDATE
Pratignapalana	1965	Folklore		UPDATE
Bhatti Vikramarka	1960	Folklore		UPDATE
Raja Makutam	1960	Folklore		UPDATE
Devadasu	1953	Period		UPDATE
Patala Bhairavi	1951	Classic		UPDATE
