Canonical	Variant	Count	Action
NTR	NTR	3	STANDARDIZE
NTR	N.T. Rama Rao	56	STANDARDIZE
NTR	N. T. Rama Rao	10	STANDARDIZE
ANR	ANR	7	STANDARDIZE
ANR	Akkineni Nageswara Rao	31	STANDARDIZE
Nagarjuna	Nagarjuna	3	STANDARDIZE
Nagarjuna	Nagarjuna Akkineni	6	STANDARDIZE
Nagarjuna	Akkineni Nagarjuna	11	STANDARDIZE
Balakrishna	Balakrishna	6	STANDARDIZE
Balakrishna	Nandamuri Balakrishna	24	STANDARDIZE
Venkatesh	Venkatesh	2	STANDARDIZE
Venkatesh	Daggubati Venkatesh	11	STANDARDIZE
Sobhan Babu	Sobhan Babu	14	STANDARDIZE
Sobhan Babu	Shoban Babu	3	STANDARDIZE
