slug	name_en	occupation	wikipedia_url	awards_found	status	notes
# BATCH 2: NEXT 20 LEGENDS NEEDING AWARDS RESEARCH

celeb-vishnu	Vishnu	actor	https://en.wikipedia.org/wiki/Vishnu		PENDING	
krishna-kumari	Krishna Kumari	actor	https://en.wikipedia.org/wiki/Krishna_Kumari		PENDING	
celeb-siva	Siva	director	https://en.wikipedia.org/wiki/Siva		PENDING	
celeb-satyanarayana	Satyanarayana	actor	https://en.wikipedia.org/wiki/Satyanarayana		PENDING	
celeb-sarath	Sarath	director	https://en.wikipedia.org/wiki/Sarath		PENDING	
celeb-tamannaah-bhatia	Tamannaah Bhatia	actress	https://en.wikipedia.org/wiki/Tamannaah_Bhatia		PENDING	
celeb-ram	Ram	actor	https://en.wikipedia.org/wiki/Ram		PENDING	
jamuna	Jamuna	actor	https://en.wikipedia.org/wiki/Jamuna		PENDING	
celeb-ali	Ali	actor	https://en.wikipedia.org/wiki/Ali		PENDING	
celeb-vanisri	Vanisri	actress	https://en.wikipedia.org/wiki/Vanisri		PENDING	
celeb-daggubati-venkatesh	Daggubati Venkatesh	actor	https://en.wikipedia.org/wiki/Daggubati_Venkatesh		PENDING	
celeb-karthik	Karthik	actor	https://en.wikipedia.org/wiki/Karthik		PENDING	
celeb-sukumar	Sukumar	actor	https://en.wikipedia.org/wiki/Sukumar		PENDING	
jayasudha	Jayasudha	actor	https://en.wikipedia.org/wiki/Jayasudha		PENDING	
celeb-anjali	Anjali	actor	https://en.wikipedia.org/wiki/Anjali		PENDING	
celeb-siddharth	Siddharth	actor	https://en.wikipedia.org/wiki/Siddharth		PENDING	
srikanth	Srikanth	actor	https://en.wikipedia.org/wiki/Srikanth		PENDING	
vijaya-nirmala	Vijaya Nirmala	actor	https://en.wikipedia.org/wiki/Vijaya_Nirmala		PENDING	
sridevi	Sridevi	actor	https://en.wikipedia.org/wiki/Sridevi		PENDING	
celeb-rajendra-prasad	Rajendra Prasad	actor	https://en.wikipedia.org/wiki/Rajendra_Prasad		PENDING	
