slug	name_en	occupation	wikipedia_url	imdb_id	awards_found	status	notes
celeb-aadhi-pinisetty	Aadhi Pinisetty	actor	N/A	nm3942577	Filmfare Best Actor – Tamil (2014) - Sarrainodu	DONE	Primarily Tamil cinema, crossover Telugu success
celeb-aadi	Aadi	actor	N/A	nm4925980	Filmfare Best Male Debut – South (2012) - Prema Kavali; SIIMA Award Best Male Debut – Telugu (2012) - Prema Kavali; CineMAA Award Best Debut Actor (2012)	DONE	Aadi Saikumar
celeb-aamani	Aamani	actor	N/A	nm0007404	Nandi Award Best Actress (1997) - Annamayya; Filmfare Best Actress – Telugu (1998)	DONE	Notable for devotional films
celeb-aarthi-agarwal	Aarthi Agarwal	actor	N/A	nm1140669	Santosham Film Award Best Actress (2002) - Nuvvu Leka Nenu Lenu	DONE	Passed away in 2015
celeb-abbas	Abbas	actor	N/A	nm0007806	N/A	DONE	Primarily Tamil/Malayalam actor, limited Telugu awards
abhirami	Abhirami	actor	N/A	nm1366317	Tamil Nadu State Film Award Best Actress (1999) - Viralukketha Veekkam	DONE	Primarily Tamil cinema
aditi-rao-hydari	Aditi Rao Hydari	actor	https://en.wikipedia.org/wiki/Aditi_Rao_Hydari	nm2390814	Filmfare Best Actress – Telugu (2013) - Gundello Godari; Edison Award Best Actress (2013); SIIMA Best Actress (Critics) – Telugu (2018) - Sammohanam	DONE	Multi-lingual actress
celeb-adivi-sesh	Adivi Sesh	actor	N/A	nm3414188	SIIMA Best Actor (Critics) – Telugu (2018) - Goodachari; Filmfare Best Actor – Telugu (2022) - Major	DONE	Known for thriller/action films
aishwarya-rai-bachchan	Aishwarya Rai Bachchan	actor, film actor	https://en.wikipedia.org/wiki/Aishwarya_Rai_Bachchan	nm0706787	Padma Shri (2009); Filmfare Best Actress (1999, 2002); Filmfare Best Actress – Tamil (2002, 2010); National Film Award Special Mention (2003); International Indian Film Academy Awards Best Actress (2001, 2006, 2010)	DONE	International superstar, limited Telugu work
celeb-aishwarya-rajesh	Aishwarya Rajesh	actor	N/A	nm5781594	Filmfare Best Actress – Tamil (2018) - Kanaa; SIIMA Best Actress (Critics) – Telugu (2020) - World Famous Lover	DONE	Primarily Tamil actress
celeb-ajay-ghosh	Ajay Ghosh	actor	N/A	nm4886752	SIIMA Award Best Comedian – Telugu (2021) - Mathu Vadalara; SIIMA Best Comic Actor (Nominated 2022) - Manchi Rojulochaie	DONE	Character actor/comedian
celeb-akhil-akkineni	Akhil Akkineni	actor	N/A	nm1366335	Filmfare Best Male Debut – South (2016) - Akhil; SIIMA Award Best Male Debut – Telugu (2016) - Akhil; CineMAA Award Best Debut Actor (2016); Santosham Film Award Best Debut Actor (2016)	DONE	Akkineni family
celeb-akkineni-nagarjuna	Akkineni Nagarjuna	actor, producer	N/A	N/A	Multiple Nandi Awards (Annamayya, Santosham); Multiple Filmfare Awards (Siva, Manmadhudu)	DONE	Already has awards in database - skip import
aksha-pardasany	Aksha Pardasany	actor	https://en.wikipedia.org/wiki/Aksha_Pardasany	nm1429248	N/A	DONE	Limited major awards found
celeb-ali-basha	Ali Basha	actor	N/A	nm0019382	Nandi Award Best Child Actor (1981) - Seethakoka Chiluka; Nandi Special Jury Award (1996) - Pittala Dora; Filmfare Best Comedian – Telugu (2003) - Amma Nanna O Tamila Ammayi; Filmfare Best Comedian – Telugu (2005) - Super	DONE	Ali (comedian)
allari-naresh	Allari Naresh	actor, director	N/A	nm2863651	Nandi Award Best Supporting Actor (2008) - Gamyam; Filmfare Best Supporting Actor – Telugu (2008) - Gamyam	DONE	Known for comedy
celeb-allu	Allu	Actor	N/A	nm1084853	N/A	DONE	Generic/duplicate entry - should be merged with specific Allu family member
celeb-allu-rama-lingaiah	Allu Rama Lingaiah	actor, comedian	N/A	nm0707972	Padma Shri (1990); Raghupathi Venkaiah Award (2001); Nandi Award Best Comedian (1982) - Pantalu Mansulu	DONE	Comedy legend
celeb-allu-sirish	Allu Sirish	actor	N/A	nm3224930	IIFA Utsavam Award Best Performance Lead Role (Nominated 2017); SIIMA Special Appreciation Award (2014) - Kotha Janta	DONE	Young actor, Allu family
celeb-amala	Amala	actor	N/A	nm3898762	Filmfare Best Actress – Tamil (1991) - Ulladakkam; Filmfare Best Supporting Actress – Telugu (2012) - Life is Beautiful	DONE	Amala Akkineni
