slug	name_en	occupation	wikipedia_url	imdb_id	awards_found	status	notes
celeb-aadhi-pinisetty	Aadhi Pinisetty	actor	N/A	nm3942577		TODO	
celeb-aadi	Aadi	actor	N/A	nm4925980		TODO	
celeb-aamani	Aamani	actor	N/A	nm0007404		TODO	
celeb-aarthi-agarwal	Aarthi Agarwal	actor	N/A	nm1140669		TODO	
celeb-abbas	Abbas	actor	N/A	nm0007806		TODO	
abhirami	Abhirami	actor	N/A	nm1366317		TODO	
aditi-rao-hydari	Aditi Rao Hydari	actor	https://en.wikipedia.org/wiki/Aditi_Rao_Hydari	nm2390814		TODO	
celeb-adivi-sesh	Adivi Sesh	actor	N/A	nm3414188		TODO	
aishwarya-rai-bachchan	Aishwarya Rai Bachchan	actor, film actor	https://en.wikipedia.org/wiki/Aishwarya_Rai_Bachchan	nm0706787		TODO	
celeb-aishwarya-rajesh	Aishwarya Rajesh	actor	N/A	nm5781594		TODO	
celeb-ajay-ghosh	Ajay Ghosh	actor	N/A	nm4886752		TODO	
celeb-akhil-akkineni	Akhil Akkineni	actor	N/A	nm1366335		TODO	
celeb-akkineni-nagarjuna	Akkineni Nagarjuna	actor, producer	N/A	N/A		TODO	
aksha-pardasany	Aksha Pardasany	actor	https://en.wikipedia.org/wiki/Aksha_Pardasany	nm1429248		TODO	
celeb-ali-basha	Ali Basha	actor	N/A	nm0019382		TODO	
allari-naresh	Allari Naresh	actor, director	N/A	nm2863651		TODO	
celeb-allu	Allu	Actor	N/A	nm1084853		TODO	
celeb-allu-rama-lingaiah	Allu Rama Lingaiah	actor, comedian	N/A	nm0707972		TODO	
celeb-allu-sirish	Allu Sirish	actor	N/A	nm3224930		TODO	
celeb-amala	Amala	actor	N/A	nm3898762		TODO	
