Priority,Completeness,Year,Title,Issues,TMDB_ID,URL
High,40%,2023,"'Salaar: Part 2 – Shouryanga Parvam","No director, No hero, No heroine, No English synopsis, No poster, No backdrop, No genres, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/salaar-part-2-shouryanga-parvam-2023
Medium,60%,2022,"Monster","No hero, No heroine, No English synopsis, No Telugu synopsis, No backdrop, No runtime, No Telugu title",896166,http://localhost:3000/movies/monster-2022
Medium,65%,2024,"Avatara Purusha 2","No English synopsis, No Telugu synopsis, No backdrop, No runtime, No Telugu title",1268164,http://localhost:3000/movies/avatara-purusha-2-2024
Medium,65%,2022,"Lucky Man","No English synopsis, No Telugu synopsis, No backdrop, No runtime, No Telugu title",921748,http://localhost:3000/movies/lucky-man-2022
Medium,65%,2022,"Maha","No hero, No heroine, No English synopsis, No Telugu synopsis, No backdrop, No runtime",567460,http://localhost:3000/movies/maha-2022
Medium,70%,,"Sahaa","No English synopsis, No Telugu synopsis, No backdrop, No runtime, No Telugu title",1516092,http://localhost:3000/movies/sahaa-tba
Medium,70%,,"The Conversation","No English synopsis, No Telugu synopsis, No backdrop, No runtime, No Telugu title",1603184,http://localhost:3000/movies/the-conversation-tba
Medium,70%,2026,"Man Of The Match","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/man-of-the-match-2026
Medium,70%,2026,"Sahakutumbaanaam","No English synopsis, No backdrop, No runtime, No TMDB ID, No Telugu title",,http://localhost:3000/movies/sahakutumbaanaam-2026
Medium,70%,2026,"Ranger","No English synopsis, No poster, No backdrop, No runtime, No Telugu title",1389146,http://localhost:3000/movies/ranger-2026
Medium,70%,2025,"Jurassic World Rebirth","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1234821,http://localhost:3000/movies/jurassic-world-rebirth-2025
Medium,70%,2025,"Mission: Impossible - The Final Reckoning","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",575265,http://localhost:3000/movies/mission-impossible-the-final-reckoning-2025
Medium,70%,2025,"The Running Man","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",798645,http://localhost:3000/movies/the-running-man-2025
Medium,70%,2025,"Rekhachithram","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1290954,http://localhost:3000/movies/rekhachithram-2025
Medium,70%,2025,"Kantara - A Legend: Chapter 1","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1083637,http://localhost:3000/movies/kantara-a-legend-chapter-1-2025
Medium,70%,2025,"Lilo & Stitch","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",552524,http://localhost:3000/movies/lilo-stitch-2025
Medium,70%,2025,"Alappuzha Gymkhana","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1245571,http://localhost:3000/movies/alappuzha-gymkhana-2025
Medium,70%,2025,"Thudarum","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1261125,http://localhost:3000/movies/thudarum-2025
Medium,70%,2025,"Sitaare Zameen Par","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1190511,http://localhost:3000/movies/sitaare-zameen-par-2025
Medium,70%,2025,"Thamma","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1196364,http://localhost:3000/movies/thamma-2025
Medium,70%,2025,"London Calling","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1217602,http://localhost:3000/movies/london-calling-2025
Medium,70%,2025,"Painkili","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1290218,http://localhost:3000/movies/painkili-2025
Medium,70%,2025,"Bugonia","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",701387,http://localhost:3000/movies/bugonia-2025
Medium,70%,2025,"Pink Floyd: Live at Pompeii","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",25771,http://localhost:3000/movies/pink-floyd-live-at-pompeii-2025
Medium,70%,2025,"The King of Kings","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1407437,http://localhost:3000/movies/the-king-of-kings-2025
Medium,70%,2025,"KPop Demon Hunters","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",803796,http://localhost:3000/movies/kpop-demon-hunters-2025
Medium,70%,2025,"A Minecraft Movie","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",950387,http://localhost:3000/movies/a-minecraft-movie-2025
Medium,70%,2025,"Madharaasi","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1297181,http://localhost:3000/movies/madharaasi-2025
Medium,70%,2025,"Identity","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1012180,http://localhost:3000/movies/identity-2025
Medium,70%,2025,"Veera Dheera Sooran: Part 2","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1198208,http://localhost:3000/movies/veera-dheera-sooran-part-2-2025
Medium,70%,2025,"Kaantha","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1250508,http://localhost:3000/movies/kaantha-2025
Medium,70%,2025,"Altered","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1309012,http://localhost:3000/movies/altered-2025
Medium,70%,2025,"Thunderbolts*","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",986056,http://localhost:3000/movies/thunderbolts--2025
Medium,70%,2025,"Hridayapoorvam","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1314784,http://localhost:3000/movies/hridayapoorvam-2025
Medium,70%,2025,"The Unholy Trinity","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1195518,http://localhost:3000/movies/the-unholy-trinity-2025
Medium,70%,2025,"Dhurandhar","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1291608,http://localhost:3000/movies/dhurandhar-2025
Medium,70%,2025,"Sinners","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1233413,http://localhost:3000/movies/sinners-2025
Medium,70%,2025,"Black Phone 2","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1197137,http://localhost:3000/movies/black-phone-2-2025
Medium,70%,2025,"Ice Road: Vengeance","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1119878,http://localhost:3000/movies/ice-road-vengeance-2025
Medium,70%,2025,"Fackham Hall","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1175174,http://localhost:3000/movies/fackham-hall-2025
Medium,70%,2025,"Frankenstein","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1062722,http://localhost:3000/movies/frankenstein-2025
Medium,70%,2025,"Die My Love","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1033148,http://localhost:3000/movies/die-my-love-2025
Medium,70%,2025,"The Conjuring: Last Rites","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1038392,http://localhost:3000/movies/the-conjuring-last-rites-2025
Medium,70%,2025,"Baramulla","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1561969,http://localhost:3000/movies/baramulla-2025
Medium,70%,2025,"Regretting You","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1327862,http://localhost:3000/movies/regretting-you-2025
Medium,70%,2025,"Predator: Badlands","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1242898,http://localhost:3000/movies/predator-badlands-2025
Medium,70%,2025,"Now You See Me: Now You Don't","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",425274,http://localhost:3000/movies/now-you-see-me-now-you-don-t-2025
Medium,70%,2025,"The Family Plan 2","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1363123,http://localhost:3000/movies/the-family-plan-2-2025
Medium,70%,2025,"Muzzle: City of Wolves","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1439112,http://localhost:3000/movies/muzzle-city-of-wolves-2025
Medium,70%,2025,"Elio","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1022787,http://localhost:3000/movies/elio-2025
Medium,70%,2025,"Final Destination Bloodlines","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",574475,http://localhost:3000/movies/final-destination-bloodlines-2025
Medium,70%,2025,"War 2","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1109086,http://localhost:3000/movies/war-2-2025
Medium,70%,2025,"Wake Up Dead Man: A Knives Out Mystery","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",812583,http://localhost:3000/movies/wake-up-dead-man-a-knives-out-mystery-2025
Medium,70%,2025,"Dude","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1321108,http://localhost:3000/movies/dude-2025
Medium,70%,2025,"Padakkalam","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1251970,http://localhost:3000/movies/padakkalam-2025
Medium,70%,2025,"Maa","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1389158,http://localhost:3000/movies/maa-2025
Medium,70%,2025,"One Battle After Another","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1054867,http://localhost:3000/movies/one-battle-after-another-2025
Medium,70%,2025,"The Housemaid","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1368166,http://localhost:3000/movies/the-housemaid-2025
Medium,70%,2025,"Hunting Season","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1387382,http://localhost:3000/movies/hunting-season-2025
Medium,70%,2025,"Dhoom Dhaam","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1201012,http://localhost:3000/movies/dhoom-dhaam-2025
Medium,70%,2025,"The Gorge","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",950396,http://localhost:3000/movies/the-gorge-2025
Medium,70%,2025,"Goodbye June","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1435092,http://localhost:3000/movies/goodbye-june-2025
Medium,70%,2025,"Nuremberg","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1214931,http://localhost:3000/movies/nuremberg-2025
Medium,70%,2025,"The Bad Guys 2","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1175942,http://localhost:3000/movies/the-bad-guys-2-2025
Medium,70%,2025,"Playdate","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1248226,http://localhost:3000/movies/playdate-2025
Medium,70%,2025,"Wildcat","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1448560,http://localhost:3000/movies/wildcat-2025
Medium,70%,2025,"Please Don't Feed the Children","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1103437,http://localhost:3000/movies/please-don-t-feed-the-children-2025
Medium,70%,2025,"Five Nights at Freddy's 2","No English synopsis, No Telugu synopsis, No runtime, No Telugu title",1228246,http://localhost:3000/movies/five-nights-at-freddy-s-2-2025
