slug	name_en	occupation	wikipedia_url	parents	spouse	children	siblings	relatives	status	notes
celeb-aadhi-pinisetty	Aadhi Pinisetty	actor	N/A						TODO	
celeb-aadi	Aadi	actor	N/A						TODO	
celeb-aamani	Aamani	actor	N/A						TODO	
celeb-aarthi-agarwal	Aarthi Agarwal	actor	N/A						TODO	
celeb-abbas	Abbas	actor	N/A						TODO	
abhirami	Abhirami	actor	N/A						TODO	
aditi-rao-hydari	Aditi Rao Hydari	actor	https://en.wikipedia.org/wiki/Aditi_Rao_Hydari						TODO	
celeb-adivi-sesh	Adivi Sesh	actor	N/A						TODO	
aishwarya-rai-bachchan	Aishwarya Rai Bachchan	actor, film actor	https://en.wikipedia.org/wiki/Aishwarya_Rai_Bachchan						TODO	
celeb-aishwarya-rajesh	Aishwarya Rajesh	actor	N/A						TODO	
celeb-ajay	Ajay	actor	N/A						TODO	
celeb-ajay-ghosh	Ajay Ghosh	actor	N/A						TODO	
celeb-akhil-akkineni	Akhil Akkineni	actor	N/A						TODO	
celeb-akkineni-nagarjuna	Akkineni Nagarjuna	actor, producer	N/A						TODO	
aksha-pardasany	Aksha Pardasany	actor	https://en.wikipedia.org/wiki/Aksha_Pardasany						TODO	
celeb-ali	Ali	actor	N/A						TODO	
celeb-ali-basha	Ali Basha	actor	N/A						TODO	
allari-naresh	Allari Naresh	actor, director	N/A						TODO	
celeb-allu	Allu	Actor	N/A						TODO	
allu-arjun	Allu Arjun	actor	N/A						TODO	
celeb-allu-rama-lingaiah	Allu Rama Lingaiah	actor, comedian	N/A						TODO	
celeb-allu-sirish	Allu Sirish	actor	N/A						TODO	
celeb-amala	Amala	actor	N/A						TODO	
celeb-amala-akkineni	Amala Akkineni	actor	N/A						TODO	
celeb-amritha-aiyer	Amritha Aiyer	actor	N/A						TODO	
amulya	Amulya	actor	https://en.wikipedia.org/wiki/Amulya						TODO	
celeb-anand-deverakonda	Anand Deverakonda	actor	N/A						TODO	
celeb-anandhi	Anandhi	actor	N/A						TODO	
celeb-ananya-nagalla	Ananya Nagalla	actor	N/A						TODO	
celeb-anasuya-bharadwaj	Anasuya Bharadwaj	actor	N/A						TODO	
