Slug,Title,Year,Status,Genres Added
"salaar-part-2-shouryanga-parvam-2023","'Salaar: Part 2 – Shouryanga Parvam",2023,no_tmdb_id,
"best-actor-in-a-negative-role-tamil-2021","Best Actor in a Negative Role (Tamil)",2021,no_tmdb_id,
"bomma-adirindi-dimma-tirigindi-2021","Bomma Adirindi Dimma Tirigindi",2021,no_genres,
"family-a-made-at-home-short-film-2020","Family - A Made at Home Short Film",2020,no_genres,
"2-hours-love-2019","2 Hours Love",2019,no_genres,
"nanne-preethse-i-love-you-2019","Nanne Preethse: I Love You",2019,no_genres,
"rangasthalam-2019","Rangasthalam",2019,success,"Action, Drama"
"kavacha-2019","Kavacha",2019,no_genres,
"police-officer-2019","Police officer",2019,no_genres,
"n-t-r-kathanayukudu-2019","N.T.R: Kathanayukudu",2019,no_tmdb_id,
"premier-padmini-2019","Premier Padmini",2019,no_genres,
"ee-nagariniki-emaindi-2018","Ee Nagariniki Emaindi",2018,no_tmdb_id,
"ch-ravi-kishore-babu-2018","ch ravi kishore babu",2018,no_tmdb_id,
"ammachi-yemba-nenapu-2018","Ammachi Yemba Nenapu",2018,no_genres,
"operation-2019-2018","Operation 2019",2018,no_genres,
"aatwaja-2018","Aatwaja",2018,no_genres,
"anaganaga-oka-durga-2017","Anaganaga Oka Durga",2017,no_genres,
"jayanth-c-paranjee-2017","Jayanth C. Paranjee",2017,no_tmdb_id,
"best-actor-in-a-negative-role-2017","Best Actor in a Negative Role",2017,no_tmdb_id,
"shuddhi-2017","Shuddhi",2017,no_genres,
"vennello-hai-hai-2016","Vennello Hai Hai",2016,no_genres,
"lacchimdeviki-o-lekkundi-2016","Lacchimdeviki O Lekkundi",2016,success,"Comedy, Thriller"
"ethiri-en-3-2016","Ethiri En 3",2016,no_genres,
"-2016","మెంటల్",2016,success,"Romance, Comedy"
"best-actor-in-a-negative-role-malayalam-2016","Best Actor in a Negative Role (Malayalam)",2016,no_tmdb_id,
"best-supporting-actor-2016","Best Supporting Actor",2016,success,"Comedy, Romance"
"special-jury-award-2016","Special Jury Award",2016,no_tmdb_id,
"ranveer-ching-returns-2016","Ranveer Ching Returns",2016,no_tmdb_id,
"shivalinga-2016","Shivalinga",2016,no_genres,
"malli-malli-idi-rani-roju-2015","Malli Malli Idi Rani Roju",2015,success,"Romance, Drama"
"ranna-2015","Ranna",2015,no_genres,
"singam-123-2015","Singam 123",2015,no_tmdb_id,
"dagudumoota-dandakore-2015","Dagudumoota Dandakore",2015,no_tmdb_id,
"anandam-malli-modalaindi-2015","Anandam Malli Modalaindi",2015,no_tmdb_id,
"yavvanam-oka-fantasy-2015","Yavvanam Oka Fantasy",2015,no_genres,
"sowkarpettai-2015","Sowkarpettai",2015,success,"Comedy, Drama, Horror, Romance"
"well-if-you-know-me-2015","Well, If You Know Me",2015,no_tmdb_id,
"iifa-utsavam-2015","IIFA Utsavam",2015,no_tmdb_id,
"nambiar-2014","Nambiar",2014,success,"Comedy"
"best-actor-in-a-negative-role-telugu-2014","Best Actor in a Negative Role (Telugu)",2014,no_tmdb_id,
"best-villain-2014","Best Villain",2014,no_tmdb_id,
"exploring-shiva-movie-after-25-years-2014","Exploring ''Shiva'' Movie After 25 Years",2014,no_genres,
"ambareesha-2014","Ambareesha",2014,no_genres,
"sri-vasavi-vaibhavam-2012","Sri Vasavi Vaibhavam",2013,no_genres,
"bunny-n-cherry-2013","Bunny N Cherry",2013,no_tmdb_id,
"prema-oka-maikam-2013","Prema Oka Maikam",2013,no_genres,
"galaate-2013","Galaate",2013,no_genres,
"thadaka-2013","Thadaka",2013,no_genres,
"ramaiya-vasta-vaiya-2013","Ramaiya Vasta Vaiya",2013,no_tmdb_id,
"godfather-2012","Godfather",2012,no_genres,
"yamaho-yama-in-america-2012","Yamaho Yama: in America",2012,no_tmdb_id,
"krantiveera-sangolli-rayanna-2012","Krantiveera Sangolli Rayanna",2012,no_tmdb_id,
"paagan-2012","Paagan",2012,no_genres,
"ethiri-en-3-2012","Ethiri En 3",2012,no_genres,
"6-2012","6",2012,no_genres,
"rasaleela-2012","Rasaleela",2012,no_genres,
"saarathi-2011","Saarathi",2011,no_genres,
"bhale-mogudu-bhale-pellam-2011","Bhale Mogudu Bhale Pellam",2011,no_tmdb_id,
"badrinadh-2011","Badrinadh",2011,no_tmdb_id,
"kalabha-mazha-2011","Kalabha Mazha",2011,no_tmdb_id,
"marana-porali-2011","Marana Porali",2011,no_tmdb_id,
"payanam-2011","Payanam",2011,no_genres,
"alasyam-amrutham-2010","Alasyam Amrutham",2010,no_genres,
"neninthe-2010","Neninthe",2010,success,"Action, Drama"
"betting-bangaraju-2010","Betting Bangaraju",2010,no_tmdb_id,
"shubhapradam-2010","Shubhapradam",2010,no_tmdb_id,
"super-2010","Super",2010,no_genres,
"sesh-sangat-2009","Sesh Sangat",2009,no_genres,
"sesh-sanghat-2009","Sesh Sanghat",2009,no_genres,
"indira-vizha-2009","Indira Vizha",2009,no_genres,
"adhinetha-2009","Adhinetha",2009,no_genres,
"moggina-manasu-2008","Moggina Manasu",2008,no_genres,
"netru-indru-naalai-2008","Netru Indru Naalai",2008,no_genres,
"sundara-kanda-2008","Sundara Kanda",2008,success,"Romance, Comedy"
"deha-2007","Deha",2007,no_genres,
"best-supporting-actor-2007","Best Supporting Actor",2007,success,"Comedy, Romance"
"state-rowdy-2007","State Rowdy",2007,success,"Drama, Action, Crime"
"varakatnam-2007","Varakatnam",2007,success,"Drama"
"iddaru-attala-muddula-alludu-2006","Iddaru Attala Muddula Alludu",2006,no_tmdb_id,
"gurukshetram-2006","Gurukshetram",2006,no_genres,
"kizhakku-kadalkarai-salai-2006","Kizhakku Kadalkarai Salai",2006,no_genres,
"kizhakku-kadarkarai-salai-2006","Kizhakku Kadarkarai Salai",2006,no_genres,
"mercury-pookkal-2006","Mercury Pookkal",2006,no_genres,
"mayajalam-2006","Mayajalam",2006,success,"Comedy"
"madrasi-2006","Madrasi",2006,no_genres,
"gopi-goda-meedha-pilli-2006","Gopi – Goda Meedha Pilli",2006,no_tmdb_id,
"-2006","సుందరానికి తొందరెక్కువ",2006,no_tmdb_id,
"bhagyalakshmi-bumper-draw-2006","Bhagyalakshmi Bumper Draw",2006,no_genres,
"best-supporting-actor-telugu-2005","Best Supporting Actor – Telugu",2005,no_tmdb_id,
"that-is-pandu-2005","That is Pandu",2005,no_genres,
"vikram-2005","Vikram",2005,success,"Action, Drama"
"auto-shankar-2005","Auto Shankar",2005,no_genres,
"puttintiki-raa-chelli-2004","Puttintiki Raa Chelli",2004,no_genres,
"apparao-driving-school-2004","Apparao Driving School",2004,no_tmdb_id,
"intlo-srimathi-veedhilo-kumari-2004","Intlo Srimathi Veedhilo Kumari",2004,no_genres,
"ee-snehatheerathu-2004","Ee Snehatheerathu",2004,no_genres,
"varnajalam-2004","Varnajalam",2004,no_genres,
"joot-2004","Joot",2004,success,"Action"
"palanati-brahmanaidu-2003","Palanati Brahmanaidu",2003,no_tmdb_id,
"manasellam-2003","Manasellam",2003,no_genres,
"all-over-the-heart-2003","All over the heart",2003,no_genres,
"pelli-kani-prasad-2003","Pelli Kani Prasad",2003,no_genres,
"ninu-choodaka-nenundalenu-2002","Ninu Choodaka Nenundalenu",2002,no_tmdb_id,
"hollywood-2002","Hollywood",2002,no_genres,
"ivan-2002","Ivan",2002,no_genres,
"chennakeshava-reddy-2002","Chennakeshava Reddy",2002,no_tmdb_id,
"angala-parameswari-2002","Angala Parameswari",2002,no_tmdb_id,
"kottai-mariamman-2002","Kottai Mariamman",2002,no_genres,
"naa-manasistha-raa-2001","Naa Manasistha Raa",2001,no_tmdb_id,
"time-pass-2001","Time Pass",2001,no_genres,
"kalasi-naduddam-2001","Kalasi Naduddam",2001,no_genres,
"kottai-mariamman-2001","Kottai Mariamman",2001,no_genres,
"vamsoddarakudu-2000","Vamsoddarakudu",2000,no_tmdb_id,
"nagadevathe-2000","Nagadevathe",2000,no_genres,
"sakutumba-saparivaara-sametham-2000","Sakutumba Saparivaara Sametham",2000,no_genres,
"best-actor-2000","Best Actor",2000,success,"Comedy, Family"
"eazhaiyin-sirippil-2000","Eazhaiyin Sirippil",2000,no_genres,
"z-1999","Z",1999,no_genres,
"preyasi-rave-1999","Preyasi Rave",1999,no_tmdb_id,
"w-o-v-vara-prasad-1998","W/o V. Vara Prasad",1998,no_tmdb_id,
"judaai-1998","Judaai",1998,success,"Drama, Romance, Family"
"yuvaratna-raana-1998","Yuvaratna Raana",1998,no_tmdb_id,
"doni-sagali-1998","Doni Sagali",1998,no_tmdb_id,
"karnataka-state-film-awards-1998","Karnataka State Film Awards",1998,no_tmdb_id,
"aayanagaru-1998","Aayanagaru",1998,no_tmdb_id,
"zulm-o-sitam-1998","Zulm-O-Sitam",1998,no_genres,
"maavidakulu-1998","Maavidakulu",1998,no_genres,
"best-supporting-actor-1998","Best Supporting Actor",1998,success,"Comedy, Romance"
"aami-sei-meye-1998","Aami Sei Meye",1998,no_genres,
"jai-bajarangbali-1997","Jai Bajarangbali",1997,no_tmdb_id,
"maa-nanna-ki-pelli-1997","Maa Nanna Ki Pelli",1997,no_genres,
"maa-nannaki-pelli-1997","Maa Nannaki Pelli",1997,no_genres,
"egire-pavuramaa-1997","Egire Pavuramaa",1997,no_tmdb_id,
"gunda-gardi-1997","Gunda Gardi",1997,no_tmdb_id,
"topi-raja-sweety-roja-1996","Topi Raja Sweety Roja",1996,no_tmdb_id,
"best-actress-1996","Best Actress",1996,success,"Crime, Comedy, TV Movie"
"manasulo-maata-1996","Manasulo Maata",1996,no_tmdb_id,
"shri-krishnarjuna-vijayam-1996","Shri Krishnarjuna Vijayam",1996,no_tmdb_id,
"mr-bechara-1996","Mr. Bechara",1996,no_genres,
"ninne-pelladata-1996","Ninne Pelladata",1996,no_genres,
"vaddu-bava-tappu-1995","Vaddu Bava Tappu",1995,no_genres,
"laadla-1995","Laadla",1995,success,"Drama, Romance, Family"
"chilakapacha-kapuram-1995","Chilakapacha Kapuram",1995,no_genres,
"maato-pettukoku-1995","Maato Pettukoku",1995,no_tmdb_id,
"raja-muthirai-1995","Raja Muthirai",1995,no_tmdb_id,
"gumrah-1994","Gumrah",1994,success,"Drama, Action, Crime"
"swami-vivekananda-1994","Swami Vivekananda",1994,success,"Drama"
"chauraha-1994","Chauraha",1994,no_genres,
"govinda-govinda-1994","Govinda Govinda",1994,success,"Drama, Crime"
"indhu-1994","Indhu",1994,no_genres,
"athiradi-padai-1994","Athiradi Padai",1994,no_tmdb_id,
"shubha-lagnam-1994","Shubha Lagnam",1994,no_tmdb_id,
"chandra-mukhi-1993","Chandra Mukhi",1993,no_genres,
"brundavanam-1993","Brundavanam",1993,success,"Comedy"
