Movie,Year,CurrentGenres,NonStandardGenre,SuggestedGenre,TMDB_ID,URL
"Rishi",2017,"Drama; Adventure; TV Movie","TV Movie","NEEDS_REVIEW",442105,"http://localhost:3000/movies/rishi-2017"
"Happy",2006,"TV Movie; Drama","TV Movie","NEEDS_REVIEW",563954,"http://localhost:3000/movies/happy-2006"
"Something the Lord Made",2004,"TV Movie; Drama","TV Movie","NEEDS_REVIEW",20544,"http://localhost:3000/movies/something-the-lord-made-2004"
"Kanoon Ki Awaaz",1989,"Romance; Comedy; TV Movie","TV Movie","NEEDS_REVIEW",521873,"http://localhost:3000/movies/kanoon-ki-awaaz-1989"
"Maharaju",1985,"TV Movie; Drama","TV Movie","NEEDS_REVIEW",505878,"http://localhost:3000/movies/maharaju-1985"
"Simhapuri Simham",1983,"TV Movie; Adventure; Science Fiction","TV Movie","NEEDS_REVIEW",369145,"http://localhost:3000/movies/simhapuri-simham-1983"
"Jeevitha Ratham",1981,"Comedy; TV Movie","TV Movie","NEEDS_REVIEW",505884,"http://localhost:3000/movies/jeevitha-ratham-1981"
"Viswaroopam",1981,"Drama; TV Movie","TV Movie","NEEDS_REVIEW",307228,"http://localhost:3000/movies/viswaroopam-1981"
"Nayakudu Vinayakudu",1980,"Drama; TV Movie","TV Movie","NEEDS_REVIEW",307229,"http://localhost:3000/movies/nayakudu-vinayakudu-1980"
"Kaali",1980,"Thriller; Mystery; TV Movie","TV Movie","NEEDS_REVIEW",131718,"http://localhost:3000/movies/kaali-1980"
"Gamattu Gudachari",1978,"Spy; Thriller","Spy","NEEDS_REVIEW",112472,"http://localhost:3000/movies/gamattu-gudachari-1978"
