=== MOVIES MISSING HERO (77) ===
Year	Title	Director	Heroine	Hero (fill)
2018	Amoli	Jasmine Kaur Roy		
2018	Rangula Ratnam	Shree Ranjani		
2014	Nimirndhu Nil	Samuthirakani		
2013	Buddy	Raaj Prabavathy Menon		
2013	Moksha	Srikanth Vemula	Meera Jasmine	
2013	Pavitra	Janardhana Maharshi	Shriya Saran	
2012	Chaduvukovali	Venu		
2011	Nitya Pellikoduku	Murali Krishna		
2011	Sanchalanam	Kranthi Kumar		
2011	Galli Kurrolu	Sai Kishore		
2011	Vankaya Fry	Chandu		
2011	Mangala	Osho Tulasi Ram	Charmme Kaur	
2010	Sye Aata	K.R.K. Pavan	Charmme Kaur	
2010	Comedy Express	E.V.V. Satyanarayana		
2009	Raaj	Prem		
2008	Mangathaayaru Tiffin Centre	Venkat	Mumaith Khan	
2007	Ghutan	Shyam Ramsay		
2006	Pasa Kiligal	P. Amirdhan		
2006	Sarhad Paar	Raman Kumar		
2003	Arasu	AR. Suresh		
2001	Mitta Miraasu	Mu Kalanjiyam		
2000	Thirunelveli	Bharathi Kannan		
2000	Sandhitha Velai	Ravichandran		
1999	Premaku Velayara	S.V. Krishna Reddy		
1999	Mannavaru Chinnavaru	P. N. Ramachandra Rao		
1999	Chinna Raja	Chitra Lakshmanan		
1999	Chinna Durai	Chandra R		
1998	Anthapuram	Pasupuleti Krishna Vamsi		
1998	Rana	A. Kodandarami Reddy	Heera Rajgopal	
1998	Kaathala Kaathala	Singeetam Srinivasa Rao		
1998	Swami Vivekananda	G. V. Iyer		
1998	Ooyala	S.V. Krishna Reddy		
1996	Family	Toshiki Sato		
1994	S. P. Parasuram	Ravi Raja Pinisetty		
1993	Govinda Govinda	Ram Gopal Varma		
1993	Rakshana	John Gilling		
1992	Apradhi	K. Ravi Shankar		
1991	April 1st Vidudhala	Vamsy		
1990	Matti Manushulu	Kodandarami Reddy	Rajani	
1990	Yamadharma Raju	Sharath	Shobana	
1989	Hum Bhi Insaan Hain	Manivannan		
1988	Akarshan	Tanvir Ahmed		
1988	Sone Pe Suhaaga	K. Bapayya		
1988	Sattam Oru Sathurangam	Murali Mohan		
1987	Watan Ke Rakhwale	Rama Rao Tatineni		
1987	Sindoor	K. Ravi Shankar		
1986	Pyar Ke Do Pal	Rajiv Mehra		
1986	Muddat	K. Bapayya		
1985	Archana Aaradhana	Sajan		
1985	Raktha Sindhuram	A. Kodandarami Reddy		
1985	Sarfarosh	Dasari Narayana Rao		
1984	Mangammagari Manavadu	Kodi Ramakrishna		
1984	Inquilaab	Rama Rao Tatineni		
1983	Saagara Sangamam	K. Viswanath		
1981	Nayudu gari Abbai	B.B. Prasad		
1981	Swapna	Dasari Narayana Rao	Swapna	
1981	Chinnaari Chittibaau	K. Subba Rao		
1981	O Amma Katha	Vasanta Sen	Sharada	
1980	Kallukul Eeram	P. S. Nivas		
1979	Sanku Teertham	K. Viswanath		
1978	டாக்ஸி டிரைவர்	N. S. Manian		
1978	Kaliyuga Sthree	Parvataneni Sambasiva Rao		
1977	Unnai Suttrum Ulagam	G. Subramaniya Reddiar		
1976	Seeta Kalyanam	Bapu		
1976	Sita Swayamvar	Bapu		
1975	Julie	K. S. Sethumadhavan		
1973	Chuzhi	Triprayar Sukumaran		
1972	Vasantha Maligai	K. S. Prakash Rao		
1970	Maa Nanna Nirdoshi	K.V. Nandana Rao	Vijaya Nirmala	
1965	Pandava Vanavasam	Kamalakara Kameshwara Rao		
1964	Apne Huye Paraye	Ajit Chakrabarty		
1963	Lava Kusha	Chittajalu Pullayya		
1960	Sri Venkateswara Mahatyam	P. Pullaiah		
1959	Kalyana Parisu	C. V. Sridhar		
1956	Pennin Perumai	P. Pullaiah		
1952	Kalyanam Panni Paar	L. V. Prasad		
1952	Praja Seva	K. Prabhakar Rao	Lakshmi Rajyam, Girija	

=== MOVIES MISSING HEROINE (139) ===
Year	Title	Director	Hero	Heroine (fill)
2026	Sabhaku Namaskaram	Sateesh Mallampati	Allari Naresh	
2018	Mom	Ravi Udyawar	Sridevi	
2018	Rangula Ratnam	Shree Ranjani		
2018	Amoli	Jasmine Kaur Roy		
2014	I Am That Change	Sukumar	Allu Arjun	
2014	Nimirndhu Nil	Samuthirakani		
2014	Entertainment	Kanta Tagawa	Kinzō Sakura	
2013	Buddy	Raaj Prabavathy Menon		
2012	Chaduvukovali	Venu		
2011	Cricket Girls & Beer	Umesh Kumar	Adarsh Balakrishna	
2011	Vankaya Fry	Chandu		
2011	Sanchalanam	Kranthi Kumar		
2011	Nitya Pellikoduku	Murali Krishna		
2011	Galli Kurrolu	Sai Kishore		
2011	Poru Telangana	R. Narayana Murthy	R. Narayana Murthy	
2010	Comedy Express	E.V.V. Satyanarayana		
2010	Veera Telangana	R. Narayana Murthy	R. Narayana Murthy	
2010	Rambabu Gadi Pellam	Kapuganti Rajendra	Allari Naresh	
2010	Udatha Udatha Ooch	Murali Ganesh	Chitram Seenu	
2010	Bhairava Ips	Polur Ghatikachalam	Srihari	
2009	Mesthri	Suresh Krissna	Dasari Narayana Rao	
2009	Raaj	Prem		
2008	Adhyakshaa	Marudhuri Raja	Brahmaji	
2008	Dasavathaaram	K. S. Ravikumar	Jaya Prada	
2007	Amma Nanna Lekunte	Y. Ramakrishna	Krishna	
2007	Sunny	Kamalakar	Kamalakar	
2007	Ghutan	Shyam Ramsay		
2006	Premante Inte	Devakatta	Sumanth	
2006	Pasa Kiligal	P. Amirdhan		
2006	Sarhad Paar	Raman Kumar		
2003	Joot	N. Azhagamperumal	Srikanth	
2003	Arasu	AR. Suresh		
2003	Parthibhan Kanavu	Karu Pazhaniappan	Srikanth	
2002	Roja Koottam	Sasi	Srikanth	
2002	April Maadhathil	S. S. Stanley	Srikanth	
2001	Mitta Miraasu	Mu Kalanjiyam		
2000	Sandhitha Velai	Ravichandran		
2000	Hands Up!	Siva Nageswara Rao	Jayasudha, Brahmanandam, Nagendra Babu	
2000	Thirunelveli	Bharathi Kannan		
2000	Manasichanu	Pramod Kumar	Ravi Teja	
1999	Premaku Velayara	S.V. Krishna Reddy		
1999	Mannavaru Chinnavaru	P. N. Ramachandra Rao		
1999	Chinna Raja	Chitra Lakshmanan		
1999	Chinna Durai	Chandra R		
1998	Ooyala	S.V. Krishna Reddy		
1998	Swami Vivekananda	G. V. Iyer		
1998	Anthapuram	Pasupuleti Krishna Vamsi		
1998	Kaathala Kaathala	Singeetam Srinivasa Rao		
1996	Family	Toshiki Sato		
1994	S. P. Parasuram	Ravi Raja Pinisetty		
1993	Govinda Govinda	Ram Gopal Varma		
1993	Rakshana	John Gilling		
1992	Khuda Gawah	Mukul Anand	Amitabh Bachchan	
1992	Apradhi	K. Ravi Shankar		
1991	Brahmarshi Viswamitra	N.T. Rama Rao	N.T. Rama Rao	
1991	April 1st Vidudhala	Vamsy		
1989	Hum Bhi Insaan Hain	Manivannan		
1988	Sattam Oru Sathurangam	Murali Mohan		
1988	Sone Pe Suhaaga	K. Bapayya		
1988	Akarshan	Tanvir Ahmed		
1987	Maa Voori Magaadu	K. Bapayya	Krishna	
1987	Naku Pellam Kavali	Vijaya Bapineedu	Rajendra Prasad	
1987	Watan Ke Rakhwale	Rama Rao Tatineni		
1987	Sindoor	K. Ravi Shankar		
1987	Allari Krishnaiah	Nandamuri Ramesh	Nandamuri Balakrishna	
1986	Muddat	K. Bapayya		
1986	Khaidi Rudrayya	A. Kodandarami Reddy	Krishna	
1986	Anasuyamma Gari Alludu	A. Kodandarami Reddy	Nandamuri Balakrishna	
1986	Pyar Ke Do Pal	Rajiv Mehra		
1985	Sarfarosh	Dasari Narayana Rao		
1985	Raktha Sindhuram	A. Kodandarami Reddy		
1985	Jwaala	R.P. Swamy	Chiranjeevi	
1985	Archana Aaradhana	Sajan		
1984	Allulu Vasthunnaru	K. Vasu	Chiranjeevi, Chandra Mohan	
1984	Inquilaab	Rama Rao Tatineni		
1984	Mangammagari Manavadu	Kodi Ramakrishna		
1983	Saagara Sangamam	K. Viswanath		
1983	Konte Kodallu	K Vasu	Murali Mohan	
1982	Radha My Darling	B. Bhaskara Rao	Chiranjeevi	
1981	Nayudu gari Abbai	B.B. Prasad		
1981	Chinnaari Chittibaau	K. Subba Rao		
1981	Devudu Mamayya	K. Vasu	Shoban Babu	
1981	Patalam Pandu	K. Vasu	Mohan Babu	
1981	Asha Jyoti	T. Prakash Rao	Murali Mohan	
1981	Erra Mallelu	Dhavala Satyam	Madala Ranga Rao	
1980	Kallukul Eeram	P. S. Nivas		
1980	Chuttalunnaru Jagrattha	B. V. Prasad	Krishna	
1980	Maa Bhoomi	Goutam Ghose	Rami Reddy	
1979	Needa	Dasari Narayana Rao	Ramesh Babu	
1979	Sanku Teertham	K. Viswanath		
1979	Pancha Bhoothalu	P. C. Reddy	Chandra Mohan	
1979	Tayaramma Bangarayya	Kommineni	Sowcar Janaki, Satyanarayana	
1979	Tiger	Nandamuri Ramesh	N.T. Rama Rao	
1978	Rowdy Rangamma	Vijay Singh	Vijaya Lalitha	
1978	Kaliyuga Sthree	Parvataneni Sambasiva Rao		
1978	Manavoori Pandavulu	Bapu	Krishnam Raju	
1978	Sri Renukadevi Mahatyam	C. S. Rao	B. Saroja Devi	
1978	Gamattu Gudachari	Singeetam Srinivasa Rao	Ranganath	
1978	டாக்ஸி டிரைவர்	N. S. Manian		
1978	Lawyer Vishwanath	S D Lal	N.T. Rama Rao	
1977	Tharam Marindi	Singeetam Srinivasa Rao	Sridhar	
1977	Unnai Suttrum Ulagam	G. Subramaniya Reddiar		
1976	Sita Swayamvar	Bapu		
1976	Seeta Kalyanam	Bapu		
1976	Aaradhana	B. V. Prasad	N.T. Rama Rao	
1975	Julie	K. S. Sethumadhavan		
1973	Chuzhi	Triprayar Sukumaran		
1973	Samsaram Sagaram	Dasari Narayana Rao	S. V. Ranga Rao, Sarath Babu	
1972	Muhammad Bin Tuglak	B. V. Prasad	Nagabhushanam	
1972	Rajamahal	K.S. Prakash Rao	Krishnam Raju	
1972	Vasantha Maligai	K. S. Prakash Rao		
1971	Kannan Karunai	N.T. Rama Rao	N.T. Rama Rao	
1971	Poombatta	B K Pottekkadu	Sridevi	
1969	Sattekalapu Satteya	K. Balachander	Chalam, Sobhan Babu	
1968	Padma Shri	Vikram Pradhan	Akkineni Nageswara Rao	
1966	Bhimanjaneya Yuddham	S.D. Lal	N.T. Rama Rao, Kanta Rao	
1965	Pandava Vanavasam	Kamalakara Kameshwara Rao		
1964	Bangaru Thimmaraju	Vijay Krishna	Sai Kumar	
1964	Karnan	B. Ramakrishnaiah Panthulu	N.T. Rama Rao	
1964	Apne Huye Paraye	Ajit Chakrabarty		
1963	Lava Kusha	Chittajalu Pullayya		
1961	Seetha Rama Kalyanam	N.T. Rama Rao	N.T. Rama Rao	
1960	Sri Krishna Rayabaram	Jampana	N.T. Rama Rao, Kanta Rao	
1960	Sri Venkateswara Mahatyam	P. Pullaiah		
1959	Kalyana Parisu	C. V. Sridhar		
1958	Sampoorna Ramayanam	K. Somu	N.T. Rama Rao	
1956	Charana Daasi	Tatineni Prakash Rao	N.T. Rama Rao	
1956	Pennin Perumai	P. Pullaiah		
1956	Matharkula Manikkam	Tatineni Prakash Rao	Akkineni Nageswara Rao	
1954	Todu Dongalu	D. Yoganand	N.T. Rama Rao, Gummadi	
1953	Gumastha	R.M. Krishnaswamy	Akkineni Nageswara Rao, Chittoor V. Nagaiah	
1953	Poongothai	L. V. Prasad	Akkineni Nageswara Rao	
1952	Kalyanam Panni Paar	L. V. Prasad		
1949	Mana Desam	L.V. Prasad	Chittoor V. Nagaiah, N.T. Rama Rao	
1946	Tyagayya	Chittoor V. Nagaiah	Chittoor V. Nagaiah	
1944	Samsara Naradhi	K.B. Nagabhushanam	C.S.R. Anjaneyulu	
1944	Bhakta Kabiru	R. Nagendra Rao	Chittoor V. Nagaiah	
1942	Bhakta Prahlada	K.V. Reddy	Chittoor V. Nagaiah	
1936	Sati Tulasi	Chitrapu Narasimha Rao	C.S.R. Anjaneyulu	
