Title,Year,Director,Hero,Heroine,Slug
"Man Of The Match","2026","P. A. Arun Prasad","Sagar","Mrudula Murali","man-of-the-match-2026"
"Sahakutumbaanaam","2026","Uday Sharma","Raam Kiran","Megha Akash","sahakutumbaanaam-2026"
"Vanaveera","2026","Avinash Thiruveedhula","Avinash Thiruveedhula","Simran Choudhary","vanaveera-2026"
"Madham","2026","Vamsee Krishna Malla","Harsha Gangavarapu","Inaya Sultana","madham-2026"
"1000 Waala","2025","Afzal Shaik","Amith Dream Star","Navitha Gangat","1000-waala-2025"
"Break Out","2025","Jang Hang-jun","Kim Seung-woo","Cha Seung-won","break-out-2025"
"Dhanraj","2025","Dhanraj Koranani","Samuthirakani","Mokksha","dhanraj-2025"
"Super Raja","2025","Thrinadh Katari","Prajwal Devaraj","No Female Lead","super-raja-2025"
"Kotha Rangula Prapancham","2024","Prudhvi Raj","Prudhvi Raj","Krithi Garg","kotha-rangula-prapancham-2024"
"Srikakulam Sherlock Holmes","2024","Writer Mohan","Prabhakar","Aditi Gautam","srikakulam-sherlock-holmes-2024"
"Akkada Varu Ikkada Unnaru","2024","Trivikram Rao Kundurthi","Jagadesh Raj","Sai Harshini","akkada-varu-ikkada-unnaru-2024"
"Alanaati Ramchandrudu","2024","Chilukuri Akash","Prawasthi","Mokksha","alanaati-ramchandrudu-2024"
"Bench Life","2024","Vaibhav","Vaibhav","Ritika Singh","bench-life-2024"
"Pranaya Godari","2024","PL K Reddy","Sadan","Priyanka Prasad","pranaya-godari-2024"
"Praveen Kumar VSS","2024","Praveen Kumar VSS","Suhas","Ruhani Sharma","praveen-kumar-vss-2024"
"Leela Vinodham","2024","Pavan Sunkara","Shanmukh Jaswanth","Anagha Ajith","leela-vinodham-2024"
"Bhavanam","2024","Balachary Kurella","Ajay","No Female Lead","bhavanam-2024"
"Brahmmavaram P.S. Paridhilo","2024","Imran Sastry","Guru Charan","Sravanthi Bellamkonda","brahmmavaram-p-s-paridhilo-2024"
"Subramanyam Chigurupati","2023","Srikant G Reddy","Sushanth","Mehreen Pirzada","subramanyam-chigurupati-2023"
"Neelakanta","2023","Neelakanta","Sai Ronak","No Female Lead","neelakanta-2023"
"Jilebi","2023","Arun Shekar and produced by East Coast Vijayan","Jayasurya","Ramya Nambeesan","jilebi-2023"
"Barla Narayana","2023","Murali Kishor Abburu","Dileep","Ananya Nagalla","barla-narayana-2023"
"Ashtadigbandhanam","2023","Baba PR","Surya Bharath Chandra","Vishika Kota","ashtadigbandhanam-2023"
"Ala Ila Ela","2023","Dwarki Raghav","Shakthi Vasudevan","Poorna","ala-ila-ela-2023"
"Harsha Vardhan","2023","Neha Shetty and  MS Rajashekar reddy  are not correct,  director is  -  Unknown","Naveen Chandra","Gauthami","harsha-vardhan-2023"
"Lakshman K Krishna","2022","Vijay Krishna Acharya","Sithara Entertainments","Rashmika Mandanna","lakshman-k-krishna-2022"
"Bommala Koluvu","2022","Subbu Vedula of Raahu fame and starring himself","himself","Priyanka Sharma","bommala-koluvu-2022"
"Abhimanyu","2022","Sabbir Khan","Abhimanyu Dassani","Shirley Setia","abhimanyu-2022"
"Gudaputani","2021","KM Kumar","Sapthagiri","Neha Solanki","gudaputani-2021"
