Year,Title,Director,Hero,Heroine,TMDB_ID,Status,URL
2023,"'Salaar: Part 2 – Shouryanga Parvam","","","",,No TMDB ID,http://localhost:3000/movies/salaar-part-2-shouryanga-parvam-2023
2021,"Best Actor in a Negative Role (Tamil)","","Jagapathi Babu","",,No TMDB ID,http://localhost:3000/movies/best-actor-in-a-negative-role-tamil-2021
2021,"Bomma Adirindi Dimma Tirigindi","Kumar Kota","Shakalaka Shankar","Avanthika Harinalwa",823441,Has TMDB (no genres),http://localhost:3000/movies/bomma-adirindi-dimma-tirigindi-2021
2020,"Family - A Made at Home Short Film","Prasoon Pandey","Amitabh Bachchan","Priyanka Chopra Jonas",1129970,Has TMDB (no genres),http://localhost:3000/movies/family-a-made-at-home-short-film-2020
2019,"2 Hours Love","Srikanth Pawar","Srikanth Pawar","Kriti Garg",631934,Has TMDB (no genres),http://localhost:3000/movies/2-hours-love-2019
2019,"Nanne Preethse: I Love You","R Chandru","Upendra","Rachita Ram",628368,Has TMDB (no genres),http://localhost:3000/movies/nanne-preethse-i-love-you-2019
2019,"Kavacha","G V R Vasu","Shiva Rajkumar","Kruthika Jayakumar",590906,Has TMDB (no genres),http://localhost:3000/movies/kavacha-2019
2019,"Police officer","","Manchu Manoj","Isamu Kosugi",749574,Has TMDB (no genres),http://localhost:3000/movies/police-officer-2019
2019,"N.T.R: Kathanayukudu","","","",,No TMDB ID,http://localhost:3000/movies/n-t-r-kathanayukudu-2019
2019,"Premier Padmini","","Jaggesh","Madhoo",658152,Has TMDB (no genres),http://localhost:3000/movies/premier-padmini-2019
2018,"Ee Nagariniki Emaindi","Tharun Bhascker Dhaassyam","Vishwak Sen","Sai Sushanth",,No TMDB ID,http://localhost:3000/movies/ee-nagariniki-emaindi-2018
2018,"ch ravi kishore babu","Tanikella Bharani, Amar, Santoshi, Posani Krishna Murali","Friends funding films","Mehreen Pirzada",,No TMDB ID,http://localhost:3000/movies/ch-ravi-kishore-babu-2018
2018,"Ammachi Yemba Nenapu","Champa P. Shetty","Vyjayanthi Adiga","Diya Palakkal",586119,Has TMDB (no genres),http://localhost:3000/movies/ammachi-yemba-nenapu-2018
2018,"Operation 2019","Karanam P. Babji","Manchu Manoj","Manchu Manoj",791058,Has TMDB (no genres),http://localhost:3000/movies/operation-2019-2018
2018,"Aatwaja","Atanu Bose","Shaheb Bhattacherjee","Jaya Prada",1017859,Has TMDB (no genres),http://localhost:3000/movies/aatwaja-2018
2017,"Anaganaga Oka Durga","Prakash Pulijala","Priyanka Naidu","Kranthi Kumar",485855,Has TMDB (no genres),http://localhost:3000/movies/anaganaga-oka-durga-2017
2017,"Jayanth C. Paranjee","Jayanth C. Paranjee","Ganta Ravi","Malvika Raaj",,No TMDB ID,http://localhost:3000/movies/jayanth-c-paranjee-2017
2017,"Best Actor in a Negative Role","","Jagapathi Babu","",,No TMDB ID,http://localhost:3000/movies/best-actor-in-a-negative-role-2017
2017,"Shuddhi","Adarsh Eshwarappa","Lauren Spartano","Niveditha",453419,Has TMDB (no genres),http://localhost:3000/movies/shuddhi-2017
2016,"Vennello Hai Hai","Ajmal, Nikitha Narayan","D V Cine Creations","Nikitha Narayan",401902,Has TMDB (no genres),http://localhost:3000/movies/vennello-hai-hai-2016
2016,"Ethiri En 3","Ramkumar","Srikanth","Poonam Bajwa",280880,Has TMDB (no genres),http://localhost:3000/movies/ethiri-en-3-2016
2016,"Best Actor in a Negative Role (Malayalam)","","Jagapathi Babu","",,No TMDB ID,http://localhost:3000/movies/best-actor-in-a-negative-role-malayalam-2016
2016,"Special Jury Award","","Jagapathi Babu","",,No TMDB ID,http://localhost:3000/movies/special-jury-award-2016
2016,"Ranveer Ching Returns","","","",,No TMDB ID,http://localhost:3000/movies/ranveer-ching-returns-2016
2016,"Shivalinga","P. Vasu","Shiva Rajkumar","Vedhika",414206,Has TMDB (no genres),http://localhost:3000/movies/shivalinga-2016
2015,"Ranna","Nanda Kishore","Sudeepa","Rachita Ram",417878,Has TMDB (no genres),http://localhost:3000/movies/ranna-2015
2015,"Singam 123","Akshat Sharma","Sampoornesh Babu","No Female Lead",,No TMDB ID,http://localhost:3000/movies/singam-123-2015
2015,"Dagudumoota Dandakore","","","",,No TMDB ID,http://localhost:3000/movies/dagudumoota-dandakore-2015
2015,"Anandam Malli Modalaindi","Vamsy","Sumanth","Sanchita Padukone",,No TMDB ID,http://localhost:3000/movies/anandam-malli-modalaindi-2015
2015,"Yavvanam Oka Fantasy","Veeraprasad Neelam","Arvind Krishna","Shubra Aiyappa",526288,Has TMDB (no genres),http://localhost:3000/movies/yavvanam-oka-fantasy-2015
2015,"Well, If You Know Me","","","",,No TMDB ID,http://localhost:3000/movies/well-if-you-know-me-2015
2015,"IIFA Utsavam","","Prabhas","",,No TMDB ID,http://localhost:3000/movies/iifa-utsavam-2015
2014,"Best Actor in a Negative Role (Telugu)","","Jagapathi Babu","",,No TMDB ID,http://localhost:3000/movies/best-actor-in-a-negative-role-telugu-2014
2014,"Best Villain","","Jagapathi Babu","",,No TMDB ID,http://localhost:3000/movies/best-villain-2014
2014,"Exploring ''Shiva'' Movie After 25 Years","","Ram Gopal Varma","Amala Akkineni",1328515,Has TMDB (no genres),http://localhost:3000/movies/exploring-shiva-movie-after-25-years-2014
2014,"Ambareesha","Mahesh Sukadhare","Darshan Thoogudeepa Srinivas","Rachita Ram",465027,Has TMDB (no genres),http://localhost:3000/movies/ambareesha-2014
2013,"Sri Vasavi Vaibhavam","Meena, Suhasini, Suman, Sai Kiran","Produced by V. M. C. Combines","Meena",313294,Has TMDB (no genres),http://localhost:3000/movies/sri-vasavi-vaibhavam-2012
2013,"Bunny N Cherry","Rajesh Puli","Prince","Mahat Raghavendra",,No TMDB ID,http://localhost:3000/movies/bunny-n-cherry-2013
2013,"Prema Oka Maikam","Chandu","Rahul","Charmee Kaur",226076,Has TMDB (no genres),http://localhost:3000/movies/prema-oka-maikam-2013
2013,"Galaate","Md Shridhar","Prajwal Devaraj","Kriti Kharbanda",536239,Has TMDB (no genres),http://localhost:3000/movies/galaate-2013
2013,"Thadaka","","","",705897,Has TMDB (no genres),http://localhost:3000/movies/thadaka-2013
2013,"Ramaiya Vasta Vaiya","","","",,No TMDB ID,http://localhost:3000/movies/ramaiya-vasta-vaiya-2013
2012,"Godfather","Sethu Sriram","Upendra","Soundarya Jayamala",755450,Has TMDB (no genres),http://localhost:3000/movies/godfather-2012
2012,"Yamaho Yama: in America","Sairam Shankar, Parvati Melton, Srihari, Sanjjanaa","Produced By Gvk Arts","Srihari",,No TMDB ID,http://localhost:3000/movies/yamaho-yama-in-america-2012
2012,"Krantiveera Sangolli Rayanna","Naganna","Jaya Prada","Jaya Prada",,No TMDB ID,http://localhost:3000/movies/krantiveera-sangolli-rayanna-2012
2012,"Paagan","Mohammed Aslam","Srikanth","Janani Iyer",146847,Has TMDB (no genres),http://localhost:3000/movies/paagan-2012
2012,"Ethiri En 3","","","",280880,Has TMDB (no genres),http://localhost:3000/movies/ethiri-en-3-2012
2012,"6","V. Z. Durai","Jagapathi Babu","Gayathri Iyer",1199881,Has TMDB (no genres),http://localhost:3000/movies/6-2012
2012,"Rasaleela","Majeed Maranchery","","",143510,Has TMDB (no genres),http://localhost:3000/movies/rasaleela-2012
2011,"Saarathi","","Darshan Thoogudeepa Srinivas","Deepa Sannidhi",463207,Has TMDB (no genres),http://localhost:3000/movies/saarathi-2011
2011,"Bhale Mogudu Bhale Pellam","","","",,No TMDB ID,http://localhost:3000/movies/bhale-mogudu-bhale-pellam-2011
2011,"Badrinadh","","","",,No TMDB ID,http://localhost:3000/movies/badrinadh-2011
2011,"Kalabha Mazha","","","",,No TMDB ID,http://localhost:3000/movies/kalabha-mazha-2011
2011,"Marana Porali","","","",,No TMDB ID,http://localhost:3000/movies/marana-porali-2011
2011,"Payanam","Radha Mohan","","",1285853,Has TMDB (no genres),http://localhost:3000/movies/payanam-2011
2010,"Alasyam Amrutham","Chandra Mahesh","Nikhil Siddharth","Madalsa Sharma",307736,Has TMDB (no genres),http://localhost:3000/movies/alasyam-amrutham-2010
2010,"Betting Bangaraju","","","",,No TMDB ID,http://localhost:3000/movies/betting-bangaraju-2010
2010,"Shubhapradam","","","",,No TMDB ID,http://localhost:3000/movies/shubhapradam-2010
2010,"Super","Upendra","Upendra","Nayanthara",123196,Has TMDB (no genres),http://localhost:3000/movies/super-2010
2009,"Sesh Sangat","Ashoke Viswanathan","Ashish Vidhyarthi","Jaya Prada",173998,Has TMDB (no genres),http://localhost:3000/movies/sesh-sangat-2009
2009,"Sesh Sanghat","Ashoke Viswanathan","Jaya Prada","Jaya Prada",173998,Has TMDB (no genres),http://localhost:3000/movies/sesh-sanghat-2009
2009,"Indira Vizha","Vardhan Interview","Srikanth","Namitha",336830,Has TMDB (no genres),http://localhost:3000/movies/indira-vizha-2009
2009,"Adhinetha","revelation about AA","Jagapathi Babu","Hamsha Nandini",258912,Has TMDB (no genres),http://localhost:3000/movies/adhinetha-2009
2008,"Moggina Manasu","Shashank","Radhika Pandit","Shuba Poonja",587437,Has TMDB (no genres),http://localhost:3000/movies/moggina-manasu-2008
2008,"Netru Indru Naalai","Lakshmikanth Chenna","Tamannaah Bhatia","Rekha Vedavyas",1324933,Has TMDB (no genres),http://localhost:3000/movies/netru-indru-naalai-2008
2007,"Deha","Mahesh Manjrekar","Mahesh Manjrekar","Amrita Arora",462352,Has TMDB (no genres),http://localhost:3000/movies/deha-2007
2006,"Iddaru Attala Muddula Alludu","","","",,No TMDB ID,http://localhost:3000/movies/iddaru-attala-muddula-alludu-2006
2006,"Gurukshetram","Jayabharathi","Rajendra Prasad","Roja Selvamani",304052,Has TMDB (no genres),http://localhost:3000/movies/gurukshetram-2006
2006,"Kizhakku Kadalkarai Salai","S. S. Stanley","Srikanth","Bhavana",79416,Has TMDB (no genres),http://localhost:3000/movies/kizhakku-kadalkarai-salai-2006
2006,"Kizhakku Kadarkarai Salai","S. S. Stanley","Srikanth","Bhavana",79416,Has TMDB (no genres),http://localhost:3000/movies/kizhakku-kadarkarai-salai-2006
2006,"Mercury Pookkal","S. S. Stanley","Srikanth","Meera Jasmine",79417,Has TMDB (no genres),http://localhost:3000/movies/mercury-pookkal-2006
2006,"Madrasi","Arjun Sarja","Jagapathi Babu","Vedhika",66510,Has TMDB (no genres),http://localhost:3000/movies/madrasi-2006
2006,"Gopi – Goda Meedha Pilli","","","",,No TMDB ID,http://localhost:3000/movies/gopi-goda-meedha-pilli-2006
2006,"సుందరానికి తొందరెక్కువ","","","",,No TMDB ID,http://localhost:3000/movies/-2006
2006,"Bhagyalakshmi Bumper Draw","Nidhi Prasad","Rajendra Prasad","Richard Rishi",80945,Has TMDB (no genres),http://localhost:3000/movies/bhagyalakshmi-bumper-draw-2006
2005,"Best Supporting Actor – Telugu","","Jagapathi Babu","",,No TMDB ID,http://localhost:3000/movies/best-supporting-actor-telugu-2005
2005,"That is Pandu","Devi Prasad","Jagapathi Babu","Sneha",890443,Has TMDB (no genres),http://localhost:3000/movies/that-is-pandu-2005
2005,"Auto Shankar","D. Rajendra Babu","Upendra","Shilpa Shetty Kundra",378669,Has TMDB (no genres),http://localhost:3000/movies/auto-shankar-2005
2004,"Puttintiki Raa Chelli","Kodi Ramakrishna","Arjun Sarja","Meena",243564,Has TMDB (no genres),http://localhost:3000/movies/puttintiki-raa-chelli-2004
2004,"Apparao Driving School","","","",,No TMDB ID,http://localhost:3000/movies/apparao-driving-school-2004
2004,"Intlo Srimathi Veedhilo Kumari","K. Vasu","Prabhu Deva","Srikanth",310033,Has TMDB (no genres),http://localhost:3000/movies/intlo-srimathi-veedhilo-kumari-2004
2004,"Ee Snehatheerathu","Son Kwang-Ju","","Kim Ji-in",837107,Has TMDB (no genres),http://localhost:3000/movies/ee-snehatheerathu-2004
2004,"Varnajalam","","Srikanth","Sadha",269720,Has TMDB (no genres),http://localhost:3000/movies/varnajalam-2004
2003,"Palanati Brahmanaidu","","Nandamuri Balakrishna","",,No TMDB ID,http://localhost:3000/movies/palanati-brahmanaidu-2003
2003,"Manasellam","Santhosh","Srikanth","Trisha Krishnan",275922,Has TMDB (no genres),http://localhost:3000/movies/manasellam-2003
2003,"All over the heart","Santhosh","Srikanth","",275922,Has TMDB (no genres),http://localhost:3000/movies/all-over-the-heart-2003
2003,"Pelli Kani Prasad","","Sivaji Sontineni","Sridevi Vijayakumar",1142514,Has TMDB (no genres),http://localhost:3000/movies/pelli-kani-prasad-2003
2002,"Ninu Choodaka Nenundalenu","R. Srinivas","Sachiin J. Joshi","Bhavna Pani",,No TMDB ID,http://localhost:3000/movies/ninu-choodaka-nenundalenu-2002
2002,"Hollywood","Dinesh Baboo","Upendra","Felicity Mason",339861,Has TMDB (no genres),http://localhost:3000/movies/hollywood-2002
2002,"Ivan","R. Parthiban","Soundarya","Meena",281820,Has TMDB (no genres),http://localhost:3000/movies/ivan-2002
2002,"Chennakeshava Reddy","","","",,No TMDB ID,http://localhost:3000/movies/chennakeshava-reddy-2002
2002,"Angala Parameswari","","","",,No TMDB ID,http://localhost:3000/movies/angala-parameswari-2002
2002,"Kottai Mariamman","","","",476941,Has TMDB (no genres),http://localhost:3000/movies/kottai-mariamman-2002
2001,"Naa Manasistha Raa","R.R.Shinde","Srikanth","Richa",,No TMDB ID,http://localhost:3000/movies/naa-manasistha-raa-2001
2001,"Time Pass","","Ajay","",330753,Has TMDB (no genres),http://localhost:3000/movies/time-pass-2001
2001,"Kalasi Naduddam","Kodi Ramakrishna","Srikanth","Soundarya",822871,Has TMDB (no genres),http://localhost:3000/movies/kalasi-naduddam-2001
2001,"Kottai Mariamman","Rama Narayanan","","",476941,Has TMDB (no genres),http://localhost:3000/movies/kottai-mariamman-2001
2000,"Vamsoddarakudu","","","",,No TMDB ID,http://localhost:3000/movies/vamsoddarakudu-2000
2000,"Nagadevathe","Om Saiprakash","Soundarya","Prema",1338442,Has TMDB (no genres),http://localhost:3000/movies/nagadevathe-2000
2000,"Sakutumba Saparivaara Sametham","","","",306450,Has TMDB (no genres),http://localhost:3000/movies/sakutumba-saparivaara-sametham-2000
2000,"Eazhaiyin Sirippil","K. Subash","","",280963,Has TMDB (no genres),http://localhost:3000/movies/eazhaiyin-sirippil-2000
1999,"Z","K. Praveen Nayak","Prakash Raj","Prema",755434,Has TMDB (no genres),http://localhost:3000/movies/z-1999
1999,"Preyasi Rave","","","",,No TMDB ID,http://localhost:3000/movies/preyasi-rave-1999
1998,"W/o V. Vara Prasad","Vamsy","Vineeth","J. D. Chakravarthy",,No TMDB ID,http://localhost:3000/movies/w-o-v-vara-prasad-1998
1998,"Yuvaratna Raana","","Nandamuri Balakrishna","",,No TMDB ID,http://localhost:3000/movies/yuvaratna-raana-1998
1998,"Doni Sagali","","","",,No TMDB ID,http://localhost:3000/movies/doni-sagali-1998
1998,"Karnataka State Film Awards","","Soundarya","",,No TMDB ID,http://localhost:3000/movies/karnataka-state-film-awards-1998
1998,"Aayanagaru","","","",,No TMDB ID,http://localhost:3000/movies/aayanagaru-1998
1998,"Zulm-O-Sitam","K. C. Bokadia","Jaya Prada","Jaya Prada",588993,Has TMDB (no genres),http://localhost:3000/movies/zulm-o-sitam-1998
1998,"Maavidakulu","","Jagapathi Babu","",308065,Has TMDB (no genres),http://localhost:3000/movies/maavidakulu-1998
1998,"Aami Sei Meye","Prosenjit Chatterjee","Jaya Prada","Jaya Prada",989463,Has TMDB (no genres),http://localhost:3000/movies/aami-sei-meye-1998
1997,"Jai Bajarangbali","","","",,No TMDB ID,http://localhost:3000/movies/jai-bajarangbali-1997
1997,"Maa Nanna Ki Pelli","","Krishnam Raju","Simran",308064,Has TMDB (no genres),http://localhost:3000/movies/maa-nanna-ki-pelli-1997
