Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
2026	Man Of The Match	P. A. Arun Prasad	Sagar	Mrudula Murali			Drama
2026	Sahakutumbaanaam	Uday Sharma	Raam Kiran	Megha Akash			Drama
2026	Vanaveera	Avinash Thiruveedhula	Avinash Thiruveedhula	Simran Choudhary			Drama
2026	Madham	Vamsee Krishna Malla	Harsha Gangavarapu	Inaya Sultana			Drama
2025	1000 Waala	Afzal Shaik	Amith Dream Star	Navitha Gangat			Action
2025	Break Out	Jang Hang-jun	Kim Seung-woo	Cha Seung-won			Action
2025	Dhanraj	Dhanraj Koranani	Samuthirakani	Mokksha			Drama
2025	Super Raja	Thrinadh Katari	Prajwal Devaraj	No Female Lead			Action
2024	Kotha Rangula Prapancham	Prudhvi Raj	Prudhvi Raj	Krithi Garg			Horror
2024	Srikakulam Sherlock Holmes	Writer Mohan	Prabhakar	Aditi Gautam			Thriller
2024	Akkada Varu Ikkada Unnaru	Trivikram Rao Kundurthi	Jagadesh Raj	Sai Harshini			Romance
2024	Alanaati Ramchandrudu	Chilukuri Akash	Prawasthi	Mokksha			Drama
2024	Bench Life	Vaibhav	Vaibhav	Ritika Singh			Drama
2024	Pranaya Godari	PL K Reddy	Sadan	Priyanka Prasad			Romance
2024	Praveen Kumar VSS	Praveen Kumar VSS	Suhas	Ruhani Sharma			Biographical
2024	Leela Vinodham	Pavan Sunkara	Shanmukh Jaswanth	Anagha Ajith			Romance
2024	Bhavanam	Balachary Kurella	Ajay	No Female Lead			Drama
2024	Brahmmavaram P.S. Paridhilo	Imran Sastry	Guru Charan	Sravanthi Bellamkonda			Drama
2023	Subramanyam Chigurupati	Srikant G Reddy	Sushanth	Mehreen Pirzada			Drama
2023	Neelakanta	Neelakanta	Sai Ronak	No Female Lead			Mythological
2023	Jilebi	Arun Shekar and produced by East Coast Vijayan	Jayasurya	Ramya Nambeesan			Drama
2023	Barla Narayana	Murali Kishor Abburu	Dileep	Ananya Nagalla			Drama
