Year	Title	Director	Hero	Heroine	Music_Director
2025	Ponton's Heart	Senad Šahmanović	Marija Labudović	Jadranka Mamić	
2024	Raju Gari Ammayi Naidu Gari Abbayi	Satya Raj	Ravi Teja Nunna	Neha Jha	
2024	Akkada Varu Ikkada Unnaru	Trivikram Rao Kundurthi	Jagadesh Raj	Sai Harshini	
2024	Eesaraina!?	Eshaku Dasari	Goutham	Hasini	
2024	Sandeham	Sateesh Paramveda	Suman Tej	Hebah Patel	
2024	Make a Wish	Sandhya Bayireddy	Kiran Kasturi	Sandhya Bayireddy	
2024	Drill	Haranath Policherla	Gemini Suresh	Karunya Chowdary	
2024	RRR: Behind & Beyond	S. S. Rajamouli	N. T. Rama Rao Jr.	Ram Charan	
2024	Modern Masters: SS Rajamouli	Raghav Khanna	S. S. Rajamouli	James Cameron	
2024	1980 Lo Radhekrishna	Ismail Shaik	SS Saidulu	Bramarambika Tutika	
2024	Leela Vinodam	Pavan Sunkara	Goparaju Ramana	V. S. Roopa Lakshmi	
2024	Ruslaan	Karan Lalit Butani	Jagapathi Babu	Vidya Malvade	
2024	100 Crores	Virat Chakravarthy	Rahul Haridas	Sakshi Chaudhary	
2024	Nayanthara: Beyond the Fairy Tale	Amith Krishnan	Vignesh Shivan	Nayanthara	
2024	Tom And Jerry	Raghav Vinay Shivamani	Nithin Rao	Chaitra Rao	
2024	Bhavanam	Balachary Kurella	Ajay	Sneha Ullal	
2023	Sagiletikatha	Rajshekar	Raviteja Mahadasyam	Vishika Kota	
2023	Salam Sainika	Subramanyam Chigurupati	Dev	Sree Bhavya	
2023	Saachi	Vivek Pothagoni	Ashok Mulavirat	Sanjana Reddy	
2023	Matti Katha	Pavan Kadiyala	Dayanand Reddy	Maya	
2023	Two Souls	Shravan	Praveen	Mounika Reddy	
2023	Gammathu	Aswwani Sri Krisshna	Parvateesam	Swati Dixit	
2023	Upendra Gadi Adda	Aryan Subhan	Muralidhar Goud	Sandhya Janak	
2023	Thathsama Thathbhava	Vishal Saketh	Prajwal Devaraj	Meghana Raj	
2023	Amala	Safeer Thailan	Srikanth	Rajisha Vijayan	
2022	Vishwak	Venugopal	Ajay Kumar	No Female Lead	
2022	Chittam Maharani	Akula Kasi Viswanath	Yazurved Gurram	Rachana Inder	
2022	#69 Samskar Colony	Sunil Kumar Reddy	Ester Noronha	Rishwi Thimmaraju	
2022	Aakasha Veedhullo	Gautham Krishna.D	Srikanth Iyengar	Harshita Gaur	
2022	Niku Naku Pellanta Tom Tom Tom	Manikanta Thalluri	Inturi Vasu	Sanjana Anne	
2021	Poster	TMR	Shivaji Raja	Raashi Singh	
2021	Jai Sena	V. Samudra	Srikanth	No Female Lead	
2021	Climax	Bhavani Shankar Kaipa	Tomohiro Ishii	Sasha Singh	
2021	Chandamama Raave Asap	Filmian	Divya Sripada	Divya Sripada	
2021	Salt	Sayed Munna	Babawalli	Rishika Singh	
2021	Surya	Subbu.k	Ravi Shiva Teja	Mounika Reddy	
2021	Jhimma	Hemant Dhome	Siddharth Chandekar	Sonalee Kulkarni	
2021	Journalist	Mahesh Sukadhare	Ramki	Tashu Kaushik	
2021	Ooriki Uttharana	Thirupathi Rao	Chakrapani Ananda	Dipali Sharma	
2021	A: Ad Infinitum	Ugandhar Muni	Nitin Prasanna	Preeti Asrani	
2021	Bomma Adirindi Dimma Tirigindi	Kumar Kota	Shakalaka Shankar	Avanthika Harinalwa	
2020	Thagite Thandana	Shravan Kumar K.	Rakshit	Ananya	
2020	Neevalle Nenunna	M Saibaba	Jabardasth Ramprasad	Sri Pallavi	
2020	Cheema Prema Madhyalo Bhama	Srikanth Appalaraju	Amit Kumar	Indu	
2020	Oka Chinna Viramam	Sundeep Cheguri	Naveen Neni	Punarnavi Bhupalam	
2020	DubSmash	Keshav Depur	Pavan Krishna	Supraja Koneti	
2020	Degree College	Nandi Narasimha Reddy	Varun Kamal	Gummadi Jaya Vani	
2020	302	Karthik	Sree Varma	Deepti	
2020	Life Anubavinchu Raja	Suresh Thirumur	Ravi Teja Nannimala	Shruti Sharan Shetty	
2020	Family - A Made at Home Short Film	Prasoon Pandey	Amitabh Bachchan	Priyanka Chopra Jonas	
2019	Nenu Aadhi Madyalo Maa Nanna	Prem Chand	Manoj Nandam	Renuka	
2019	Prematho Cheppana	Ravi Varma	Sudheer Babu	Niharika Konidela	
2019	Seven	Nizar Shafi	Havish	Nandita Swetha	
2019	Ranasthalam	Sudheer Varma	Sharwanand	Mehreen Pirzada	
2019	Ek	Sri Saripalli	Aadhi	Nicole Madell	
2019	Nene Mukyamantri	Srikanth Addala	Nandamuri Kalyan Ram	Milky Suresh is not the heroine, but I am not sure, so: Unknown	
2019	Aaviri	Ravi Babu	Ravi Babu	Neha Chauhan	
2019	Danger Love Story	Shekar Chandra	Khayyum	Adia	
2019	Krishna Rao Supermarket	Srinath Pulakuram	Kriish	Elsa Ghosh	
2019	Thupaki Ramudu	T. Prabhakar	Bittiri Satti	Priya	
2019	Bailampudi	Anil PG Raj	Harish Vinay	Tanishq Rajan	
2019	Bilalpur Police Station	Naga Sai Makam	Maganti Srinath	Saanve Meghana	
2019	Heza	Munna Kasi	Nutan Naidu	Mumaith Khan	
2019	Yatra	Samrat Shakya	Salon Basnet	Suhasini Maniratnam	
2019	Bhagya Nagara Veedhullo Gammathu	Srinivasa Reddy	Srinivasa Reddy	Dollysha	
2019	Nivaasi	Vijay Kiran	Varun Sandesh	Tejaswini	
2019	Malli Malli Chusa	Hemanth Karthik	Ajay	Kairavi Thakkar	
2019	—N/a	Hannes Rossacher	Eric Burdon	Sridevi	
2019	Darpanam	Jeevan Reddy	Tanneru Tanish	Sunny Leone	
2019	Police officer	Ramesh Varma	Manchu Manoj	Isamu Kosugi	
2018	Ee Nagariniki Emaindi	Tharun Bhascker	Vishwak Sen	Anisha Ambrose	
2018	Masakkali	Nabi Enugubala	Sai Ronak	Shravya	
2018	Anthaku Minchi	Jhony	Ravi Prakash	Rashmi Gautham	
2018	Desamlo Dongalu Paddaru	Gouthama rajkumar	Ali Basha	Tanishq Rajan	
2018	Ishtangaa	Rajiv Kanakala	Arjun Reddy	Tanishq Rajan	
2018	Moodu Puvulu Aaru Kayalu	Ramaswamy	Arjun Yagith	Nikita	
2018	Parichayam	Lakshman Karya	Virat Konduru	Simrat Kaur	
2018	Anthervedam	Ravi Kishore Chandina	Amar	Santoshini	
2018	Rachayitha	Vidya Sagar Raju	Jiddu Sriram	Sanchita Padukone	
2018	Sarabha	Narayan Nagendra Rao	Aakash Sehdev	Mishti Chakraborty	
2018	Sharabha	Narayan Rogers	Aakash Kumar	Mishti	
2018	Sivakasipuram	Santhosh Raj	Chammak Chandra	Priyanka Sharma	
2018	Kinar	Mummy Century	Jaya Prada	Revathi	
2017	Anaganaga Oka Durga	Prakash Pulijala	Ravi	Kranthi Kumar	
2017	Hello!	Vikram Kumar	Akhil Akkineni	Mizuki Fukumura	
2017	Mixture Potlam	Satish Kumar M. V.	Bhanuchander	Shweta Basu Prasad	
2017	O Pilla Nee Valla	Sonti Kishore Kumar Reddy	Krishna Chaitanya	Monika Singh	
2017	Muduvandala Muppai Nalugo Katha	Narayana Pendyala	Vinay	Priyanka Augustin	
2017	Vasham	Srikanth Challa	Krishneswara Rao	Swetaa Varma	
2017	Jaya. B	Yun Hak-ryeol	Kim Jeong-gyun	Oh Ye-seol	
2017	Shekaram Gari Abbayi	Sai Akshatha	Vinnu Maddipati	Sai Akshatha	
2017	E Ee	Ram Ganpati	Neiraj	Naira Shah	
2017	Nee Preme Naa Pranam	Rajasekhar	Lucky	Sireesha	
2016	Vennello Hai Hai	Vamsi	Ajmal Ameer	Nikitha Narayan	
2016	Meeku Meere Maaku Meeme	Hussain Sha Kiran	Tarun Shetty	Avantika Mishra	
2016	Karam Dosa	Trivikram Gajulapalli	Shivakumar Ramachandravarapu	Aditi Singh	
2016	Mister 420	S.S . Ravikumar	Varun Sandesh	Priyanka Bharadwaja	
2016	Eluka Majaka	Relangi Narasimha Rao	Brahmanandam	Vasundhara	
2016	Charusheela	Srinivas Reddy Vuyyuru	Rajiv Kanakala	Rashmi Gautham	
2016	Aata	Krishna Vijay	Srikanth	Vandana Gupta	
2016	Jayammu Nischayammuu Raa	Shiva Raj Kanumuri	Srinivasa Reddy	Poorna	
2016	L7	Mukund Pandey	Thrigun	Pooja Jhaveri	
2015	Cinema Chupista Maava	Trinadha Rao Nakkina	Raj Tarun	Avika Gor	
2015	Paddanandi Premalo Mari	Mahesh Upputuri	Varun Sandesh	Vithika Sheru	
2015	Tippu	Harish Shankar	Sai Dharam Tej	Raghu Babu's daughter, but the actual heroine name is Unknown	
2015	Affair	Nuel Crisostomo Naval	Richard Gomez	Dawn Zulueta	
2015	Intelligent Idiots	Balaji	Vijay Raghavendra	Sanchita Shetty	
2015	Anandam Malli Modalaindi	Vamsi	Sumanth	Sanchita Padukone	
2015	Yavvanam Oka Fantasy	Veeraprasad Neelam	Arvind Krishna	Shubra Aiyappa	
2015	O Manasa	Sahaja Rao	Ajay Manthena	Aparna Bajpai	
2015	Surya Vs Surya	Karthik Ghattamaneni	Nikhil Siddhartha	Tanikella Bharani	
