Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1966	Aastiparulu	V Madhusudhana Rao	Akkineni Nageswara Rao	Savitri			Drama
1966	Adugu Jaadalu	Adurthi Subba Rao	N.T. Rama Rao	Vanisri			Drama
1966	Aggi Barata	B.Vittalacharya	Kantha Rao	Kanchana			Drama
1966	Bhakta Potana	V. Nagayya	Akkineni Nageswara Rao	Anjali Devi			Drama
1966	Bhimanjaneya Yuddham	Singheetam Srinivasa Rao	N.T. Rama Rao	Vanisri			Drama
1966	Chilaka Gorinka	K. Vasu	Krishna	Vanisri			Drama
1966	Dr. Anand	V. Madhusudhana Rao	Akkineni Nageswara Rao	Kanchana			Drama
1966	Hantakulostunnaru Jagratha	A. Katherine	Krishna	Kanchana			Drama
1966	Kanne Manasulu	K. Viswanath	Krishna	Kanchana			Drama
1966	Leta Manasulu	Adurthi Subba Rao	Haranath	Kanchana			Drama
1966	Loguttu Perumallukeruka	Tatineni Prakash Rao	N.T. Rama Rao	Krishna Kumari			Drama
1966	Manase Mandiram	C	Akkineni Nageswara Rao	Savitri			Drama
1966	Mangalasutram	Amaranath	N.T. Rama Rao	Krishna Kumari			Drama
1966	Monagallaku Monagadu	Bollichina Bhaskar Rao	N.T. Rama Rao	Jamuna			Drama
1966	Navaratri	Tatineni Prakash Rao	Akkineni Nageswara Rao	Savitri			Drama
1966	Palnati Yuddham	Gutha Ramineedu	N.T. Rama Rao	B. Saroja Devi			Drama
1966	Palnati Yudham	Gutha Ramineedu	N.T. Rama Rao	B. Saroja Devi			Mythological
1966	Pidugu Ramudu	Bollepalli	N.T. Rama Rao	Krishna Kumari			Drama
1966	Potti Pleader	K Vasu	Kantha Rao	Krishna Kumari			Drama
1966	Rangula Ratnam	Bapu	Chandra Mohan	Vanisri			Drama
1966	Sangeeta Lakshmi	Gudavalli Ramabrahmam	Haranath	Anjali Devi			Drama
1966	Shakuntala	Kamalakara Kameswara Rao	N.T. Rama Rao	B Saroja Devi			Mythological
1966	Shrimati	K Pratyagatma	Akkineni Nageswara Rao	Savitri			Drama
1966	Srikakula Andhra Maha Vishnu Katha	A. K. Sekhar	N.T. Rama Rao	Jamuna			Mythological
1965	Aada Brathuku	Adurthi Subba Rao	N.T. Rama Rao	Vanisri			Drama
1965	Chaduvukonna Bharya	KVAS	N.T. Rama Rao	Vanisri			Drama
1965	Chandrahasa	Babu Rao	N.T. Rama Rao	Krishna Kumari			Drama
1965	Devata	K Vasu	N.T. Rama Rao	Savitri			Drama
1965	Dorikithe Dongalu	P	N.T. Rama Rao	Krishna Kumari			Drama
1965	Keelu Bommalu	C.S. Rao	Akkineni Nageswara Rao	Krishna Kumari			Drama
1965	Mangamma Sapatham	Babu Rao	N.T. Rama Rao	Savitri			Mythological
1965	Manushulu Mamathalu	K Vasu	Akkineni Nageswara Rao	Savitri			Drama
1965	Pakkalo Ballem	Vamsy	Akkineni Nageswara Rao	Jamuna			Drama
1965	Prachanda Bhairavi	V Nagayya	N.T. Rama Rao	Anjali Devi			Drama
1965	Prameelarjuneeyam	B. V. Prasad	Akkineni Nageswara Rao	B. Saroja Devi			Drama
1965	Pratignapalana	C. Pullaiah	Akkineni Nageswara Rao	Pushpavalli			Drama
1965	Preminchi Choodu	A. Kodandarami Reddy	Akkineni Nageswara Rao	Vanisri			Romance
1965	Sati Sakkubai	Chittor V. Nagaiah	N.T. Rama Rao	Devika			Drama
1965	Satya Harishchandra	C Pullaiah	N.T. Rama Rao	S Varalakshmi			Drama
1965	Sri Simhachala Kshetra Mahima	B. V. Prasad	Kanta Rao	Krishna Kumari			Mythological
1965	Sumangali	Vedantam Raghavayya	N.T. Rama Rao	Savitri			Drama
1965	Tene Manasulu	Adurthi Subba Rao	Chandra Mohan	Krishna Kumari			Drama
1965	Thodu Needa	Adurthi Subba Rao	N.T. Rama Rao	Krishna Kumari			Drama
1965	Veelunama	Adurthi Subba Rao	N.T. Rama Rao	Krishna Kumari			Drama
1965	Veerabhimanyu	V. Madhusudhana Rao	N.T. Rama Rao	Krishna Kumari			Drama
1965	Visala Hrudayalu	B. S. Narayana	N.T. Rama Rao	Krishna Kumari			Drama
1965	Zamindar	Babu Rao	N.T. Rama Rao	Jayalalitha			Action
1964	Aatma Balam	Adurthi Subba Rao	Akkineni Nageswara Rao	Pushpavalli			Drama
1964	Amara Shilpi Jakkanna	B. S. Ranga	Akkineni Nageswara Rao	B. Saroja Devi			Drama
1964	Babruvahana	NTR	N.T. Rama Rao	Krishna Kumari			Mythological
1964	Bobbili Yuddham	Gutha Ramineedu	N.T. Rama Rao	Jamuna			Drama
1964	Dagudu Moothalu	Adurthi Subba Rao	Akkineni Nageswara Rao	Savitri			Drama
1964	Gudi Gantalu	V. Madhusudhana Rao	Akkineni Nageswara Rao	Savitri			Drama
1964	Kalavari Kodalu	K Vasu	N.T. Rama Rao	Krishna Kumari			Drama
1964	Manchi Manishi	K Pratyagatma	N.T. Rama Rao	Vanisri			Drama
1964	Pativrata	V. Madhusudhana Rao	Akkineni Nageswara Rao	Savitri			Drama
1964	Peetala Meeda Pelli	Ghantasala Krishnamurthy	Jaggayya	Janaki			Drama
1964	Pooja Phalamu	Babu Rao	N.T. Rama Rao	Devika			Drama
1964	Ramudu Bheemudu	Tatineni Prakash Rao	N.T. Rama Rao	Krishna Kumari			Drama
1964	Sabhash Suri	S. R. Das	Kanta Rao	Krishna Kumari			Drama
1964	Sri Satyanarayana Mahathyam	S Rajinikanth	N.T. Rama Rao	Krishna Kumari			Drama
1964	Sri Tirupatamma Katha	B. S. Narayana	N.T. Rama Rao	Krishna Kumari			Mythological
1964	Vaarasatwam	Bapu	N.T. Rama Rao	Devika			Drama
1964	Vivaha Bandham	Vedantam Raghavayya	N.T. Rama Rao	Devika			Drama
