Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
1954	Parivartana	T. Prakash Rao	N.T. Rama Rao	B. Saroja Devi			Drama
1954	Jyothi	Kothay Narayanan	N.T. Rama Rao	Anjali Devi			Drama
1954	Annadata	Vedantam Raghavayya	N.T. Rama Rao	Anjali Devi			Drama
1954	Jatakaphalam	A. S. A. Sami	N.T. Rama Rao	Anjali Devi			Drama
1954	Chakrapani	V. Madhusudhana Rao	Akkineni Nageswara Rao	Anjali Devi			Drama
1954	Chandraharam	Debaki Bose	N.T. Rama Rao	Bhanumathi			Drama
1954	Todu Dongalu	Vasanthkumar Reddy	N.T. Rama Rao	Savitri			Drama
1954	Aggi Ramudu	Cedepalli Gopal	N.T. Rama Rao	Jayasri			Action
1954	Rechukka	Raghavaiah	N.T. Rama Rao	Anjali Devi			Drama
1954	Anta Manavalle	Vedantam Raghavayya	Akkineni Nageswara Rao	Bhanumathi			Drama
1954	Baalanandam	B. S. Ranga	N.T. Rama Rao	B. Saroja Devi			Drama
1954	Sati Sakkubai	Kothamudi Gopala Rao	N.T. Rama Rao	Anjali Devi			Drama
1954	Amara Sandhesam	V Nagayya	N.T. Rama Rao	Savitri			Drama
1954	Iddaru Pellalu	Fateh Hal Rai	Akkineni Nageswara Rao	Bhanumathi			Drama
1954	Maa Gopi	A.S.A. Sami	N.T. Rama Rao	Savitri			Drama
1954	Nirupedalu	A. S. A. Sami	Akkineni Nageswara Rao	Savitri			Drama
1954	Kalahasti Mahatyam	HVS	N.T. Rama Rao	Kannamba			Drama
1954	Palle Paduchu	Trivikrama Rao	Akkineni Nageswara Rao	Bhanumathi			Drama
1954	Peddamanushulu	Adurthi Subba Rao	N.T. Rama Rao	Savitri			Drama
1954	Menarikam	K. Ramnath	N.T. Rama Rao	Bhanumathi			Drama
1954	Raju Peda	B. A. Subba Rao	N.T. Rama Rao	Savitri			Drama
1953	Pempudu Koduku	Ramanand	N.T. Rama Rao	Savitri			Drama
1953	Naa Chellelu	Fateh Hal Rai	Akkineni Nageswara Rao	Anjali Devi			Drama
