slug	title_en	year	director	tmdb_id	url	issues
patta-pagalu-tba	Patta Pagalu	NULL	Ram Gopal Varma	498456	http://localhost:3000/movies/patta-pagalu-tba	INVALID/MISSING YEAR
mirai-jaithraya-tba	Mirai Jaithraya	NULL	Karthik Ghattamaneni	1562708	http://localhost:3000/movies/mirai-jaithraya-tba	INVALID/MISSING YEAR
natudu-tba	Natudu	NULL	Prasad	594219	http://localhost:3000/movies/natudu-tba	INVALID/MISSING YEAR
naa-katha-tba	Naa Katha	NULL	Ratnakar Peravali	1338987	http://localhost:3000/movies/naa-katha-tba	INVALID/MISSING YEAR
paramanandham-shishyulu-tba	Paramanandham Shishyulu	NULL	G D Naidu 888	747001	http://localhost:3000/movies/paramanandham-shishyulu-tba	INVALID/MISSING YEAR
they-call-him-og-2-tba	They Call Him OG 2	NULL	Sujeeth	1553748	http://localhost:3000/movies/they-call-him-og-2-tba	INVALID/MISSING YEAR
nagabandham-tba	Nagabandham	NULL	Abhishek Nama	1442396	http://localhost:3000/movies/nagabandham-tba	INVALID/MISSING YEAR
what-the-fish-tba	What The Fish	NULL	Varun Korukonda	1141452	http://localhost:3000/movies/what-the-fish-tba	INVALID/MISSING YEAR
bad-boy-karthik-tba	Bad Boy Karthik	NULL	Ramesh	1555860	http://localhost:3000/movies/bad-boy-karthik-tba	INVALID/MISSING YEAR
sambarala-yetti-gattu-tba	Sambarala Yetti Gattu	NULL	Rohith KP	1424955	http://localhost:3000/movies/sambarala-yetti-gattu-tba	INVALID/MISSING YEAR
varanasi-tba	Vāranāsi	NULL	S. S. Rajamouli	920708	http://localhost:3000/movies/varanasi-tba	INVALID/MISSING YEAR
legacy-tba	Legacy	NULL	Saikiran Daida	1436202	http://localhost:3000/movies/legacy-tba	INVALID/MISSING YEAR
anumana-pakshi-tba	Anumana Pakshi	NULL	Vimal Krishna	1542674	http://localhost:3000/movies/anumana-pakshi-tba	INVALID/MISSING YEAR
maa-inti-bangaram-tba	Maa Inti Bangaram	NULL	B. V. Nandini Reddy	1227241	http://localhost:3000/movies/maa-inti-bangaram-tba	INVALID/MISSING YEAR
peddarikam-tba	Peddarikam	NULL	A. M. Rathnam	1243148	http://localhost:3000/movies/peddarikam-tba	INVALID/MISSING YEAR
maate-mantramu-tba	Maate Mantramu	NULL	Abhimanyu Baddi	1040658	http://localhost:3000/movies/maate-mantramu-tba	INVALID/MISSING YEAR
amaran-in-the-city-chapter-1-tba	Amaran in the City: Chapter 1	NULL	S. Balaveer	890909	http://localhost:3000/movies/amaran-in-the-city-chapter-1-tba	INVALID/MISSING YEAR
haindava-tba	Haindava	NULL	Ludheer Byreddy	1417808	http://localhost:3000/movies/haindava-tba	INVALID/MISSING YEAR
abhiram-tba	Abhiram	NULL	Ramakrishna Arjun	1042382	http://localhost:3000/movies/abhiram-tba	INVALID/MISSING YEAR
hey-bhagawan-tba	Hey Bhagawan!	NULL	Gopi Atchara	1531852	http://localhost:3000/movies/hey-bhagawan-tba	INVALID/MISSING YEAR
kalki-2898-ad-part-2-tba	Kalki 2898-AD: Part 2	NULL	Nag Ashwin	1310969	http://localhost:3000/movies/kalki-2898-ad-part-2-tba	INVALID/MISSING YEAR
vrushakarma-tba	Vrushakarma	NULL	Karthik Varma Dandu	1395627	http://localhost:3000/movies/vrushakarma-tba	INVALID/MISSING YEAR
biker-tba	Biker	NULL	Abhilash Kankara	1423251	http://localhost:3000/movies/biker-tba	INVALID/MISSING YEAR
kirathaka-tba	Kirathaka	NULL	Veerabhadram	890172	http://localhost:3000/movies/kirathaka-tba	INVALID/MISSING YEAR
ene-repeat-tba	ENE Repeat	NULL	Tharun Bhascker	1505644	http://localhost:3000/movies/ene-repeat-tba	INVALID/MISSING YEAR
the-conversation-tba	The Conversation	NULL	Abhinav	1603184	http://localhost:3000/movies/the-conversation-tba	INVALID/MISSING YEAR
arrtham-tba	Arrtham	NULL	Thellaguti Manikanth	890461	http://localhost:3000/movies/arrtham-tba	INVALID/MISSING YEAR
hailesso-tba	HaiLesso	NULL	Kota Prasanna Kumar	1554016	http://localhost:3000/movies/hailesso-tba	INVALID/MISSING YEAR
dq-41-tba	DQ 41	NULL	Ravi Nelakuditi	1516102	http://localhost:3000/movies/dq-41-tba	INVALID/MISSING YEAR
garividi-lakshmi-tba	Garividi Lakshmi	NULL	Gowri Naidu Jammu	1555847	http://localhost:3000/movies/garividi-lakshmi-tba	INVALID/MISSING YEAR
asuragana-rudra-tba	Asuragana Rudra	NULL	Murali Katragadda	960402	http://localhost:3000/movies/asuragana-rudra-tba	INVALID/MISSING YEAR
nakshatra-poratam-tba	Nakshatra Poratam	NULL	Sagar	1231827	http://localhost:3000/movies/nakshatra-poratam-tba	INVALID/MISSING YEAR
band-melam-tba	Band Melam	NULL	Sathish Javvaji	1547712	http://localhost:3000/movies/band-melam-tba	INVALID/MISSING YEAR
euphoria-tba	Euphoria	NULL	Gunasekhar	1438392	http://localhost:3000/movies/euphoria-tba	INVALID/MISSING YEAR
illicit-relationship-tba	Illicit Relationship	NULL	Rohit Penumatsa	857695	http://localhost:3000/movies/illicit-relationship-tba	INVALID/MISSING YEAR
comrade-kalyan-tba	Comrade Kalyan	NULL	Janakiram Marella	1428295	http://localhost:3000/movies/comrade-kalyan-tba	INVALID/MISSING YEAR
takshakudu-tba	Takshakudu	NULL	Vinod Anantoju	1442399	http://localhost:3000/movies/takshakudu-tba	INVALID/MISSING YEAR
pushpa-3-the-rampage-tba	Pushpa 3 - The Rampage	NULL	Sukumar	1300535	http://localhost:3000/movies/pushpa-3-the-rampage-tba	INVALID/MISSING YEAR
oh-sukumari-tba	Oh..! Sukumari	NULL	Bharat Dharshan	1592679	http://localhost:3000/movies/oh-sukumari-tba	INVALID/MISSING YEAR
umapathi-tba	Umapathi	NULL	Satya Dwarapudi	1040624	http://localhost:3000/movies/umapathi-tba	INVALID/MISSING YEAR
as-time-echoes-tba	As Time Echoes	NULL	Sahith Mucherla	1375913	http://localhost:3000/movies/as-time-echoes-tba	INVALID/MISSING YEAR
aa22xa6-tba	AA22xA6	NULL	Atlee	1411614	http://localhost:3000/movies/aa22xa6-tba	INVALID/MISSING YEAR
