slug	title_en	title_te	year	director	tmdb_id	has_poster	has_synopsis	url
aa22xa6-tba	AA22xA6			Atlee	1411614	YES	YES	http://localhost:3000/movies/aa22xa6-tba
as-time-echoes-tba	As Time Echoes			Sahith Mucherla	1375913	YES	YES	http://localhost:3000/movies/as-time-echoes-tba
umapathi-tba	Umapathi			Satya Dwarapudi	1040624	YES	YES	http://localhost:3000/movies/umapathi-tba
oh-sukumari-tba	Oh..! Sukumari			Bharat Dharshan	1592679	YES	YES	http://localhost:3000/movies/oh-sukumari-tba
pushpa-3-the-rampage-tba	Pushpa 3 - The Rampage			Sukumar	1300535	YES	YES	http://localhost:3000/movies/pushpa-3-the-rampage-tba
takshakudu-tba	Takshakudu			Vinod Anantoju	1442399	YES	YES	http://localhost:3000/movies/takshakudu-tba
comrade-kalyan-tba	Comrade Kalyan			Janakiram Marella	1428295	YES	YES	http://localhost:3000/movies/comrade-kalyan-tba
illicit-relationship-tba	Illicit Relationship			Rohit Penumatsa	857695	YES	YES	http://localhost:3000/movies/illicit-relationship-tba
euphoria-tba	Euphoria			Gunasekhar	1438392	YES	YES	http://localhost:3000/movies/euphoria-tba
band-melam-tba	Band Melam			Sathish Javvaji	1547712	YES	YES	http://localhost:3000/movies/band-melam-tba
nakshatra-poratam-tba	Nakshatra Poratam			Sagar	1231827	YES	YES	http://localhost:3000/movies/nakshatra-poratam-tba
asuragana-rudra-tba	Asuragana Rudra			Murali Katragadda	960402	YES	YES	http://localhost:3000/movies/asuragana-rudra-tba
garividi-lakshmi-tba	Garividi Lakshmi			Gowri Naidu Jammu	1555847	YES	YES	http://localhost:3000/movies/garividi-lakshmi-tba
dq-41-tba	DQ 41			Ravi Nelakuditi	1516102	YES	YES	http://localhost:3000/movies/dq-41-tba
hailesso-tba	HaiLesso			Kota Prasanna Kumar	1554016	YES	YES	http://localhost:3000/movies/hailesso-tba
arrtham-tba	Arrtham			Thellaguti Manikanth	890461	YES	YES	http://localhost:3000/movies/arrtham-tba
the-conversation-tba	The Conversation			Abhinav	1603184	YES	NO	http://localhost:3000/movies/the-conversation-tba
ene-repeat-tba	ENE Repeat			Tharun Bhascker	1505644	YES	YES	http://localhost:3000/movies/ene-repeat-tba
kirathaka-tba	Kirathaka			Veerabhadram	890172	YES	YES	http://localhost:3000/movies/kirathaka-tba
biker-tba	Biker			Abhilash Kankara	1423251	YES	YES	http://localhost:3000/movies/biker-tba
vrushakarma-tba	Vrushakarma			Karthik Varma Dandu	1395627	YES	YES	http://localhost:3000/movies/vrushakarma-tba
kalki-2898-ad-part-2-tba	Kalki 2898-AD: Part 2			Nag Ashwin	1310969	YES	YES	http://localhost:3000/movies/kalki-2898-ad-part-2-tba
hey-bhagawan-tba	Hey Bhagawan!			Gopi Atchara	1531852	YES	YES	http://localhost:3000/movies/hey-bhagawan-tba
abhiram-tba	Abhiram			Ramakrishna Arjun	1042382	YES	YES	http://localhost:3000/movies/abhiram-tba
haindava-tba	Haindava			Ludheer Byreddy	1417808	YES	YES	http://localhost:3000/movies/haindava-tba
amaran-in-the-city-chapter-1-tba	Amaran in the City: Chapter 1			S. Balaveer	890909	YES	YES	http://localhost:3000/movies/amaran-in-the-city-chapter-1-tba
maate-mantramu-tba	Maate Mantramu			Abhimanyu Baddi	1040658	YES	YES	http://localhost:3000/movies/maate-mantramu-tba
peddarikam-tba	Peddarikam			A. M. Rathnam	1243148	YES	YES	http://localhost:3000/movies/peddarikam-tba
maa-inti-bangaram-tba	Maa Inti Bangaram			B. V. Nandini Reddy	1227241	YES	YES	http://localhost:3000/movies/maa-inti-bangaram-tba
anumana-pakshi-tba	Anumana Pakshi			Vimal Krishna	1542674	YES	YES	http://localhost:3000/movies/anumana-pakshi-tba
legacy-tba	Legacy			Saikiran Daida	1436202	YES	YES	http://localhost:3000/movies/legacy-tba
varanasi-tba	Vāranāsi			S. S. Rajamouli	920708	YES	YES	http://localhost:3000/movies/varanasi-tba
sambarala-yetti-gattu-tba	Sambarala Yetti Gattu			Rohith KP	1424955	YES	YES	http://localhost:3000/movies/sambarala-yetti-gattu-tba
bad-boy-karthik-tba	Bad Boy Karthik			Ramesh	1555860	YES	YES	http://localhost:3000/movies/bad-boy-karthik-tba
what-the-fish-tba	What The Fish			Varun Korukonda	1141452	YES	YES	http://localhost:3000/movies/what-the-fish-tba
nagabandham-tba	Nagabandham			Abhishek Nama	1442396	YES	YES	http://localhost:3000/movies/nagabandham-tba
they-call-him-og-2-tba	They Call Him OG 2			Sujeeth	1553748	YES	YES	http://localhost:3000/movies/they-call-him-og-2-tba
paramanandham-shishyulu-tba	Paramanandham Shishyulu			G D Naidu 888	747001	YES	YES	http://localhost:3000/movies/paramanandham-shishyulu-tba
naa-katha-tba	Naa Katha			Ratnakar Peravali	1338987	YES	YES	http://localhost:3000/movies/naa-katha-tba
natudu-tba	Natudu			Prasad	594219	YES	YES	http://localhost:3000/movies/natudu-tba
mirai-jaithraya-tba	Mirai Jaithraya			Karthik Ghattamaneni	1562708	YES	YES	http://localhost:3000/movies/mirai-jaithraya-tba
patta-pagalu-tba	Patta Pagalu			Ram Gopal Varma	498456	YES	YES	http://localhost:3000/movies/patta-pagalu-tba
