Date,Title,Year,Slug,TMDB ID,Director,Hero,Heroine,Has Poster,Has Genres,Published
2026-01-13,"Aakasa Ramanna",2010,"aakasa-ramanna-2010",1009916,"Ashok G.","Rajiv Kanakala","Meera Jasmine",Yes,Yes,Yes
2026-01-12,"Kannai Nambathe",2023,"kannai-nambathe-2023",904717,"Mu. Maran","Udhayanidhi Stalin","Aathmika",Yes,Yes,Yes
2026-01-12,"Kisi Ka Bhai... Kisi Ki Jaan",2023,"kisi-ka-bhai-kisi-ki-jaan-2023",966719,"Farhad Samji","Salman Khan","Pooja Hegde",Yes,Yes,Yes
2026-01-12,"'Salaar: Part 2 – Shouryanga Parvam",2023,"salaar-part-2-shouryanga-parvam-2023",,"","","",No,No,No
2026-01-12,"Nayanthara: Beyond the Fairy Tale",2024,"nayanthara-beyond-the-fairy-tale-2024",1382447,"Amith Krishnan","Vignesh Shivan","Nayanthara",Yes,Yes,Yes
2026-01-12,"Operation Laila",2024,"operation-laila-2024",1245864,"A. Venkatesh","Srikanth","Siddhika Sharma",Yes,Yes,Yes
2026-01-12,"Anandapuram Diaries",2024,"anandapuram-diaries-2024",1177652,"Jaya Jose Raj","Srikanth","Meena",Yes,Yes,Yes
2026-01-12,"Sabhaku Namaskaram",2026,"sabhaku-namaskaram-2026",14999790,"Sateesh Mallampati","Allari Naresh","",Yes,Yes,Yes
2026-01-12,"Anantha",2026,"anantha-2026",1608579,"Suresh Krissna","Jagapathi Babu","Suhasini Maniratnam",Yes,Yes,Yes
2026-01-12,"Ramayana: Part One",2026,"ramayana-part-one-2026",656908,"Nitesh Tiwari","Ranbir Kapoor","Sai Pallavi",Yes,Yes,Yes
2026-01-12,"Jwaala",1985,"jwaala-1985",,"","Chiranjeevi","",No,No,Yes
2026-01-12,"Brahmarshi Viswamitra",1991,"brahmarshi-viswamitra-1991",724073,"N.T. Rama Rao","N.T. Rama Rao","",Yes,No,Yes
2026-01-12,"Palanati Brahmanaidu",2003,"palanati-brahmanaidu-2003",,"","Nandamuri Balakrishna","",No,No,Yes
2026-01-12,"Yuvaratna Raana",1998,"yuvaratna-raana-1998",,"","Nandamuri Balakrishna","",Yes,No,Yes
2026-01-12,"Desoddarakudu",1986,"desoddarakudu-1986",,"","Nandamuri Balakrishna","",No,No,Yes
2026-01-12,"Seetarama Kalyanam",1986,"seetarama-kalyanam-1986",,"","Nandamuri Balakrishna","",No,No,Yes
2026-01-12,"Atmabhalam",1985,"atmabhalam-1985",,"","Nandamuri Balakrishna","",No,No,Yes
2026-01-12,"సుందరానికి తొందరెక్కువ",2006,"-2006",,"","","",No,No,No
2026-01-12,"Shubha Muhurtam",1983,"shubha-muhurtam-1983",,"","","",No,No,No
2026-01-12,"Gharana Gangulu",1981,"gharana-gangulu-1981",304239,"Katta Subba Rao","Sobhan Babu","",No,No,Yes
2026-01-12,"Kuttrapathirikai",2007,"kuttrapathirikai-2007",502069,"R K Selvamani","","",Yes,No,Yes
2026-01-12,"Parijatham",2006,"parijatham-2006",339978,"K. Bhagyaraj","","",Yes,No,Yes
2026-01-12,"Pasa Kiligal",2006,"pasa-kiligal-2006",279529,"P. Amirdhan","","",No,No,Yes
2026-01-12,"Maurya",2004,"maurya-2004",627192,"S. Narayan","","",Yes,No,Yes
2026-01-12,"Arasu",2003,"arasu-2003",78630,"AR. Suresh","","",Yes,No,Yes
2026-01-12,"Kottai Mariamman",2002,"kottai-mariamman-2002",,"","","",No,No,No
2026-01-12,"Malayali Mamanu Vanakkam",2002,"malayali-mamanu-vanakkam-2002",330022,"Rajasenan","","",Yes,No,Yes
2026-01-12,"Angala Parameswari",2002,"angala-parameswari-2002",,"","","",No,No,No
2026-01-12,"Kottai Mariamman",2001,"kottai-mariamman-2001",476941,"Rama Narayanan","","",Yes,No,Yes
2026-01-12,"Sonnal Thaan Kaadhala",2001,"sonnal-thaan-kaadhala-2001",263899,"T. Rajendar","","",No,No,Yes
2026-01-12,"Mitta Miraasu",2001,"mitta-miraasu-2001",1035203,"Mu Kalanjiyam","","",No,No,Yes
2026-01-12,"Thirunelveli",2000,"thirunelveli-2000",264173,"Bharathi Kannan","","",Yes,No,Yes
2026-01-12,"Sandhitha Velai",2000,"sandhitha-velai-2000",78471,"Ravichandran","","",No,No,Yes
2026-01-12,"Eazhaiyin Sirippil",2000,"eazhaiyin-sirippil-2000",280963,"K. Subash","","",Yes,No,Yes
2026-01-12,"Mugham",1999,"mugham-1999",535349,"Gnana Rajasekaran","","",No,No,Yes
2026-01-12,"Chinna Raja",1999,"chinna-raja-1999",78762,"Chitra Lakshmanan","","",No,No,Yes
2026-01-12,"Chinna Durai",1999,"chinna-durai-1999",78608,"Chandra R","","",Yes,No,Yes
2026-01-12,"Unnidathil Ennai Koduthen",1998,"unnidathil-ennai-koduthen-1998",78514,"Vikraman","","",Yes,No,Yes
2026-01-12,"En Aasai Rasave",1998,"en-aasai-rasave-1998",261831,"Kasthoori Raja","","",No,No,Yes
2026-01-12,"Kadavul",1997,"kadavul-1997",304733,"Velu Prabhakaran","","",No,No,Yes
2026-01-12,"Adimai Changili",1997,"adimai-changili-1997",326286,"R K Selvamani","","",Yes,No,Yes
2026-01-12,"Tamizh Selvan",1996,"tamizh-selvan-1996",78968,"Bharathiraja","","",No,No,Yes
2026-01-12,"Raja Muthirai",1995,"raja-muthirai-1995",,"","","",No,No,No
2026-01-12,"Makkal Aatchi",1995,"makkal-aatchi-1995",848411,"R K Selvamani","Mammootty","Roja Selvamani",Yes,Yes,Yes
2026-01-12,"Asuran",1995,"asuran-1995",623081,"Velu Prabhakaran","","",Yes,No,Yes
2026-01-12,"Shubha Lagnam",1994,"shubha-lagnam-1994",,"","","",No,No,No
2026-01-12,"Athiradi Padai",1994,"athiradi-padai-1994",,"","","",Yes,No,No
2026-01-12,"Indhu",1994,"indhu-1994",249447,"","","",Yes,No,No
2026-01-12,"Uzhaippali",1993,"uzhaippali-1993",66251,"P. Vasu","","",No,No,Yes
2026-01-12,"Chembaruthi",1992,"chembaruthi-1992",277872,"R K Selvamani","","",No,No,Yes
2026-01-12,"Jack & Daniel",2019,"jack-daniel-2019",635233,"S.L Puram Jayasurya","Dileep","Anju Kurian",Yes,Yes,Yes
2026-01-12,"Bujjigadu",2008,"bujjigadu-2008",117029,"Puri Jagannadh","Prabhas","Trisha Krishnan",Yes,Yes,Yes
2026-01-12,"IIFA Utsavam",2015,"iifa-utsavam-2015",,"","Prabhas","",No,No,Yes
2026-01-12,"Adipurush",2023,"adipurush-2023",734253,"Om Raut","Prabhas","Kriti Sanon",Yes,Yes,Yes
2026-01-12,"Adurs",2010,"adurs-2010",38677,"V. V. Vinayak","N. T. Rama Rao Jr","Nayanthara",Yes,Yes,Yes
2026-01-12,"Varakatnam",2007,"varakatnam-2007",,"","","",No,No,No
2026-01-12,"Ashwadhamavu",1979,"ashwadhamavu-1979",,"","","",No,No,No
2026-01-12,"Amar Deep",1979,"amar-deep-1979",377063,"","","",No,No,No
2026-01-12,"Chuzhi",1973,"chuzhi-1973",749898,"Triprayar Sukumaran","","",No,No,Yes
2026-01-12,"Varakatnam",1968,"varakatnam-1968",,"","","",No,No,No
2026-01-12,"Poojaikku Vandha Malar",1965,"poojaikku-vandha-malar-1965",,"","","",No,No,No
2026-01-12,"Thiruvilayadal",1965,"thiruvilayadal-1965",238169,"A. P. Nagarajan","","",No,No,Yes
2026-01-12,"Vallavanukku Vallavan",1965,"vallavanukku-vallavan-1965",1239759,"","","",No,No,No
2026-01-12,"Pandava Vanavasam",1965,"pandava-vanavasam-1965",86147,"Kamalakara Kameshwara Rao","","",No,No,Yes
2026-01-12,"Mooga Manasulu",1964,"mooga-manasulu-1964",,"","","",No,No,No
2026-01-12,"Kai Koduttha Dheivam",1964,"kai-koduttha-dheivam-1964",,"","","",No,No,No
2026-01-12,"Ganga Ki Lahren",1964,"ganga-ki-lahren-1964",306154,"","","",No,No,No
2026-01-12,"Apne Huye Paraye",1964,"apne-huye-paraye-1964",1118179,"Ajit Chakrabarty","","",No,No,Yes
2026-01-12,"Karpagam",1963,"karpagam-1963",262333,"K. S. Gopalakrishnan","","",No,No,Yes
2026-01-12,"Paarthaal Pasi Theerum",1962,"paarthaal-pasi-theerum-1962",,"","","",No,No,No
2026-01-12,"Nartanasala",1962,"nartanasala-1962",,"","","",No,No,No
2026-01-12,"Pava Mannippu",1961,"pava-mannippu-1961",312490,"A. Bhimsingh","","",No,No,Yes
2026-01-12,"Pasamalar",1961,"pasamalar-1961",261849,"A. Bhimsingh","","",No,No,Yes
2026-01-12,"Sri Venkateswara Mahatyam",1960,"sri-venkateswara-mahatyam-1960",281862,"P. Pullaiah","","",No,No,Yes
2026-01-12,"Kuravanji",1960,"kuravanji-1960",,"","","",No,No,No
2026-01-12,"Kalathur Kannamma",1960,"kalathur-kannamma-1960",66434,"A. Bhimsingh","","",No,No,Yes
2026-01-12,"Padhi Bhakti",1958,"padhi-bhakti-1958",,"","","",No,No,No
2026-01-12,"Kaathavaraayan",1958,"kaathavaraayan-1958",,"","","",No,No,No
2026-01-12,"Annaiyin Aanai",1958,"annaiyin-aanai-1958",757971,"Chitrapu Narayana Rao","","",No,No,Yes
2026-01-12,"Pathini Deivam",1957,"pathini-deivam-1957",,"","","",No,No,No
2026-01-12,"Vanangamudi",1957,"vanangamudi-1957",,"","","",No,No,No
2026-01-12,"Pennin Perumai",1956,"pennin-perumai-1956",261785,"P. Pullaiah","","",No,No,Yes
2026-01-12,"Bratuku Theruvu",1953,"bratuku-theruvu-1953",307324,"","","",No,No,No
2026-01-12,"Shanti",1952,"shanti-1952",,"","","",No,No,No
2026-01-12,"Adarsham",1952,"adarsham-1952",,"","","",No,No,No
2026-01-12,"Patala Bhairavi",1951,"patala-bhairavi-1951",89838,"Kadri Venkata Reddy","","",No,No,Yes
2026-01-12,"Daughters' Destiny",2007,"daughters-destiny-2007",486057,"May Gauffin","Savitri","Thuli Maya",No,Yes,Yes
2026-01-12,"Vedhalam",2015,"vedhalam-2015",362150,"Siva","Ajith Kumar","Shruti Haasan",Yes,Yes,Yes
2026-01-12,"Ramaiya Vasta Vaiya",2013,"ramaiya-vasta-vaiya-2013",,"","","",Yes,No,No
2026-01-12,"The Power",2021,"the-power-2021",784167,"Mahesh Manjrekar","Shruti Haasan","Shruti Haasan",Yes,Yes,Yes
2026-01-12,"Putham Pudhu Kaalai",2020,"putham-pudhu-kaalai-2020",749032,"Sudha Kongara Prasad","","",Yes,Yes,Yes
2026-01-12,"Yaara",2020,"yaara-2020",720796,"Tigmanshu Dhulia","Vidyut Jammwal","Shruti Haasan",Yes,Yes,Yes
2026-01-12,"Devi",2020,"devi-2020",679994,"Priyanka Banerjee","Shruti Haasan","Kajol",Yes,Yes,Yes
2026-01-12,"Behen Hogi Teri",2017,"behen-hogi-teri-2017",454769,"Ajay K Pannanlal","Shruti Haasan","Shruti Haasan",Yes,Yes,Yes
2026-01-12,"Welcome Back",2015,"welcome-back-2015",357563,"Anees Bazmee","Shruti Haasan","Shruti Haasan",Yes,Yes,Yes
2026-01-12,"Poojai",2014,"poojai-2014",297125,"Hari","Shruti Haasan","Shruti Haasan",Yes,Yes,Yes
2026-01-12,"The Eye",2023,"the-eye-2023",1192906,"Daphne Schmon","Mark Rowley","Shruti Haasan",Yes,Yes,Yes
2026-01-12,"Ramaiya Vastavaiya",2013,"ramaiya-vastavaiya-2013",208036,"Prabhu Deva","Girish Kumar","Shruti Haasan",Yes,Yes,Yes
2026-01-12,"Dil Toh Baccha Hai Ji",2011,"dil-toh-baccha-hai-ji-2011",55386,"Madhur Bhandarkar","","",Yes,Yes,Yes
2026-01-12,"Luck",2009,"luck-2009",20290,"Soham Shah","","",Yes,Yes,Yes
2026-01-12,"Bhagmati",2018,"bhagmati-2018",485789,"Ashok G.","Jayaram","Anushka Shetty",Yes,Yes,Yes
2026-01-12,"Well, If You Know Me",2015,"well-if-you-know-me-2015",,"","","",No,No,No
2026-01-12,"Lakshyam",1993,"lakshyam-1993",,"","","",No,No,No
2026-01-12,"Saguni",2012,"saguni-2012",67635,"Shankar Dayal.N","","",Yes,Yes,Yes
2026-01-12,"N.T.R: Kathanayakudu",2019,"n-t-r-kathanayakudu-2019",568522,"Radha Krishna Jagarlamudi","","",Yes,Yes,Yes
2026-01-12,"Bhaagamathie",2018,"bhaagamathie-2018",485789,"Ashok G.","Anushka Shetty","Anushka Shetty",Yes,Yes,Yes
2026-01-12,"Inji Iduppazhagi",2015,"inji-iduppazhagi-2015",357708,"Prakash Kovelamudi","Anushka Shetty","Anushka Shetty",Yes,Yes,Yes
2026-01-12,"Alex Pandian",2013,"alex-pandian-2013",155491,"Suraj","Karthi","Anushka Shetty",Yes,Yes,Yes
2026-01-12,"Rendu",2006,"rendu-2006",69583,"Sundar C","Anushka Shetty","Anushka Shetty",Yes,Yes,Yes
2026-01-12,"Irandam Ulagam",2013,"irandam-ulagam-2013",69510,"Selvaraghavan","Arya","Anushka Shetty",Yes,Yes,Yes
2026-01-12,"Vaanam",2011,"vaanam-2011",66207,"Radha Krishna Jagarlamudi","Anushka Shetty","Anushka Shetty",Yes,Yes,Yes
2026-01-12,"Modern Masters: SS Rajamouli",2024,"modern-masters-ss-rajamouli-2024",1313130,"Raghav Khanna","S. S. Rajamouli","James Cameron",Yes,Yes,Yes
2026-01-12,"Zanjeer",2013,"zanjeer-2013",218898,"Apoorva Lakhia","Ram Charan","Priyanka Chopra Jonas",Yes,Yes,Yes
2026-01-12,"Police officer",2019,"police-officer-2019",,"","Manchu Manoj","Isamu Kosugi",Yes,No,Yes
2026-01-12,"Pandavulu Pandavulu Tummeda",2014,"pandavulu-pandavulu-tummeda-2014",253047,"who didn","Manchu Manoj","Manoj Manchu",Yes,No,Yes
2026-01-12,"Operation 2019",2018,"operation-2019-2018",791058,"Karanam P. Babji","Manchu Manoj","Manchu Manoj",Yes,No,Yes
2026-01-12,"Ranveer Ching Returns",2016,"ranveer-ching-returns-2016",,"","","",Yes,No,No
2026-01-12,"Entertainment",2014,"entertainment-2014",1432531,"Kanta Tagawa","Kinzō Sakura","",Yes,Yes,Yes
2026-01-12,"Thadaka",2013,"thadaka-2013",,"","","",Yes,No,No
2026-01-12,"Badrinadh",2011,"badrinadh-2011",,"","","",No,No,No
2026-01-12,"Kalloori",2007,"kalloori-2007",137888,"Balaji Sakthivel","Kalloori Vinoth","Tamannaah Bhatia",Yes,Yes,Yes
2026-01-12,"Sree",2005,"sree-2005",283418,"Mitr Chaibancha","Mitr Chaibancha","Petchara Chaowarat",Yes,Yes,Yes
2026-01-12,"O'Romeo",2026,"o-romeo-2026",1275574,"Vishal Bhardwaj","Shahid Kapoor","Triptii Dimri",Yes,Yes,Yes
2026-01-12,"Ranger",2026,"ranger-2026",1389146,"Jagan Shakti","Ajay Devgn","Tamannaah Bhatia",No,Yes,Yes
