Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre	Issues
2026	Madham	Vamsee Krishna Malla	Harsha Gangavarapu	Inaya Sultana			Drama	
2026	Man Of The Match	P. A. Arun Prasad	Sagar	Mrudula Murali			Drama	
2026	Sahakutumbaanaam	Uday Sharma	Raam Kiran	Megha Akash			Drama	
2026	Vanaveera	Avinash Thiruveedhula	Avinash Thiruveedhula	Simran Choudhary			Drama	
2025	Dhanraj	Dhanraj Koranani	Samuthirakani	Mokksha			Drama	
2025	Super Raja	Thrinadh Katari	Prajwal Devaraj	No Female Lead			Action	
2025	Break Out	Jang Hang-jun	Kim Seung-woo	Cha Seung-won			Action	
2025	1000 Waala	Afzal Shaik	Amith Dream Star	Navitha Gangat			Action	
2024	Leela Vinodham	Pavan Sunkara	Shanmukh Jaswanth	Anagha Ajith			Romance	
2024	Bench Life	Vaibhav	Vaibhav	Ritika Singh			Drama	
2024	Praveen Kumar VSS	Praveen Kumar VSS	Suhas	Ruhani Sharma			Biographical	TITLE_IS_DIRECTOR
2024	Pranaya Godari	PL K Reddy	Sadan	Priyanka Prasad			Romance	
2024	Kotha Rangula Prapancham	Prudhvi Raj	Prudhvi Raj	Krithi Garg			Horror	
2024	Brahmmavaram P.S. Paridhilo	Imran Sastry	Guru Charan	Sravanthi Bellamkonda			Drama	
2024	Alanaati Ramchandrudu	Chilukuri Akash	Prawasthi	Mokksha			Drama	
2024	Akkada Varu Ikkada Unnaru	Trivikram Rao Kundurthi	Jagadesh Raj	Sai Harshini			Romance	
2024	Srikakulam Sherlock Holmes	Writer Mohan	Prabhakar	Aditi Gautam			Thriller	
2024	Bhavanam	Balachary Kurella	Ajay	No Female Lead			Drama	
2023	Neelakanta	Neelakanta	Sai Ronak	No Female Lead			Mythological	TITLE_IS_DIRECTOR
2023	Harsha Vardhan	Neha Shetty and  MS Rajashekar reddy  ar	Naveen Chandra	Gauthami			Drama	BAD_DIRECTOR
2023	Ala Ila Ela	Dwarki Raghav	Shakthi Vasudevan	Poorna			Drama	
2023	Ashtadigbandhanam	Baba PR	Surya Bharath Chandra	Vishika Kota			Drama	
2023	Jilebi	Arun Shekar and produced by East Coast V	Jayasurya	Ramya Nambeesan			Drama	BAD_DIRECTOR
2023	Barla Narayana	Murali Kishor Abburu	Dileep	Ananya Nagalla			Drama	
2023	Subramanyam Chigurupati	Srikant G Reddy	Sushanth	Mehreen Pirzada			Drama	
2022	Lakshman K Krishna	Vijay Krishna Acharya	Sithara Entertainments	Rashmika Mandanna			Action	BAD_HERO
2022	Abhimanyu	Sabbir Khan	Abhimanyu Dassani	Shirley Setia			Action	
2022	Bommala Koluvu	Subbu Vedula of Raahu fame and starring 	himself	Priyanka Sharma			Drama	BAD_DIRECTOR, BAD_HERO
2021	Chandra Sekhar Yeleti	Check	Nithiin	Rakul Preet Singh			Biographical	
2021	Sampath Nandi	Sampath Nandi	Gopichand	Tamannaah Bhatia			Action	TITLE_IS_DIRECTOR
2021	Asalem Jarigandi	Prem Raj	Shanmukh Jaswanth	Shruti Mehra			Romance	
2021	A: Ad Infitium	Ugandhar Muni	Nitin Prasanna	Preeti Asrani			Mystery	
2021	Sekhar Kammula	Love Story	Naga Chaitanya Akkineni	Sai Pallavi			Romance	
2021	Pitta Kathalu	Nag Ashwin	Satyadev	Shruti Haasan			Drama	
2021	Family Drama	Meher Tej	Suhas	Teja Kasarapu			Drama	
2021	Gudaputani	KM Kumar	Sapthagiri	Neha Solanki			Drama	
2021	Bhaskar	Bhaskar	Akhil Akkineni	Pooja Hegde			Drama	TITLE_IS_DIRECTOR
2021	Hemanth	Hemant Dhome	Siddharth Chandekar	Sonalee Kulkarni			Drama	
2020	Utthara	Thirupathi Rao Indraganti	Sriram	Karishma			Drama	
2020	Anaganaga O Athdhi	Dayal Padmanabhan	Payal Rajput	Samantha			Drama	
2020	Thagite Thandana	Shravan Kumar K.	Rakshit	Ananya			Drama	
