Name_EN	Name_TE	Industry_Title	Short_Bio
Kalyani			Has
K. Vasu	కె. వాసు		
Gowri Munjal	గౌరీ ముంజాల్		Has
Geetha			Has
Sai Dharam Tej			Has
Gopichand Malineni			Has
Rashmika Mandanna	రష్మిక మందన్న		Has
Gummadi			Has
K.S.R. Das			
Kajal Aggarwal	కాజల్ అగర్వాల్		Has
Haranath			Has
Samantha	సమంత రూత్ ప్రభు		Has
V. Ramachandra Rao		Classic Era Director	
Ram Pothineni			Has
Ravichandran			Has
Sampoornesh Babu			Has
Bhumika Chawla			Has
Kanchana	కాంచన		Has
Regina Cassandra			Has
Bobby Kolli			Has
Sarath Babu			Has
Sayali Bhagat	సయాలీ భగత్		Has
Nisha Aggarwal	నిషా అగర్వాల్		
Tulip Joshi	తులిప్ జోషి		
Sekhar Kammula			Has
Rekha Vedavyas			Has
Tejaswi Madivada			Has
Jaya Prada	జయప్రద		Has
Kanchanamala			
Saritha		Graceful Actress	Has
Sai Ronak		Promising Young Actor	Has
Roshan Kanakala			Has
Allari Naresh	అల్లరి నరేష్		Has
Kanta Rao	కాంతారావు		
G Varalakshmi			
Raadhika			Has
Raja Babu			
Shriya Saran		Diva	Has
Shobana	శోభన		Has
Siddhu Jonnalagadda			Has
Punarnavi Bhupalam			Has
Sivaji Sontineni			Has
Sakshi Chaudhary			Has
Eesha Rebba			Has
Krishna	ఘట్టమనేని కృష్ణ		Has
Kavitha			
Krishna Vamsi		Emotional Director	Has
Sagar			
Laya			Has
Sairam Shankar			
