Year	Title	Director	Music_Director
2026	Dark Chocolate	Shashank Srivatsavaya	
2026	Ranger	Jagan Shakti	
2025	14 Days (girlfriend Intlo)	Sriharsha Manne	
2025	Mokshapatam	Rahul Vanaja Rajeshwar	
2025	Oka Pathakam Prakaaram	Vinod Vijayan	
2025	Pelli Kaani Prasad	Abhilash Reddy Gopidi	
2025	11:11	Kittu Nalluri	
2025	Ponton's Heart	Senad Šahmanović	
2025	Bhavani Ward 1997	GD Narasimmha	
2024	Kotha Rangula Prapancham	Prudhvi Raj	
2024	Agent Narasimha‐117	Lakshman Chaprala	
2024	Raju Gari Ammayi Naidu Gari Abbayi	Satya Raj	
2024	Akkada Varu Ikkada Unnaru	Trivikram Rao Kundurthi	
2024	Eesaraina!?	Eshaku Dasari	
2024	Sandeham	Sateesh Paramveda	
2024	Srikakulam Sherlockholmes	Writer Mohan	
2024	Make a Wish	Sandhya Bayireddy	
2024	Drill	Haranath Policherla	
2024	100 Crores	Virat Chakravarthy	
2024	Kalinga	Dhruva Vaayu	
2024	RRR: Behind & Beyond	S. S. Rajamouli	
2024	Modern Masters: SS Rajamouli	Raghav Khanna	
2024	1980 Lo Radhekrishna	Ismail Shaik	
2024	Leela Vinodam	Pavan Sunkara	
2024	Ruslaan	Karan Lalit Butani	
2024	Nayanthara: Beyond the Fairy Tale	Amith Krishnan	
2024	Tom And Jerry	Raghav Vinay Shivamani	
2024	Bhavanam	Balachary Kurella	
2023	Sagiletikatha	Rajshekar	
2023	Salam Sainika	Subramanyam Chigurupati	
2023	Saachi	Vivek Pothagoni	
2023	Narayana & Co	Murali Kishor Abburu	
2023	Rebels of Thupakula Gudem	Jaideep Vishnu	
2023	Paruvu	Siddharth Naidu	
2023	Matti Katha	Pavan Kadiyala	
2023	Two Souls	Shravan	
2023	Gammathu	Aswwani Sri Krisshna	
2023	Upendra Gadi Adda	Aryan Subhan	
2023	Thathsama Thathbhava	Vishal Saketh	
2023	Amala	Safeer Thailan	
2022	Vishwak	Venugopal	
2022	Chittam Maharani	Akula Kasi Viswanath	
2022	#69 Samskar Colony	Sunil Kumar Reddy	
2022	Wanted PanduGod	Sridhar Seepana	
2022	Aakasha Veedhullo	Gautham Krishna.D	
2022	Monster	Vysakh	
2022	Maha	U.R. Jameel	
2022	Niku Naku Pellanta Tom Tom Tom	Manikanta Thalluri	
2021	Gudaputani	KM Kumar	
2021	G-zombie	Aryan Gowra	
