Year	Title	TMDB_ID	Runtime_Minutes
null	AA22xA6	1411614	
null	Oh..! Sukumari	1592679	
null	Pushpa 3 - The Rampage	1300535	
null	Takshakudu	1442399	
null	Comrade Kalyan	1428295	
null	Illicit Relationship	857695	
null	Band Melam	1547712	
null	Asuragana Rudra	960402	
null	Garividi Lakshmi	1555847	
null	DQ 41	1516102	
null	HaiLesso	1554016	
null	Arrtham	890461	
null	ENE Repeat	1505644	
null	Kirathaka	890172	
null	Biker	1423251	
null	Vrushakarma	1395627	
null	Kalki 2898-AD: Part 2	1310969	
null	Abhiram	1042382	
null	Haindava	1417808	
null	Amaran in the City: Chapter 1	890909	
null	Maa Inti Bangaram	1227241	
null	Anumana Pakshi	1542674	
null	Hey Bhagawan!	1531852	
null	Maate Mantramu	1040658	
null	Nagabandham	1442396	
null	They Call Him OG 2	1553748	
null	Sambarala Yetti Gattu	1424955	
null	Bad Boy Karthik	1555860	
null	Mirai Jaithraya	1562708	
null	Vāranāsi	920708	
null	Patta Pagalu	498456	
2027	Baahubali: the Eternal War - Part 1	1570976	
2026	Nari Nari Naduma Murari	1417849	
2026	Honey	1607762	
2026	Psych Siddhartha	1594670	
2026	Fauji	1257973	
2026	Goodachari 2	1196470	
2026	Itllu Arjuna	1440539	
2026	Rowdy Janardhana	1389373	
2026	The Paradise	1376856	
2026	Sahakutumbaanaam	1397395	
2026	Rao Bahadur	1443961	
2026	Bhartha Mahasayulaku Wignyapthi	1442975	
2026	Vanaveera	1412497	
2026	Ustaad Bhagat Singh	1022788	
2026	Funky	1403737	
2026	Madham	1409540	
2026	Nilakanta	1107009	
2026	Dacoit	1220522	
2026	Dark Chocolate	1445172	
