slug	name_en	occupation	wikipedia_url	twitter	instagram	facebook	official_website	status	notes
celeb-sairam-shankar	Sairam Shankar	actor	N/A					TODO	
celeb-sakshi-chaudhary	Sakshi Chaudhary	actor	N/A					TODO	
celeb-sampoornesh-babu	Sampoornesh Babu	actor	N/A					TODO	
celeb-samuthirakani	Samuthirakani	actor	N/A					TODO	
samyuktha	Samyuktha	actor	https://en.wikipedia.org/wiki/Samyuktha_(actress)					TODO	
celeb-76bfd159	Sara Arjun	actor	https://en.wikipedia.org/wiki/Sara_Arjun					TODO	
celeb-saranya-mohan	Saranya Mohan	actor	N/A					TODO	
celeb-sarath-babu	Sarath Babu	actor	N/A					TODO	
celeb-saritha	Saritha	actor	N/A					TODO	
sasikumar	Sasikumar	actor, director	N/A					TODO	
celeb-satyanarayana	Satyanarayana	actor	N/A					TODO	
celeb-savitri	Savitri	actress	N/A					TODO	
sayali-bhagat	Sayali Bhagat	actor	https://en.wikipedia.org/wiki/Sayali_Bhagat					TODO	
celeb-shantipriya	Shantipriya	actor	N/A					TODO	
shanvi	Shanvi	actor, director	N/A					TODO	
sharada	Sharada	actor	N/A					TODO	
sharath	Sharath	actor, director	N/A					TODO	
sheena-shahabadi	Sheena Shahabadi	actor	https://en.wikipedia.org/wiki/Sheena_Shahabadi					TODO	
shiva-krishna	Shiva Krishna	actor	N/A					TODO	
celeb-shobana	Shobana	actor	N/A					TODO	
celeb-shriya-saran	Shriya Saran	actor	N/A					TODO	
celeb-siddhu-jonnalagadda	Siddhu Jonnalagadda	actor	N/A					TODO	
celeb-sivaji	Sivaji	actor	N/A					TODO	
celeb-sivaji-sontineni	Sivaji Sontineni	actor	N/A					TODO	
celeb-sneha-ullal	Sneha Ullal	actor	N/A					TODO	
sobhan-babu	Sobhan Babu	actor, director	N/A					TODO	
celeb-soundarya	Soundarya	actress	N/A					TODO	
sridevi	Sridevi	actor	N/A					TODO	
celeb-srihari	Srihari	actor	N/A					TODO	
celeb-sripriya	Sripriya	actor	N/A					TODO	
celeb-suhasini	Suhasini	actor	N/A					TODO	
celeb-suhasini-maniratnam	Suhasini Maniratnam	actor	N/A					TODO	
celeb-sujatha	Sujatha	actor	N/A					TODO	
celeb-sumalatha	Sumalatha	actor	N/A					TODO	
celeb-suman	Suman	actor	N/A					TODO	
celeb-suman-talwar	Suman Talwar	actor	N/A					TODO	
celeb-sunil-varma	Sunil Varma	actor	N/A					TODO	
celeb-suresh	Suresh	actor	N/A					TODO	
sushmita-sen	Sushmita Sen	actor, film actor	https://en.wikipedia.org/wiki/Sushmita_Sen					TODO	
celeb-swetaa-varma	Swetaa Varma	actor	N/A					TODO	
celeb-tabu	Tabu	actress	N/A					TODO	
celeb-tejaswi-madivada	Tejaswi Madivada	actor	N/A					TODO	
celeb-thiruveer-reddy	Thiruveer Reddy	actor	N/A					TODO	
celeb-thrigun	Thrigun	actor	N/A					TODO	
celeb-trisha	Trisha	actor	N/A					TODO	
celeb-tulasi	Tulasi	actor	N/A					TODO	
tulip-joshi	Tulip Joshi	actor, film actor	https://en.wikipedia.org/wiki/Tulip_Joshi					TODO	
urvashi	Urvashi	actor	N/A					TODO	
celeb-v-nagayya	V. Nagayya	actor	N/A					TODO	
celeb-vadde-naveen	Vadde Naveen	actor	N/A					TODO	
