id	name_en	name_te	occupation	wikipedia_url	imdb_url	notes	status
vikram	Vikram	విక్రమ్	Actor	Wikipedia	IMDb	Primarily Tamil; known as విక్రమ్ in Telugu	DONE
celeb-ali	Ali (actor)	ఆలీ	Actor	Wikipedia	N/A		DONE
celeb-ajay	Ajay	అజయ్	Actor	Wikipedia	IMDb		DONE
celeb-ramya-krishna	Ramya Krishna	రమ్యకృష్ణ	Actress	Wikipedia	IMDb		DONE
celeb-suman	Suman	సుమన్	Actor	Wikipedia	IMDb		DONE
celeb-daggubati-venkatesh	Venkatesh	వెంకటేష్	Actor	Wikipedia	IMDb	Full name Daggubati Venkatesh	DONE
celeb-vijaya-nirmala	Vijaya Nirmala	విజయ నిర్మల	Actress/Director	Wikipedia	N/A		DONE
jayasudha	Jayasudha	జయసుధ	Actress	Wikipedia	IMDb		DONE
celeb-vishnu	Vishnu Manchu	మంచు విష్ణు	Actor	Wikipedia	IMDb		DONE
celeb-ram	Ram Pothineni	రామ్ పోతినేని	Actor	Wikipedia	IMDb		DONE
celeb-srikanth	Srikanth	శ్రీకాంత్	Actor	Wikipedia	IMDb	Meka Srikanth	DONE
celeb-ramakrishna	Ramakrishna	రామకృష్ణ	Actor	Wikipedia	IMDb	Veteran actor	DONE
celeb-krishna-kumari	Krishna Kumari	కృష్ణకుమారి	Actress	Wikipedia	N/A		DONE
celeb-sridevi	Sridevi	శ్రీదేవి	Actress	Wikipedia	IMDb		DONE
celeb-vanisri	Vanisri	వాణిశ్రీ	Actress	Wikipedia	IMDb		DONE
sobhan-babu	Sobhan Babu	శోభన్ బాబు	Actor	Wikipedia	N/A		DONE
celeb-teja	Teja	తేజ	Director	Wikipedia	N/A		DONE
celeb-meena	Meena	మీనా	Actress	Wikipedia	IMDb		DONE
celeb-siddharth	Siddharth	సిద్ధార్థ్	Actor	Wikipedia	IMDb		DONE
celeb-suresh	Suresh	సురేష్	Actor	Wikipedia	IMDb		DONE
celeb-sarath	Sarath	శరత్	Director	Wikipedia	IMDb		DONE
celeb-lakshmi	Lakshmi	లక్ష్మి	Actress	Wikipedia	IMDb		DONE
celeb-ravi-teja	Ravi Teja	రవితేజ	Actor	Wikipedia	IMDb		DONE
nandamuri-balakrishna	Nandamuri Balakrishna	నందమూరి బాలకృష్ణ	Actor	Wikipedia	IMDb		DONE
celeb-siva	Siva	శివ	Director	Wikipedia	IMDb	Often called 'Siruthai' Siva	DONE
celeb-dasari-narayana-rao	Dasari Narayana Rao	దాసరి నారాయణరావు	Director	Wikipedia	IMDb		DONE
celeb-kanta-rao	Kanta Rao	కాంతారావు	Actor	Wikipedia	IMDb		DONE
celeb-arjun	Arjun Sarja	అర్జున్ సర్జా	Actor	Wikipedia	IMDb		DONE
celeb-kodi-ramakrishna	Kodi Ramakrishna	కోడి రామకృష్ణ	Director	Wikipedia	IMDb		DONE
allari-naresh	Allari Naresh	అల్లరి నరేష్	Actor	Wikipedia	IMDb		DONE
celeb-k-vasu	K. Vasu	కె. వాసు	Director	Wikipedia	IMDb		DONE
celeb-roja	Roja	రోజా	Actress	Wikipedia	IMDb		DONE
celeb-karthik	Karthik	కార్తీక్	Actor	Wikipedia	N/A		DONE
celeb-savitri	Savitri	సావిత్రి	Actress	Wikipedia	IMDb		DONE
celeb-krishnam-raju	Krishnam Raju	కృష్ణంరాజు	Actor	Wikipedia	IMDb		DONE
celeb-n-t-rama-rao	N. T. Rama Rao	నందమూరి తారక రామారావు	Actor/Politician	Wikipedia	IMDb	Known as NTR	DONE
celeb-sukumar	Sukumar	సుకుమార్	Director	Wikipedia	IMDb		DONE
celeb-kodandarami-reddy	A. Kodandarami Reddy	ఎ. కోదండరామి రెడ్డి	Director	Wikipedia	IMDb		DONE
celeb-murali-mohan	Murali Mohan	మురళీ మోహన్	Actor	Wikipedia	IMDb		DONE
celeb-tamannaah-bhatia	Tamannaah Bhatia	తమన్నా భాటియా	Actress	Wikipedia	IMDb		DONE
celeb-krishna	Krishna	ఘట్టమనేని కృష్ణ	Actor	Wikipedia	IMDb	Full name Ghattamaneni Krishna	DONE
celeb-k-raghavendra-rao	K. Raghavendra Rao	కె. రాఘవేంద్రరావు	Director	Wikipedia	IMDb		DONE
celeb-kamal-haasan	Kamal Haasan	కమల్ హాసన్	Actor	Wikipedia	IMDb		DONE
celeb-bhaskar	Bhaskar	భాస్కర్	Director	Wikipedia	N/A	Often 'Bommarillu' Bhaskar	DONE
celeb-soundarya	Soundarya	సౌందర్య	Actress	Wikipedia	IMDb		DONE
celeb-jaya-prada	Jaya Prada	జయప్రద	Actress	Wikipedia	IMDb		DONE
anjali-devi	Anjali Devi	అంజలీ దేవి	Actress	Wikipedia	IMDb		DONE
celeb-satyanarayana	Satyanarayana	కైకాల సత్యనారాయణ	Actor	Wikipedia	IMDb	Kaikala Satyanarayana	DONE
celeb-naresh	Naresh	నరేష్	Actor	Wikipedia	IMDb	Vijaya Naresh	DONE
