id	name_en	name_te	occupation	wikipedia_url	imdb_url	notes	status
# BATCH 3: PROFILES 101-150 NEEDING TELUGU NAMES

celeb-sudheer-babu	Sudheer Babu		actor	https://en.wikipedia.org/wiki/Sudheer_Babu	https://www.imdb.com/name/nm4460942/		PENDING
samudra	Samudra		director	https://en.wikipedia.org/wiki/Samudra	N/A		PENDING
celeb-g-nageswara-reddy	G. Nageswara Reddy		director	https://en.wikipedia.org/wiki/G._Nageswara_Reddy	https://www.imdb.com/name/nm3139460/		PENDING
gummadi	Gummadi		actor	https://en.wikipedia.org/wiki/Gummadi	https://www.imdb.com/name/nm0347953/		PENDING
celeb-ram-pothineni	Ram Pothineni		actor	https://en.wikipedia.org/wiki/Ram_Pothineni	https://www.imdb.com/name/nm2433460/		PENDING
celeb-ntr	Ntr		Actor	https://en.wikipedia.org/wiki/Ntr	N/A		PENDING
celeb-tabu	Tabu		actress	https://en.wikipedia.org/wiki/Tabu	https://www.imdb.com/name/nm0007102/		PENDING
celeb-tanish	Tanish		actor	https://en.wikipedia.org/wiki/Tanish	N/A		PENDING
celeb-d-yoganand	D. Yoganand		director	https://en.wikipedia.org/wiki/D._Yoganand	https://www.imdb.com/name/nm0948334/		PENDING
celeb-abbas	Abbas		actor	https://en.wikipedia.org/wiki/Abbas	https://www.imdb.com/name/nm0007806/		PENDING
celeb-aadi	Aadi		actor	https://en.wikipedia.org/wiki/Aadi	https://www.imdb.com/name/nm4925980/		PENDING
celeb-rachana	Rachana		actor	https://en.wikipedia.org/wiki/Rachana	https://www.imdb.com/name/nm3248934/		PENDING
celeb-j-d-chakravarthi	J. D. Chakravarthi		actor	https://en.wikipedia.org/wiki/J._D._Chakravarthi	https://www.imdb.com/name/nm0149835/		PENDING
celeb-trivikram-srinivas	Trivikram Srinivas		director	https://en.wikipedia.org/wiki/Trivikram_Srinivas	https://www.imdb.com/name/nm1894520/		PENDING
celeb-m-mallikarjuna-rao	M. Mallikarjuna Rao		director	https://en.wikipedia.org/wiki/M._Mallikarjuna_Rao	N/A		PENDING
celeb-pooja-hegde	Pooja Hegde		actress	https://en.wikipedia.org/wiki/Pooja_Hegde	https://www.imdb.com/name/nm5249562/		PENDING
celeb-arjun-sarja	Arjun Sarja		director	https://en.wikipedia.org/wiki/Arjun_Sarja	https://www.imdb.com/name/nm0035018/		PENDING
ravichandran	Ravichandran		actor	https://en.wikipedia.org/wiki/Ravichandran	https://www.imdb.com/name/nm1119422/		PENDING
celeb-rekha	Rekha		actor	https://en.wikipedia.org/wiki/Rekha	https://www.imdb.com/name/nm0004334/		PENDING
celeb-uday-kiran	Uday Kiran		actor	https://en.wikipedia.org/wiki/Uday_Kiran	https://www.imdb.com/name/nm1245012/		PENDING
celeb-navdeep	Navdeep		actor	https://en.wikipedia.org/wiki/Navdeep	https://www.imdb.com/name/nm1963406/		PENDING
veera	Veera		actor	https://en.wikipedia.org/wiki/Veera	N/A		PENDING
celeb-naga-chaitanya-akkineni	Naga Chaitanya Akkineni		actor	https://en.wikipedia.org/wiki/Naga_Chaitanya_Akkineni	https://www.imdb.com/name/nm3602118/		PENDING
celeb-sunil-varma	Sunil Varma		actor	https://en.wikipedia.org/wiki/Sunil_Varma	https://www.imdb.com/name/nm1198628/		PENDING
celeb-taapsee-pannu	Taapsee Pannu		actor	https://en.wikipedia.org/wiki/Taapsee_Pannu	https://www.imdb.com/name/nm3966456/		PENDING
celeb-mehreen-pirzada	Mehreen Pirzada		actor	https://en.wikipedia.org/wiki/Mehreen_Pirzada	https://www.imdb.com/name/nm8276228/		PENDING
celeb-c-s-rao	C. S. Rao		director	https://en.wikipedia.org/wiki/C._S._Rao	N/A		PENDING
celeb-bhavana	Bhavana		actor	https://en.wikipedia.org/wiki/Bhavana	https://www.imdb.com/name/nm1418952/		PENDING
celeb-nagma	Nagma		actor	https://en.wikipedia.org/wiki/Nagma	https://www.imdb.com/name/nm0619324/		PENDING
celeb-revathi	Revathi		actor	https://en.wikipedia.org/wiki/Revathi	https://www.imdb.com/name/nm0720763/		PENDING
celeb-naga-shaurya	Naga Shaurya		actor	https://en.wikipedia.org/wiki/Naga_Shaurya	https://www.imdb.com/name/nm6601752/		PENDING
celeb-vishwak-sen	Vishwak Sen		actor	https://en.wikipedia.org/wiki/Vishwak_Sen	https://www.imdb.com/name/nm9876442/		PENDING
celeb-regina-cassandra	Regina Cassandra		actor	https://en.wikipedia.org/wiki/Regina_Cassandra	https://www.imdb.com/name/nm5294556/		PENDING
celeb-vedantam-raghavayya	Vedantam Raghavayya		director	https://en.wikipedia.org/wiki/Vedantam_Raghavayya	N/A		PENDING
celeb-jayachitra	Jayachitra		actor	https://en.wikipedia.org/wiki/Jayachitra	https://www.imdb.com/name/nm0419655/		PENDING
celeb-anupama-parameswaran	Anupama Parameswaran		actor	https://en.wikipedia.org/wiki/Anupama_Parameswaran	https://www.imdb.com/name/nm7322042/		PENDING
celeb-ravi-babu	Ravi Babu		director	https://en.wikipedia.org/wiki/Ravi_Babu	https://www.imdb.com/name/nm2560181/		PENDING
celeb-bhimaneni-srinivasa-rao	Bhimaneni Srinivasa Rao		director	https://en.wikipedia.org/wiki/Bhimaneni_Srinivasa_Rao	N/A		PENDING
celeb-gunasekhar	Gunasekhar		director	https://en.wikipedia.org/wiki/Gunasekhar	https://www.imdb.com/name/nm0348015/		PENDING
celeb-ileana-d-cruz	Ileana D'Cruz		actor	https://en.wikipedia.org/wiki/Ileana_D'Cruz	https://www.imdb.com/name/nm2299825/		PENDING
