Year	Title_EN	Director	Hero	Title_TE
2026	Alcohol	Meher Tej	Allari Naresh	
2026	Anantha	Suresh Krissna	Jagapathi Babu	
2026	Dark Chocolate	Shashank Srivatsavaya	Vishwadev Rachakonda	
2026	Funky	Anudeep	Vishwak Sen	
2026	Honey	Karuna Kumar	Naveen Chandra	
2026	Itllu Arjuna	Mahesh Uppala	Aniesh	
2026	Lenin	Murali Kishor Abburu	Akhil Akkineni	
2026	Madham	Vamsee Krishna Malla	Harsha	
2026	Nilakanta	Rakesh Madhavan	Mahendran	
2026	O'Romeo	Vishal Bhardwaj	Shahid Kapoor	
2026	Om Shanti Shanti Shantihi	Sajeev AR	Tharun Bhascker	
2026	Psych Siddhartha	Varun Reddy	Shree Nandu	
2026	Ranger	Jagan Shakti	Ajay Devgn	
2026	Rao Bahadur	Venkatesh Maha	Satyadev Kancharana	
2026	Rowdy Janardhana	Ravikiran Kola	Vijay Deverakonda	
2026	Sahakutumbaanaam	Uday Sharma	Raam Kiran	
2026	Seetha Payanam	Arjun Sarja	Niranjan Sudhindra	
2026	The Bed	S. Mani Bharathy	Srikanth	
2026	The Paradise	Srikanth Odela	Nani	
2026	Vanaveera	Avinash Thiruveedhula	Avinash	
2025	(MAD)²	Kalyan Shankar	Sangeeth Shobhan	
2025	#Single	Caarthick Raju	Sree Vishnu	
2025	1000 Waala	Afzal Shaik	Amith	
2025	11:11	Kittu Nalluri	Saluri Koteswara Rao	
2025	12A Railway Colony	Nani Kasaragadda	Allari Naresh	
2025	14 Days (girlfriend Intlo)	Sriharsha Manne	Ankith Koyya	
2025	23 (Iravai Moodu)	Raj Rachakonda	Teja	
2025	28 Degree Celsius	Anil Viswanath	Naveen Chandra	
2025	8 Vasantalu	Phanindra Narsetti	Ananthika Sanilkumar	
2025	Akhanda 2: Thaandavam	Boyapati Srinu	Nandamuri Balakrishna	
2025	Akkada Ammayi Ikkada Abbayi	NitinBharath	Pradeep Machiraju	
2025	Anaganaga	Taraka Rama	Saanya Bhatnagar	
2025	Andhra King Taluka	Mahesh Babu P	Ram Pothineni	
2025	Ari: My Name is Nobody	V. JayaShankarr	Sai Kumar	
2025	Arjun Chakravarthy	Vikrant Srinivas	Vijaya Rama Raju	
2025	Arjun Son of Vyjayanthi	Pradeep Chilukuri	Nandamuri Kalyan Ram	
2025	Baahubali: The Epic	S. S. Rajamouli	Prabhas	
2025	Baapu	Dayakar Reddy K	Brahmaji	
2025	Bhairavam	Vijay Kanakamedala	Bellamkonda Srinivas	
2025	Bhavani Ward 1997	GD Narasimmha	Jabardasth Apparao	
2025	Blackmail	Mu. Maran	Srikanth	
2025	Blind Spot	Rakesh Varma	Naveen Chandra	
2025	Boss	Ra Hee-chan	Jo Woo-jin	
2025	Brahma Anandam	RVS Nikhil	Raja Goutham	
2025	Chaurya Paatam	Nikhil Gollamari	Mast Ali	
2025	Chaurya Paatham	Nikhil Gollamari	Mast Ali	
2025	Chiranjeeva	Abhinaya Krishna	Raj Tarun	
2025	Court: State vs. A Nobody	Ram Jagadeesh	Priyadarshi Pullikonda	
2025	Dear Uma	Sai Rajesh Mahadav	Pruthvi Ambaar	
2025	Dhandoraa	Murali Kanth Devasoth	Sivaji Sontineni	
2025	Dilruba	Viswa Karun	Kiran Abbavaram	
2025	Dinasari	G. Sankar	Srikanth	
2025	Dreamcatcher	Sandeep Kakula	Prashanth Krishna	
2025	Eesha	Srinivas Manne	Thrigun	
2025	Elumale	Punit Rangaswamy	Jagapathi Babu	
2025	Enuguthondam Ghatikachalam	Ravi Babu	Naresh	
2025	Gandhi Tatha Chettu	Padmavathi Malladi	Chakrapani Ananda	
2025	Hari Hara Veera Mallu: Part 1 – Sword vs Spirit	Jyothi Krishna	Pawan Kalyan	
2025	Hathya	Srividya Basawa	Ravi Varma	
2025	HIT: The Third Case	Sailesh Kolanu	Nani	
2025	Ilanti Cinema Meereppudu Chusundaru	Super Raja	Super Raja	
2025	Jaat	Gopichand Malineni	Sunny Deol	
2025	Janata Bar	Ramana Mogili	Pradeep Ram Singh Rawat	
2025	Junior	Radhakrishna Reddy	Kireeti Reddy	
2025	Kingdom	Poppy Bullard	Vijay Deverakonda	
2025	Kishkindhapuri	Koushik Pegallapati	Bellamkonda Srinivas	
2025	Konjam Kadhal Konjam Modhal	K. Rangaraj	Srikanth	
2025	Kuberaa	Sekhar Kammula	Dhanush	
2025	Laila	Ram Narayan	Vishwak Sen	
2025	Little Hearts	Sai Marthand	Mouli	
2025	LYF - Love Your Father	Pavan Ketharaju	Sri Harsha	
2025	Mass Jathara	Bhanu Bogavarapu	Ravi Teja	
2025	Meghalu Cheppina Prema Katha	Vipin	Naresh Agastya	
2025	Mirai	Karthik Ghattamaneni	Teja Sajja	
2025	Mokshapatam	Rahul Vanaja Rajeshwar	Thiruveer Reddy	
2025	Mowgli	Sandeep Raj	Roshan Kanakala	
2025	Neeli Megha Shyama	Ravi S Varmaa	Vishwadev Rachakonda	
2025	Oh Bhama Ayyo Rama	Ram Godhala	Suhas	
2025	Oka Brundavanam	Satya Botcha	Ananth Babu	
2025	Oka Pathakam Prakaaram	Vinod Vijayan	Sairam Shankar	
2025	Paanch Minar	Ramesh Kadumula	Raj Tarun	
2025	Paradha	Praveen Kandregula	Rag Mayur	
2025	Patang	Praneeth Prattipati	Pranav Kaushik	
2025	Pelli Kaani Prasad	Abhilash Reddy Gopidi	Muralidhar Goud	
2025	Police Vari Heccharika	Babji	Subhalekha Sudhakar	
2025	Ponton's Heart	Senad Šahmanović	Marija Labudović	
2025	Premante	Navaneeth Sriram	Priyadarshi Pullikonda	
2025	Premistunnaa	Shankar Bhanu	Subbu Panchu	
2025	Raju Weds Rambai	Saailu Kaampati	Shivaji Raja	
2025	Ramam Raghavam	Dhanraj	Samuthirakani	
2025	Salaar: Part 2 - Shouryaanga Parvam	Prashanth Neel	Prabhas	
2025	Sankranthiki Vasthunam	Anil Ravipudi	Daggubati Venkatesh	
2025	Santhana Prapthirasthu	Sanjeev Reddy	Tharun Bhascker	
2025	Sasivadane	Sai Mohan Ubbana	Rakshith Atluri	
2025	Shambhala	Toshio Sekine	Mo Tzu-Yi	
2025	Shashtipoorthi	Pavan Prabha	Rajendra Prasad	
2025	Shivangi	Devaraj Bharani Dharan	John Vijay	
2025	Show Time	Madhan Kumar Dhakshinamoorthy	Naveen Chandra	
2025	Sikandar	A. R. Murugadoss	Salman Khan	
