Year	Title	Director	Hero	Heroine	TMDB_ID	Status	Genre
2010	Rakta Charitra	Ram Gopal Varma	Vivek Oberoi	Radhika Apte			Biographical
2010	Ramdev	Murali	Abhishek	Mythri			Action
2010	Udatha Udatha Ooch	Mallikharjun	Venkat				Comedy
2010	Prema Rajyam	Lakshman	Surya	Meera			Romance
2010	Veera Telangana	R. Narayana Murthy	R. Narayana Murthy	No Female Lead			Drama
2010	Young India	Dasari Narayana Rao	Sandeep	Mithuna			Drama
2010	My Name Is Amrutha	Venkat Gouni	Bhanuchander	Keerthi			Drama
2010	Raghavendra	Suresh Krishna	Prabhas	Anshu			Action
2010	Anaganaga Oka Aranyam	V.K. Prakash	Sai Kumar	Sri Ramya			Drama
2010	Komaram Bheem	Allani Sridhar	Bhoopal Reddy	No Female Lead			Action
2010	Kaluva	Balaji Sakthivel	Sumanth	Kajal Aggarwal			Romance
2010	Sandadi	Jagadish	Raja	Ghazal Thakur			Drama
2010	Inkosaari	Suman Pathuri	Raja	Richa Panai			Drama
2010	Aunty Uncle Nandagopal	Satyam	Srikanth	Meera Jasmine			Drama
2009	Punnami Naagu	A Kodandarami Reddy	Meka Srikanth	Rao Ramesh's daughter, but I am not confident about her name, so: Unknown			Horror
2009	Bank	Amruta Arunkumar	Jackie Shroff	Veda Sastry			Thriller
2009	Kasko	G. Nageswara Reddy	Vaibhav	Sharmiela Mandre			Action
2009	Satyameva Jayathe	Siva	Vishal	Saranya Mohan			Action
2009	Manorama	V. Eshwar Reddy	Nishanth	Charmy Kaur			Action
2009	Current	Surya Pratap	Sushanth	Sneha Ullal			Romance
2009	Pistha	Sabha Ayyappan	Vishal	Shriya Saran			Action
2009	Evaraina Epudaina	Marthand K Shankar	Varun Sandesh	Veda			Romance
2009	Mesthri	Dasari Narayana Rao	Dasari Narayana Rao	Trisha			Drama
2009	Neramu Siksha	Vijaya Nirmala	Krishna	Vijaya Nirmala			Drama
2009	Bumper Offer	Jaya Ravindra	Sairam Shankar	Bindu Madhavi			Comedy
2009	Indumathi	Arjun	Srikanth	Kamna Jethmalani			Thriller
2009	Malli Malli	Pascal	Srikanth	Shriya Saran			Romance
2008	Call Center	G. Nageswara Reddy	Vivek	Swetha			Drama
2008	Idi Sangathi	Chandra Siddhartha	Abbas	Tabu			Drama
2008	Bhadradri	Mallikarjun	Srihari	Gajala			Action
2008	Premabhishekam	S. V. Krishna Reddy	Venu Madhav	Sangeetha			Comedy
2008	Ankit, Pallavi & Friends	Hari Yelleti	Nikhil	Megha Burman			Drama
2008	Abbo Aadavallu	T.N. Raju	Karthik	Vanitha Reddy			Drama
2008	Highway	Kovvi Kalya Krishna	Aditya Om	Vedika			Action
2008	Mallepuvvu	Vasanth	Murali Krishna	Bhumika Chawla			Romance
2008	Keka	Teja	Kamal Kamaraju	Anusha			Romance
2008	Kshudra	Nagul	Priyanka	Ramya Krishnan			Horror
2008	Gunde Jhallumandi	Madan	Uday Kiran	Aditi Sharma			Romance
2008	Adhyakshaa	Chandrashekhar Yeleti	Jagapathi Babu	Mallika Kapoor			Comedy
2008	Gajibiji	K. Vasu	Ali	Farzana			Comedy
2008	Veedu Mamoolodu Kadu	Ravi Sarma	Rishi	Gopika			Action
2008	Aalayam	Muthyala Subbaiah	Sivaji	Honey Rose			Drama
2008	Adivishnu	Srinivasa Rao	Sai Kumar	Nayana			Action
2008	Ekaloveyudu	K. Ramakrishna	Uday Kiran	Kruti			Romance
2008	Donga Sachinollu	Raghu Ram	Siva Balaji	Madhu Sharma			Comedy
2008	Konchem Kothaga	Raju Rajendra Prasad	Venkat	Tulip Joshi			Thriller
2008	Aapada Mokkulavaadu	Posani Krishna Murali	Nagendra Babu	Ankita			Drama
2008	Mangathaayaru Tiffin Centre	E. V. V. Satyanarayana	Srikanth	Mumaith Khan			Comedy
2008	Okka Magadu	Y.V.S. Chowdary	Nandamuri Balakrishna	Anushka Shetty, Simran			Action
2007	Pagale Vennela	C.V. Reddy	Siva Balaji	Mythili			Romance
2007	Amma Nanna Lekunte	Y. Ramakrishna	Krishna	No Female Lead			Drama
2007	Bhookailas	Srinivasa Reddy	Venu	Bhuvaneswari			Comedy
2007	Veduka	Jitender	Raja	Poonam Bajwa			Romance
2007	Yamagola	Srinivasa Reddy	Sivaji	Mamata Mohandas			Fantasy
2007	Brahma	Srinivasa Rao	Srikanth	Trisha			Action
2007	Bhajantrilu	Jayaraj	Sivaji	Raasi			Comedy
2007	Sunny	Kamalakar	Kamalakar	Abhishek			Drama
2007	Poramboku	Srinivas	Navdeep	Ekta Khosla			Drama
2007	Notebook	Rajesh Sharma	Rajesh Sharma	Girija Oak			Drama
2007	Classmates	Vijay Yesudas	Srinivas Avasarala	Rashmi			Drama
