Title,Year,Current Hero,Current Heroine,Suggested Hero,Status,TMDB URL,Notes,Local URL
"Angeekaaram",1977,"Vincent","Sridevi","Vincent",found,"https://www.themoviedb.org/movie/810149","TMDB suggests: Vincent (Vijayan) Other male leads: Sukumaran, Prathapa Chandran Female leads: Sridevi, Prameela","http://localhost:3000/movies/angeekaaram-1977"
"Poombatta",1971,"Sankaradi","Sridevi","Sankaradi",found,"https://www.themoviedb.org/movie/508407","TMDB suggests: Sankaradi (Astrologer) Female leads: Sridevi, Prema Menon","http://localhost:3000/movies/poombatta-1971"
"Mahaguru",1985,"Rajinikanth","Meenakshi Sheshadri","Rajinikanth",found,"https://www.themoviedb.org/movie/331388","TMDB suggests: Rajinikanth (Mahaguru/Vijay) Female leads: Meenakshi Sheshadri, Sridevi","http://localhost:3000/movies/mahaguru-1985"
"Agni Pareeksha",1970,"Gummadi","Sridevi","Gummadi",found,"https://www.themoviedb.org/movie/950158","TMDB suggests: Gummadi (lead role) Female leads: Anjali Devi, Sridevi","http://localhost:3000/movies/agni-pareeksha-1970"
"—N/a",2019,"Eric Burdon","Sridevi","Eric Burdon",found,"https://www.themoviedb.org/movie/685359","TMDB suggests: Eric Burdon (Self) Other male leads: Sting, Steven Van Zandt Female leads: Patti Smith","http://localhost:3000/movies/n-a-2019"
"Oonjaal",1977,"Sankaradi","Sridevi","Sankaradi",found,"https://www.themoviedb.org/movie/812072","TMDB suggests: Sankaradi (lead role) Other male leads: K P Ummer, M G Soman Female leads: Sridevi, Kaviyoor Ponnamma","http://localhost:3000/movies/oonjaal-1977"
"Gift",1984,"Jeetendra","Sridevi","Jeetendra",found,"https://www.themoviedb.org/movie/559919","TMDB suggests: Jeetendra (lead role) Female leads: Sridevi, Jaya Prada","http://localhost:3000/movies/gift-1984"
"Moondram Pirai",1981,"Sridevi","Sridevi","",needs_verification,"","TMDB data not available - manual research needed","http://localhost:3000/movies/moondram-pirai-1981"
"Poompatta",1971,"Sankaradi","Sridevi","Sankaradi",found,"https://www.themoviedb.org/movie/508407","TMDB suggests: Sankaradi (Astrologer) Female leads: Sridevi, Prema Menon","http://localhost:3000/movies/poompatta-1971"
"Solva Sawan",1979,"Amol Palekar","Sridevi","Amol Palekar",found,"https://www.themoviedb.org/movie/766526","TMDB suggests: Amol Palekar (lead role) Other male leads: Kulbhushan Kharbanda Female leads: Sridevi, Dina Pathak","http://localhost:3000/movies/solva-sawan-1979"
"Meendum Kokila",1982,"Sridevi","Sridevi","",needs_verification,"","TMDB data not available - manual research needed","http://localhost:3000/movies/meendum-kokila-1982"
"Main Tera Dushman",1989,"Jackie Shroff","Sridevi","Jackie Shroff",found,"https://www.themoviedb.org/movie/819813","TMDB suggests: Jackie Shroff (Kishan Srivastav) Other male leads: Sunny Deol, Rajesh Khanna Female leads: Sridevi, Jaya Prada","http://localhost:3000/movies/main-tera-dushman-1989"
"Majaal",1987,"Jeetendra","Jaya Prada","Jeetendra",found,"https://www.themoviedb.org/movie/391728","TMDB suggests: Jeetendra (Vijay Kumar) Other male leads: Asrani, Prem Chopra Female leads: Jaya Prada, Sridevi","http://localhost:3000/movies/majaal-1987"
"Guru",1989,"Mithun Chakraborty","Sridevi","Mithun Chakraborty",found,"https://www.themoviedb.org/movie/604108","TMDB suggests: Mithun Chakraborty (Inspector Gaurav Shankar Shrivastav "Guru") Other male leads: Amrit Pal, Shakti Kapoor Female leads: Sridevi, Nutan","http://localhost:3000/movies/guru-1989"
"Chaand Kaa Tukdaa",1994,"Salman Khan","Sridevi","Salman Khan",found,"https://www.themoviedb.org/movie/161415","TMDB suggests: Salman Khan (Shyam S. Malhotra) Other male leads: Anupam Kher, Shatrughan Sinha Female leads: Sridevi, Rama Vij","http://localhost:3000/movies/chaand-kaa-tukdaa-1994"
"Fire and Flames",1986,"Jeetendra","Sridevi","Jeetendra",found,"https://www.themoviedb.org/movie/495787","TMDB suggests: Jeetendra (Vishal) Other male leads: Shakti Kapoor, Suresh Oberoi Female leads: Sridevi, Mandakini","http://localhost:3000/movies/fire-and-flames-1986"
"Lamhe",1992,"Sridevi","Sridevi","",needs_verification,"","TMDB data not available - manual research needed","http://localhost:3000/movies/lamhe-1992"
"Ram-Avtar",1988,"Anil Kapoor","Sridevi","Anil Kapoor",found,"https://www.themoviedb.org/movie/125223","TMDB suggests: Anil Kapoor (Avtar) Other male leads: Sunny Deol, Shakti Kapoor Female leads: Sridevi","http://localhost:3000/movies/ram-avtar-1988"
"Pathar Ke Insan",1990,"Vinod Khanna","Sridevi","Vinod Khanna",found,"https://www.themoviedb.org/movie/532158","TMDB suggests: Vinod Khanna (lead role) Other male leads: Jackie Shroff, Saeed Jaffrey Female leads: Sridevi, Poonam Dhillon","http://localhost:3000/movies/pathar-ke-insan-1990"
"Jawab Hum Denge",1987,"Jackie Shroff","Sridevi","Jackie Shroff",found,"https://www.themoviedb.org/movie/819772","TMDB suggests: Jackie Shroff (Jaikishan Verma) Other male leads: Shatrughan Sinha, Kader Khan Female leads: Sridevi, Seema Deo","http://localhost:3000/movies/jawab-hum-denge-1987"
"Aulad",1987,"Jeetendra","Jaya Prada","Jeetendra",found,"https://www.themoviedb.org/movie/301614","TMDB suggests: Jeetendra (Anand) Other male leads: Saeed Jaffrey, Asrani Female leads: Jaya Prada, Sridevi","http://localhost:3000/movies/aulad-1987"
"Masterji",1985,"Rajesh Khanna","Sridevi","Rajesh Khanna",found,"https://www.themoviedb.org/movie/463321","TMDB suggests: Rajesh Khanna (Raju) Other male leads: Kader Khan, Shakti Kapoor Female leads: Sridevi, Anita Raj","http://localhost:3000/movies/masterji-1985"
"Ghar Sansar",1986,"Jeetendra","Sridevi","Jeetendra",found,"https://www.themoviedb.org/movie/280240","TMDB suggests: Jeetendra (Prakash) Other male leads: Kader Khan, Shakti Kapoor Female leads: Sridevi, Kaajal Kiran","http://localhost:3000/movies/ghar-sansar-1986"
"Balidaan",1985,"Jeetendra","Sridevi","Jeetendra",found,"https://www.themoviedb.org/movie/462571","TMDB suggests: Jeetendra (lead role) Other male leads: Asrani, Shammi Kapoor Female leads: Sridevi, Bindu Desai","http://localhost:3000/movies/balidaan-1985"
