slug,title,year,missing_fields,tmdb_id,action,url
"1st-iifa-utsavam-2015","1st IIFA Utsavam","2015","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/1st-iifa-utsavam-2015"
"balu-abcdefg-2005","Balu ABCDEFG","2005","director, hero, heroine, genres, synopsis","N/A","Manual research needed","http://localhost:3000/movies/balu-abcdefg-2005"
"prince-of-peace-2012","Prince of Peace","2012","director, hero, heroine, genres, synopsis","N/A","Manual research needed","http://localhost:3000/movies/prince-of-peace-2012"
"bhale-mogudu-bhale-pellam-2011","Bhale Mogudu Bhale Pellam","2011","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/bhale-mogudu-bhale-pellam-2011"
"andaru-dongale-dorikithe-2004","Andaru Dongale Dorikithe","2004","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/andaru-dongale-dorikithe-2004"
"apparao-driving-school-2004","Apparao Driving School","2004","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/apparao-driving-school-2004"
"iddaru-attala-muddula-alludu-2006","Iddaru Attala Muddula Alludu","2006","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/iddaru-attala-muddula-alludu-2006"
"dagudumoota-dandakore-2015","Dagudumoota Dandakore","2015","director, hero, heroine, genres, synopsis","N/A","Manual research needed","http://localhost:3000/movies/dagudumoota-dandakore-2015"
"palanati-brahmanaidu-2003","Palanati Brahmanaidu","2003","director, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/palanati-brahmanaidu-2003"
"vamsoddarakudu-2000","Vamsoddarakudu","2000","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/vamsoddarakudu-2000"
"padma-vibhushan-2011","Padma Vibhushan","2011","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/padma-vibhushan-2011"
"best-supporting-actress-tamil-2002","Best Supporting Actress - Tamil","2002","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/best-supporting-actress-tamil-2002"
"national-film-awards-2003","National Film Awards","2003","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/national-film-awards-2003"
"best-actress-tamil-2001","Best Actress - Tamil","2001","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/best-actress-tamil-2001"
"best-actress-kannada-2004","Best Actress – Kannada","2004","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/best-actress-kannada-2004"
"premaku-swagatham-2002","Premaku Swagatham","2002","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/premaku-swagatham-2002"
"jayam-manade-raa-2000","Jayam Manade Raa","2000","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/jayam-manade-raa-2000"
"sangolli-rayanna-2012","Sangolli Rayanna","2012","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/sangolli-rayanna-2012"
"indian-idol-2021","Indian Idol","2021","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/indian-idol-2021"
"sri-renukadevi-2003","Sri Renukadevi","2003","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/sri-renukadevi-2003"
"overall-contribution-to-telugu-film-industry-2007","Overall Contribution to Telugu Film Industry","2007","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/overall-contribution-to-telugu-film-industry-2007"
"sesh-sangat-2009","Sesh Sangat","2009","heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/sesh-sangat-2009"
"drama-juniors-4-telugu-2023","Drama Juniors 4 Telugu","2023","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/drama-juniors-4-telugu-2023"
"perfect-pati-2018","Perfect Pati","2018","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/perfect-pati-2018"
"ee-snehatheerathu-2004","Ee Snehatheerathu","2004","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/ee-snehatheerathu-2004"
"the-kapil-sharma-show-season-2-2021","The Kapil Sharma Show season 2","2021","director, heroine, genres, poster","N/A","Manual research needed","http://localhost:3000/movies/the-kapil-sharma-show-season-2-2021"
"kizhakku-kadalkarai-salai-2006","Kizhakku Kadalkarai Salai","2006","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/kizhakku-kadalkarai-salai-2006"
"sakutumba-saparivaara-sametham-2000","Sakutumba Saparivaara Sametham","2000","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/sakutumba-saparivaara-sametham-2000"
"o-baby-yentha-sakkagunnave-2019","O Baby! Yentha Sakkagunnave","2019","director, hero, heroine, genres, synopsis","N/A","Manual research needed","http://localhost:3000/movies/o-baby-yentha-sakkagunnave-2019"
"kana-kandaen-2005","Kana Kandaen","2005","director, hero, heroine, genres, synopsis","N/A","Manual research needed","http://localhost:3000/movies/kana-kandaen-2005"
"meri-warrant-2010","Meri Warrant","2010","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/meri-warrant-2010"
"mayajalam-2006","Mayajalam","2006","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/mayajalam-2006"
"vallamai-tharayo-2008","Vallamai Tharayo","2008","hero, heroine, poster","80232","Manual research needed","http://localhost:3000/movies/vallamai-tharayo-2008"
"roja-kootam-2002","Roja Kootam","2002","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/roja-kootam-2002"
"nambiar-2014","Nambiar","2014","director, hero, heroine, genres, synopsis","N/A","Manual research needed","http://localhost:3000/movies/nambiar-2014"
"-2016","మెంటల్","2016","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/-2016"
"joot-2004","Joot","2004","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/joot-2004"
"ethiri-en-3-2012","Ethiri En 3","2012","director, hero, heroine, genres, synopsis, poster","N/A","Manual research needed","http://localhost:3000/movies/ethiri-en-3-2012"
