slug,title,title_te,year,director,action,url
"balu-abcdefg-2005","Balu ABCDEFG","Balu ABCDEFG","2005","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/balu-abcdefg-2005"
"prince-of-peace-2012","Prince of Peace","Prince of Peace","2012","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/prince-of-peace-2012"
"gandhinagar-rendava-veedhi-1987","Gandhinagar Rendava Veedhi","Gandhinagar Rendava Veedhi","1987","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/gandhinagar-rendava-veedhi-1987"
"bhale-mogudu-bhale-pellam-2011","Bhale Mogudu Bhale Pellam","Bhale Mogudu Bhale Pellam","2011","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/bhale-mogudu-bhale-pellam-2011"
"padaharella-ammayi-1986","Padaharella Ammayi","Padaharella Ammayi","1986","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/padaharella-ammayi-1986"
"andaru-dongale-dorikithe-2004","Andaru Dongale Dorikithe","Andaru Dongale Dorikithe","2004","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/andaru-dongale-dorikithe-2004"
"jai-bajarangbali-1997","Jai Bajarangbali","Jai Bajarangbali","1997","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/jai-bajarangbali-1997"
"kaboye-alludu-1987","Kaboye Alludu","Kaboye Alludu","1987","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/kaboye-alludu-1987"
"apparao-driving-school-2004","Apparao Driving School","Apparao Driving School","2004","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/apparao-driving-school-2004"
"dabbevariki-chedu-1987","Dabbevariki Chedu","Dabbevariki Chedu","1987","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/dabbevariki-chedu-1987"
"preminchi-choodu-1989","Preminchi Choodu","Preminchi Choodu","1989","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/preminchi-choodu-1989"
"iddaru-attala-muddula-alludu-2006","Iddaru Attala Muddula Alludu","Iddaru Attala Muddula Alludu","2006","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/iddaru-attala-muddula-alludu-2006"
"brundavanam-1993","Brundavanam","Brundavanam","1993","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/brundavanam-1993"
"kashmora-1986","Kashmora","Kashmora","1986","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/kashmora-1986"
"dagudumoota-dandakore-2015","Dagudumoota Dandakore","Dagudumoota Dandakore","2015","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/dagudumoota-dandakore-2015"
"inimai-idho-idho-1980","Inimai Idho Idho","Inimai Idho Idho","1980","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/inimai-idho-idho-1980"
"poola-rangadu-1989","Poola Rangadu","Poola Rangadu","1989","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/poola-rangadu-1989"
"topi-raja-sweety-roja-1996","Topi Raja Sweety Roja","Topi Raja Sweety Roja","1996","null","Research Wikipedia/IMDb manually","http://localhost:3000/movies/topi-raja-sweety-roja-1996"
