Slug,Title,Year,Action
"bhale-mogudu-bhale-pellam-2011","Bhale Mogudu Bhale Pellam",2011,"Manual research or consider deletion"
"apparao-driving-school-2004","Apparao Driving School",2004,"Manual research or consider deletion"
"iddaru-attala-muddula-alludu-2006","Iddaru Attala Muddula Alludu",2006,"Manual research or consider deletion"
"dagudumoota-dandakore-2015","Dagudumoota Dandakore",2015,"Manual research or consider deletion"
"palanati-brahmanaidu-2003","Palanati Brahmanaidu",2003,"Manual research or consider deletion"
"vamsoddarakudu-2000","Vamsoddarakudu",2000,"Manual research or consider deletion"
"mayajalam-2006","Mayajalam",2006,"Manual research or consider deletion"
"nambiar-2014","Nambiar",2014,"Manual research or consider deletion"
"-2016","మెంటల్",2016,"Manual research or consider deletion"
"joot-2004","Joot",2004,"Manual research or consider deletion"
"ethiri-en-3-2012","Ethiri En 3",2012,"Manual research or consider deletion"
