slug,title,year,current_hero,current_heroine,director,issue,action_needed,url
"kumara-sambhavam-1969","Kumara Sambhavam","1969","Sridevi","null","P Subramaniam","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/kumara-sambhavam-1969"
"himmatwala-1983","Himmatwala","1983","Sridevi","Tamannaah Bhatia","K Raghavendra Rao","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/himmatwala-1983"
"16-vayathinile-1977","16 Vayathinile","1977","Sridevi","Kamal Haasan","Bharathiraja","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/16-vayathinile-1977"
"pagalil-oru-iravu-1979","Pagalil Oru Iravu","1979","Sridevi","Vijayakumar","I V Sasi","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/pagalil-oru-iravu-1979"
"tohfa-1984","Tohfa","1984","Sridevi","Jaya Prada","K Raghavendra Rao","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/tohfa-1984"
"angeekaaram-1977","Angeekaaram","1977","Sridevi","Prameela","I V Sasi","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/angeekaaram-1977"
"moondram-pirai-1983","Moondram Pirai","1983","Sridevi","Sridevi","null","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/moondram-pirai-1983"
"nam-nadu-1969","Nam Nadu","1969","Sridevi","null","C. P. Jambulingam","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/nam-nadu-1969"
"kalyanaraman-1979","Kalyanaraman","1979","Sridevi","Navya Nair","Rangarajan G N","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/kalyanaraman-1979"
"poombatta-1971","Poombatta","1971","Sridevi","null","B K Pottekkadu","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/poombatta-1971"
"laadla-1995","Laadla","1995","Sridevi","Sridevi","null","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/laadla-1995"
"mahaguru-1985","Mahaguru","1985","Sridevi","Meenakshi Sheshadri","null","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/mahaguru-1985"
"agni-pareeksha-1970","Agni Pareeksha","1970","Sridevi","null","K. Varaprasadarao","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/agni-pareeksha-1970"
"lamhe-1992","Lamhe","1992","Sridevi","Sridevi","null","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/lamhe-1992"
"n-a-2019","—N/a","2019","Sridevi","null","Hannes Rossacher","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/n-a-2019"
"oonjaal-1977","Oonjaal","1977","Sridevi","Kaviyoor Ponnamma","I V Sasi","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/oonjaal-1977"
"sadma-1984","Sadma","1984","Sridevi","Sridevi","null","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/sadma-1984"
"justice-chaudhury-1983","Justice Chaudhury","1983","Sridevi","Hema Malini","K Raghavendra Rao","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/justice-chaudhury-1983"
"johnny-1980","Johnny","1980","Sridevi","Chris William Martin","J. Mahendran","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/johnny-1980"
"gift-1984","Gift","1984","Sridevi","Casey Niccoli","K Raghavendra Rao","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/gift-1984"
"gumrah-1994","Gumrah","1994","Sridevi","Mala Sinha","null","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/gumrah-1994"
"moondram-pirai-1981","Moondram Pirai","1981","Sridevi","Sridevi","null","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/moondram-pirai-1981"
"poompatta-1971","Poompatta","1971","Sridevi","null","B K Pottekkadu","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/poompatta-1971"
"solva-sawan-1979","Solva Sawan","1979","Sridevi","Amol Palekar","Bharathiraja","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/solva-sawan-1979"
"khuda-gawah-1993","Khuda Gawah","1993","Sridevi","Sridevi","null","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/khuda-gawah-1993"
"meendum-kokila-1982","Meendum Kokila","1982","Sridevi","Sridevi","null","Hero name matches known female actress","Verify and swap hero/heroine if needed","http://localhost:3000/movies/meendum-kokila-1982"
