"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Akbar Saleem Anarkali","1978","lead","Yes","","tmdb","0.50","Exists","1081201",""
"Desa Drohulu","1973","lead","Yes","","tmdb","0.50","Added","303054",""
"Rowdy Ramudu Konte Krishnudu","1980","lead","Yes","","tmdb","0.50","Exists","1093915",""
"Simham Navvindi!","1983","lead","Yes","","tmdb","0.50","Exists","1093968",""
"Thalla? Pellama","1970","lead","Yes","","tmdb","0.50","Added","1094398",""
"Srimadhvirata Parvamu","1979","lead","Yes","","tmdb","0.50","Exists","1094501",""
"Shavukaru","1950","lead","Yes","","tmdb","0.50","Exists","319806",""
"Chandraharam","1954","lead","Yes","","tmdb","0.50","Exists","307441",""
"Jagadeka Veeruni Katha","1961","lead","Yes","","tmdb","0.50","Exists","307475",""
"Aggi Pidugu","1964","lead","Yes","","tmdb","0.50","Exists","301216",""
"Punyavathi","1967","lead","Yes","","tmdb","0.50","Exists","929352",""
"Samrat Ashoka","1992","lead","Yes","","tmdb","0.50","Added","931326",""
"Ummadi Kutumbam","1967","lead","Yes","","tmdb","0.50","Exists","932561",""
"Aathma Bandhuvu","1962","lead","Yes","","tmdb","0.50","Exists","307841",""
"Adavi Ramudu","1977","lead","Yes","","tmdb","0.50","Added","94912",""
"Malliswari","1951","lead","Yes","","tmdb","0.50","Exists","94957",""
"Kondaveeti Simham","1981","lead","Yes","","tmdb","0.50","Exists","86136",""
"Daana Veera Soora Karna","1977","lead","Yes","","tmdb","0.50","Added","86137",""
"Gundamma Katha","1962","lead","Yes","","tmdb","0.50","Exists","86146",""
"Karnan","1964","lead","Yes","","tmdb","0.50","Added","102129",""
"Pathala Bhairavi","1951","lead","Yes","","tmdb","0.50","Exists","89838",""
"Bhale Thammudu","1969","lead","Yes","","tmdb","0.50","Exists","951232",""
"Bhookailas","1958","lead","Yes","","tmdb","0.50","Exists","155177",""
"Mayabazar","1957","lead","Yes","","tmdb","0.50","Exists","158023",""
"Superman","1980","lead","Yes","","tmdb","0.50","Added","138720",""
"Lava Kusa","1963","lead","Yes","","tmdb","0.50","Exists","183167",""
"Kalasi Unte Kaladu Sukham","1961","lead","Yes","","tmdb","0.50","Exists","183224",""
"Flowing Against","1977","lead","Yes","","tmdb","0.50","Exists","991703",""
"Vinayaka Chavithi","1957","lead","Yes","","tmdb","0.50","Exists","988732",""
"Kalyanam Panni Paar","1952","supporting","No","","tmdb","0.50","Added","262420",""
"Vivaha Bandham","1964","lead","Yes","","tmdb","0.50","Exists","307832",""
"Driver Ramudu","1979","lead","Yes","","tmdb","0.50","Exists","994631",""
"Charana Daasi","1956","lead","Yes","","tmdb","0.50","Added","995664",""
"Bhama Vijayam","1967","lead","Yes","","tmdb","0.50","Exists","302139",""
"Desa Drohulu","1964","lead","Yes","","tmdb","0.50","Exists","997841",""
"Errakota Veerudu","1973","lead","Yes","","tmdb","0.50","Exists","997867",""
"Daiva Balam","1959","lead","Yes","","tmdb","0.50","Exists","997854",""
"Karthavarayani Katha","1958","lead","Yes","","tmdb","0.50","Exists","997875",""
"Marmayogi","1964","lead","Yes","","tmdb","0.50","Exists","997929",""
"Santosham","1955","lead","Yes","","tmdb","0.50","Added","1202637",""
"Tiruguleni Manishi","1981","lead","Yes","","tmdb","0.50","Added","279355",""
"Sri Venkateswara Mahatmyam","1960","lead","Yes","","tmdb","0.50","Exists","281862",""
"Annadammula Anubandham","1975","lead","Yes","","tmdb","0.50","Added","280377",""
"Gulebakavali Katha","1962","lead","Yes","","tmdb","0.50","Exists","285309",""
"Vaddante Dabbu","1954","lead","Yes","","tmdb","0.50","Exists","1033211",""
"Tiger","1979","lead","Yes","","tmdb","0.50","Added","331537",""
"Jayasimha","1955","lead","Yes","","tmdb","0.50","Exists","1240607",""
