Type,Movie,Year,Field,Current Value,Suggested Value,Confidence,Details,Action
duplicate,"Babai Abbai",1985,-,"-","-",83%,"Duplicate of ""Babayi-Abbayi"" (1985) - 83% similar",flag_review
duplicate,"Ramu",1987,-,"-","-",90%,"Duplicate of ""Bhargava Ramudu"" (1987) - 90% similar",flag_review
duplicate,"President Gari Abbayi",1987,-,"-","-",95%,"Duplicate of ""President Gari Abbai"" (1987) - 95% similar",flag_review
duplicate,"Ramudu Bheemudu",1988,-,"-","-",90%,"Duplicate of ""Ramu"" (1987) - 90% similar",flag_review
duplicate,"Rakthabishekam",1988,-,"-","-",86%,"Duplicate of ""Raktabhishekam"" (1988) - 86% similar",flag_review
duplicate,"Okka Magaadu",2008,-,"-","-",91%,"Duplicate of ""Okka Magadu"" (2008) - 91% similar",flag_review
duplicate,"N.T.R: Kathanayakudu",2019,-,"-","-",88%,"Duplicate of ""N.t.r: Mahanayakudu"" (2019) - 88% similar",flag_review
duplicate,"Okka Magadu",2008,-,"-","-",85%,"Similar title to ""Okka Magaadu"" (2008)",flag_review
conflicting_data,"Lion",2015,tmdb_id,"616261","-",80%,"TMDB movie is en, not Telugu",flag_review
conflicting_data,"Legend",2014,tmdb_id,"4476","-",80%,"TMDB movie is en, not Telugu",flag_review
conflicting_data,"Rana",1998,tmdb_id,"9404","-",80%,"TMDB movie is cn, not Telugu",flag_review
conflicting_data,"Vamsanikokkadu",1996,tmdb_id,"281876","-",80%,"TMDB movie is en, not Telugu",flag_review
conflicting_data,"Drohi",1996,tmdb_id,"78848","-",80%,"TMDB movie is ta, not Telugu",flag_review
missing_field,"Padma Bhushan",2025,cinematographer,"-","-",60%,"Missing cinematographer",report_only
missing_field,"Padma Bhushan",2025,editor,"-","-",60%,"Missing editor",report_only
missing_field,"Padma Bhushan",2025,producer,"-","-",60%,"Missing producer",report_only
missing_field,"Padma Bhushan",2025,tmdb_id,"-","-",60%,"Missing tmdb_id",report_only
missing_field,"Narthanasala",2020,editor,"-","-",60%,"Missing editor",report_only
missing_field,"Dictator",2016,editor,"-","-",60%,"Missing editor",report_only
missing_field,"Lion",2015,editor,"-","-",60%,"Missing editor",report_only
missing_field,"Parama Veera Chakra",2011,cinematographer,"-","-",60%,"Missing cinematographer",report_only
missing_field,"Pandurangadu",2008,cinematographer,"-","-",60%,"Missing cinematographer",report_only
missing_field,"Pandurangadu",2008,writer,"-","-",60%,"Missing writer",report_only
missing_field,"Okka Magadu",2008,tmdb_id,"-","-",60%,"Missing tmdb_id",report_only
missing_field,"Okka Magaadu",2008,cinematographer,"-","-",60%,"Missing cinematographer",report_only
missing_field,"Okka Magaadu",2008,editor,"-","-",60%,"Missing editor",report_only
