"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Akbar Saleem Anarkali","1978","lead","Yes","","tmdb","0.50","Added","1081201",""
"Rowdy Ramudu Konte Krishnudu","1980","lead","Yes","","tmdb","0.50","Added","1093915",""
"Simham Navvindi!","1983","lead","Yes","","tmdb","0.50","Added","1093968",""
"Srimadhvirata Parvamu","1979","supporting","No","","tmdb","0.50","Added","1094501",""
"Pattabhishekham","1985","lead","Yes","","tmdb","0.50","Added","1093415",""
"Veera Simha Reddy","2023","lead","Yes","","tmdb, wikidata","0.75","Exists","896669","tt15387190"
"Srimadvirat Veerabrahmendra Swami Charitra","1984","lead","Yes","","tmdb","0.50","Added","706757",""
"Samarasimha Reddy","1999","lead","Yes","","tmdb, wikidata","0.75","Exists","80827","tt1575672"
"Parama Veera Chakra","2011","lead","Yes","","tmdb, wikidata","0.75","Exists","69927","tt1732724"
"Ashoka Chakravarthy","1989","lead","Yes","","tmdb, wikidata","0.75","Exists","80892","tt0318313"
"Chennakesava Reddy","2002","lead","Yes","","tmdb","0.50","Exists","80930",""
"Simha","2010","lead","Yes","","tmdb, wikidata","0.75","Exists","54404","tt1582604"
"Sri Rama Rajyam","2011","lead","Yes","","tmdb, wikidata","0.75","Exists","94987","tt1783377"
"Daana Veera Soora Karna","1977","child_actor","No","","tmdb, wikidata","0.75","Exists","86137","tt0259261"
"Vijayendra Varma","2004","lead","Yes","","tmdb, wikidata","0.75","Exists","87619","tt1579903"
"Srimannarayana","2012","lead","Yes","","tmdb, wikidata","0.75","Exists","155719","tt2227430"
"Mitrudu","2009","lead","Yes","","tmdb, wikidata","0.75","Exists","137353","tt1579975"
"Narasimha Naidu","2001","lead","Yes","","tmdb, wikidata","0.75","Exists","137440","tt1575640"
"Okka Magaadu","2008","lead","Yes","","tmdb, wikidata","0.75","Exists","137468","tt0928160"
"Adhinayakudu","2012","lead","Yes","","tmdb, wikidata","0.75","Exists","168119","tt2244697"
"Bhagavanth Kesari","2023","lead","Yes","","tmdb, wikidata","0.75","Exists","979669","tt21810110"
"Kaliyuga Sthree","1978","supporting","No","","tmdb","0.50","Added","988196",""
"Legend","2014","lead","Yes","","tmdb, wikidata","0.75","Exists","262119","tt3555036"
"Uu Kodathara Ulikki Padathara","2012","lead","Yes","","tmdb, wikidata","0.75","Added","250649","tt2401225"
"Maharadhi","2007","lead","Yes","","tmdb, wikidata","0.75","Exists","266496","tt0924249"
"Veerabhadra","2006","lead","Yes","","tmdb, wikidata","0.75","Exists","267354","tt0929630"
"Daaku Maharaaj","2025","lead","Yes","","tmdb","0.50","Exists","1202235",""
"Vamsanikokkadu","1996","lead","Yes","","tmdb, wikidata","0.75","Exists","281876","tt1579708"
"Gandeevam","1994","lead","Yes","","tmdb","0.50","Exists","280267",""
"Allari Pidugu","2005","lead","Yes","","tmdb, wikidata","0.75","Added","280326","tt0959281"
"Palnati Brahmanayudu","2003","lead","Yes","","tmdb, wikidata","0.75","Exists","280328","tt0373219"
"Goppinti Alludu","2000","lead","Yes","","tmdb, wikidata","0.75","Exists","280334","tt2990346"
"Peddannayya","1997","lead","Yes","","tmdb, wikidata","0.75","Exists","280349","tt1579854"
"Seema Simham","2002","lead","Yes","","tmdb, wikidata","0.75","Added","280330","tt1583363"
"Rana","1998","lead","Yes","","tmdb, wikidata","0.75","Exists","280346",""
"Bhalevadivi Basu","2001","lead","Yes","","tmdb, wikidata","0.75","Added","280332","tt0361373"
"Krishna Babu","1999","lead","Yes","","tmdb, wikidata","0.75","Exists","280341","tt7860294"
"Pavitra Prema","1998","lead","Yes","","tmdb, wikidata","0.75","Exists","280344","tt8858024"
"Bangaru Bullodu","1993","lead","Yes","","tmdb","0.50","Exists","87613",""
"Bobbili Simham","1994","lead","Yes","","tmdb, wikidata","0.75","Exists","280351","tt1579532"
"Rowdy Inspector","1992","lead","Yes","","tmdb, wikidata","0.75","Exists","82606","tt1579691"
"Dharma Kshetram","1992","lead","Yes","","tmdb, wikidata","0.75","Exists","81054","tt0317353"
"Bala Gopaludu","1989","lead","Yes","","tmdb, wikidata","0.75","Exists","280370","tt1300342"
"Top Hero","1994","lead","Yes","","tmdb, wikidata","0.75","Exists","280355","tt0267981"
"Sultan","1999","lead","Yes","","tmdb, wikidata","0.75","Added","280342","tt1575688"
"Bhairava Dweepam","1994","lead","Yes","","tmdb, wikidata","0.75","Exists","80944","tt0264415"
"Lorry Driver","1990","lead","Yes","","tmdb, wikidata","0.75","Exists","280365","tt0361851"
"Nari Nari Naduma Murari","1990","lead","Yes","","tmdb, wikidata","0.75","Exists","280368","tt0355808"
"Nippu Ravva","1993","lead","Yes","","tmdb, wikidata","0.75","Exists","280359","tt2894564"
"Muddula Mavayya","1989","lead","Yes","","tmdb, wikidata","0.75","Exists","280372","tt0307192"
"Bhargava Ramudu","1987","lead","Yes","","tmdb, wikidata","0.75","Exists","280374","tt0355257"
"Pandurangadu","2008","lead","Yes","","tmdb","0.50","Exists","280323",""
"Annadammula Anubandham","1975","child_actor","No","","tmdb, wikidata","0.75","Exists","280377","tt7152694"
"Aditya 369","1991","lead","Yes","","tmdb, wikidata","0.75","Exists","280363","tt0252196"
"Mangamma Gari Manavadu","1984","lead","Yes","","tmdb","0.50","Exists","280375",""
"Lion","2015","lead","Yes","","tmdb, wikidata","0.75","Exists","348655","tt4685968"
"Sri Tirupati Venkateswara Kalyanam","1979","supporting","No","","tmdb","0.50","Added","322393",""
"Thathamma Kala","1974","child_actor","No","","tmdb","0.50","Added","1265526",""
"Dictator","2016","lead","Yes","","tmdb, wikidata","0.75","Exists","370720","tt5304086"
"Sahasa Samrat","1987","lead","Yes","","tmdb, wikidata","0.75","Exists","414570","tt0258111"
"Bharatamlo Bala Chandrudu","1988","lead","Yes","","tmdb, wikidata","0.75","Exists","414571",""
"Gautamiputra Satakarni","2017","lead","Yes","","tmdb, wikidata","0.75","Exists","434395","tt5832544"
"Paisa Vasool","2017","lead","Yes","","tmdb, wikidata","0.75","Exists","471331","tt7188742"
"Jai Simha","2018","lead","Yes","","tmdb, wikidata","0.75","Exists","495121","tt7756494"
"Vamsodharakudu","2000","lead","Yes","","tmdb","0.50","Added","521440",""
"Seetharama Kalyanam","1986","lead","Yes","","tmdb","0.50","Exists","528958",""
"N.T.R: Kathanayakudu","2019","lead","Yes","","tmdb","0.50","Exists","568522",""
"Muddula Mogudu","1997","lead","Yes","","tmdb, wikidata","0.75","Added","308083","tt1579815"
"Ruler","2019","lead","Yes","","tmdb","0.50","Exists","657170",""
