Section,Title,Year,Slug,Current Value,Suggested Value,Action
Ghost Entry,"Lion",2015,lion-2015,Nandamuri Balakrishna,"Lianne Steenkamp",Re-attribute
Ghost Entry,"Legend",2014,legend-2014,Nandamuri Balakrishna,"Brad Pitt",Re-attribute
Ghost Entry,"Kondaveeti Simhasanam",2002,kondaveeti-simhasanam-2002,Nandamuri Balakrishna,"Mohan Babu",Re-attribute
Ghost Entry,"Rana",1998,rana-1998,Nandamuri Balakrishna,"Jackie Chan",Re-attribute
Ghost Entry,"Omkaram",1997,omkaram-1997,Nandamuri Balakrishna,"Dr. Rajasekhar",Re-attribute
Ghost Entry,"Drohi",1996,drohi-1996,Nandamuri Balakrishna,"Srikanth",Re-attribute
Ghost Entry,"Bhale Mogudu",1987,bhale-mogudu-1987,Nandamuri Balakrishna,"Rajendra Prasad",Re-attribute
Ghost Entry,"Ananda Bhairavi",1983,ananda-bhairavi-1983,Nandamuri Balakrishna,"Girish Karnad",Re-attribute
Ghost Entry,"Sri Vinayaka Vijayamu",1979,sri-vinayaka-vijayamu-1979,Nandamuri Balakrishna,"Krishnam Raju",Re-attribute
Missing Film,"Akbar Saleem Anarkali",1978,,1081201,"Saleem",Add
Missing Film,"Rowdy Ramudu Konte Krishnudu",1980,,1093915,"Balakrishna",Add
Missing Film,"Simham Navvindi!",1983,,1093968,"Balakrishna",Add
Missing Film,"Srimadhvirata Parvamu",1979,,1094501,"Abhimanyudu",Add
Missing Film,"Pattabhishekham",1985,,1093415,"Balu",Add
Missing Film,"Srimadvirat Veerabrahmendra Swami Charitra",1984,,706757,"Sayyad / Siddayya",Add
Missing Film,"Kaliyuga Sthree",1978,,988196,"",Add
Missing Film,"Uu Kodathara Ulikki Padathara",2012,,250649,"Rudramaneni Narasimha Rayudu",Add
Missing Film,"Allari Pidugu",2005,,280326,"Ranjith",Add
Missing Film,"Seema Simham",2002,,280330,"",Add
Missing Film,"Bhalevadivi Basu",2001,,280332,"",Add
Missing Film,"Sultan",1999,,280342,"Sultan / Prudhvi",Add
Missing Film,"Sri Tirupati Venkateswara Kalyanam",1979,,322393,"Narada Maharshi",Add
Missing Film,"Thathamma Kala",1974,,1265526,"Balakrishna",Add
Missing Film,"Muddula Mogudu",1997,,308083,"",Add
Missing Film,"Bharyabhartala Bandham",1985,,695925,"Radha",Add
Missing Film,"Kathanayakudu",1984,,697410,"Ravi",Add
Missing Film,"Brahmarshi Vishwamitra",1991,,724073,"Satya Harichandra / Dushyanta",Add
Missing cinematographer,"Padma Bhushan",2025,padma-bhushan-2025,,,"Fill"
Missing editor,"Padma Bhushan",2025,padma-bhushan-2025,,,"Fill"
Missing producer,"Padma Bhushan",2025,padma-bhushan-2025,,,"Fill"
Missing tmdb_id,"Padma Bhushan",2025,padma-bhushan-2025,,,"Fill"
Missing editor,"Narthanasala",2020,narthanasala-2020,,,"Fill"
Missing editor,"Dictator",2016,dictator-2016,,,"Fill"
Missing editor,"Lion",2015,lion-2015,,,"Fill"
Missing cinematographer,"Parama Veera Chakra",2011,parama-veera-chakra-2011,,,"Fill"
Missing cinematographer,"Pandurangadu",2008,pandurangadu-2008,,,"Fill"
Missing writer,"Pandurangadu",2008,pandurangadu-2008,,,"Fill"
Missing tmdb_id,"Okka Magadu",2008,okka-magadu-2008,,,"Fill"
