Year,Title,Hero,Heroine,Director,Music Director,Cinematographer,Editor,Writer,Producer,Supporting Cast,TMDB ID,Genres,Our Rating
2026,"The Paradise","Nani","Sonali Kulkarni","Srikanth Odela","Anirudh Ravichander","","Naveen Nooli","Srikanth Odela","Sudhakar Cherukuri","Mohan Babu; Raghav Juyal; Kayadu Lohar; Sampoornesh Babu; Babu Mohan",1376856,"Action; Thriller; Drama",6.1
2025,"HIT: The Third Case","Nani","Srinidhi Shetty","Sailesh Kolanu","Mickey J Meyer","","Karthika Srinivas","Sailesh Kolanu","Prashanti Tipirneni","Komalee Prasad; Rao Ramesh; Surya Srinivas; Adil Pala; Prateik Smita Patil",1060046,"Crime; Thriller; Action",7.2
2024,"Saripodhaa Sanivaaram","Nani","Priyanka Arul Mohan","Vivek Athreya","Jakes Bejoy","","Karthika Srinivas","Vivek Athreya","Kalyan Dasari","Priyanka Arul Mohan; Sai Kumar; Murali Sharma; Aditi Balan; Abhirami",1194915,"Action; Thriller",6.5
2023,"Dasara","Nani","Keerthy Suresh","Srikanth Odela","Santhosh Narayanan","","Naveen Nooli","Jella Srinath","Sudhakar Cherukuri","Dheekshith Shetty; Shine Tom Chacko; Sai Kumar; Samuthirakani; Poorna",885184,"Action; Thriller",7.5
2023,"Hi Nanna","Nani","Mrunal Thakur","Shouryuv","Hesham Abdul Wahab","","Praveen Antony","Shouryuv","Mohan Cherukuri","Baby Kiara Khanna; Jayaram; Shilpa Tulaskar; Priyadarshi Pullikonda; Angad Bedi",1068452,"Drama; Family; Romance",7.9
2022,"Ante... Sundaraniki!","Nani","Nazriya Nazim","Vivek Athreya","Vivek Sagar","","Raviteja Girijala","Vivek Athreya","Naveen Yerneni","Naresh; Rohini; N. Azhagamperumal; Nadhiya; Harsha Vardhan",834654,"Comedy; Romance; Family",7.1
2021,"Shyam Singha Roy","Nani","Sai Pallavi","Rahul Sankrityan","Mickey J Meyer","","Naveen Nooli","Rahul Sankrityan","Venkat Boyanapalli","Krithi Shetty; Madonna Sebastian; Murali Sharma; Rahul Ravindran; Abhinav Gomatam",799676,"Romance; Thriller; Drama",6.8
2021,"Tuck Jagadish","Nani","Ritu Varma","Shiva Nirvana","Gopi Sundar","","Prawin Pudi","Shiva Nirvana","Sahu Garapati","Jagapati Babu; Daniel Balaji; Aishwarya Rajesh; Nassar; Rao Ramesh",784963,"Drama; Action; Family",5
2020,"V","Nani","Nivetha Thomas","Mohana Krishna Indraganti","Amit Trivedi","","Marthand K Venkatesh","Mohana Krishna Indraganti","Dil Raju","Nivetha Thomas; Aditi Rao Hydari; Vennela Kishore; Chakrapani Ananda; Srikanth Iyengar",683342,"Action; Crime; Thriller",6.6
2019,"Nani's Gang Leader","Nani","Lakshmi","Vikram Kumar","Anirudh Ravichander","","Naveen Nooli","Vikram Kumar","Mohan Cherukuri","Lakshmi; Saranya Ponvannan; Priyanka Arul Mohan; Shriya Kontham; Praanya P. Rao",612402,"Comedy; Crime; Thriller",7.2
