Year,Title,Hero,Heroine,Director,Music Director,Cinematographer,Editor,Writer,Producer,TMDB ID,Genres
2026,"The Paradise","Nani","Janhvi Kapoor","Srikanth Odela","Anirudh Ravichander","CH Sai","Naveen Nooli","Srikanth Odela","Sudhakar Cherukuri",1376856,"Action; Thriller; Drama"
2025,"HIT: The Third Case","Nani","Srinidhi Shetty","Sailesh Kolanu","Mickey J Meyer","Sanu John Varghese","Karthika Srinivas","Sailesh Kolanu","Prashanti Tipirneni",1060046,"Crime; Thriller; Action"
2024,"Saripodhaa Sanivaaram","Nani","Priyanka Mohan","Vivek Athreya","Jakes Bejoy","G. Murali","Karthika Srinivas","Vivek Athreya","DVV Danayya",1194915,"Action; Thriller"
2023,"Hi Nanna","Nani","Mrunal Thakur","Shouryuv","Hesham Abdul Wahab","Sanu John Varghese","Praveen Antony","Shouryuv","Mohan Cherukuri",1068452,"Drama; Family; Romance"
2023,"Dasara","Nani","Keerthy Suresh","Srikanth Odela","Santhosh Narayanan","Sathyan Sooryan","Naveen Nooli","Jella Srinath","Sudhakar Cherukuri",885184,"Action; Thriller; Drama"
2022,"Ante... Sundaraniki!","Nani","Nazriya Nazim","Vivek Athreya","Vivek Sagar","Niketh Bommireddy","Raviteja Girijala","Vivek Athreya","Naveen Yerneni",834654,"Comedy; Romance; Family"
2021,"Shyam Singha Roy","Nani","Sai Pallavi","Rahul Sankrityan","Mickey J Meyer","Sanu John Varghese","Naveen Nooli","Satyadev Janga","Venkat Boyanapalli",799676,"Romance; Thriller; Drama"
2021,"Tuck Jagadish","Nani","Ritu Varma","Shiva Nirvana","Thaman S (Songs), Gopi Sundar (BGM)","Prasad Murella","Prawin Pudi","Shiva Nirvana","Sahu Garapati",784963,"Drama; Action; Family"
2020,"V","Nani","Nivetha Thomas","M. K. Indraganti","Amit Trivedi","P. G. Vinda","Marthand K Venkatesh","Mohana Krishna Indraganti","Dil Raju",683342,"Action; Crime; Thriller"
2019,"Jersey","Nani","Shraddha Srinath","Gowtam Tinnanuri","Anirudh Ravichander","Sanu John Varghese","Naveen Nooli","Gowtam Tinnanuri","Suryadevara Naga Vamsi",592898,"Drama; Sports"
2019,"Nani's Gang Leader","Nani","Priyanka Mohan","Vikram Kumar","Anirudh Ravichander","Miroslaw Kuba Brozek","Naveen Nooli","Vikram Kumar","Naveen Yerneni",612402,"Comedy; Crime; Thriller"
2018,"Devadas","Nani","Rashmika Mandanna","Sriram Adittya","Mani Sharma","Shamdat Sainudeen","Prawin Pudi","Sriram Adittya","C. Ashwini Dutt",550864,"Action; Comedy; Drama"
2018,"Krishnarjuna Yuddham","Nani","Anupama Parameswaran","Merlapaka Gandhi","Hiphop Tamizha","Karthik Ghattamaneni","Satya Giduturi","Merlapaka Gandhi","Sahu Garapati",493010,"Action; Drama; Romance"
2017,"Middle Class Abbayi","Nani","Sai Pallavi","Venu Sree Raam","Devi Sri Prasad","Sameer Reddy","Prawin Pudi","Venu Sriram","Dil Raju",485869,"Drama; Romance; Family"
2017,"Nenu Local","Nani","Keerthy Suresh","T. R. Nakkina","Devi Sri Prasad","Nizar Shafi","Prawin Pudi","Prasanna Kumar","Dil Raju",439057,"Romance; Comedy; Family"
2017,"Ninnu Kori","Nani","Nivetha Thomas","Shiva Nirvana","Gopi Sundar","Karthik Ghattamaneni","Prawin Pudi","Kona Venkat","DVV Danayya",465099,"Comedy; Romance; Family"
2016,"Majnu","Nani","Anu Emmanuel","Virinchi Varma","Gopi Sundar","Gnana Shekar V.S.","Prawin Pudi","Virinchi Varma","Geetha Golla",409254,"Drama; Romance; Comedy"
2016,"Gentleman","Nani","Nivetha Thomas","M. K. Indraganti","Mani Sharma","P. G. Vinda","Marthand K. Venkatesh","R. David Nathan","S. Krishna Prasad",400247,"Thriller; Mystery; Romance"
2016,"Krishna Gaadi Veera Prema Gaadha","Nani","Mehreen Pirzada","Hanu Raghavapudi","Vishal Chandrasekhar","Yuvraj","M. R. Varmaa","Hanu Raghavapudi","Ram Achanta",384420,"Romance; Comedy; Action"
2015,"Janda Pai Kapiraju","Nani","Amala Paul","Samuthirakani","G. V. Prakash Kumar","M. Sukumar","S.N.Fazil","Samuthirakani","K. S. Sreenivasan",263995,"Action; Romance; Thriller"
2015,"Bhale Bhale Magadivoy","Nani","Lavanya Tripathi","Maruthi Dasari","Gopi Sundar","Nizar Shafi","S.B. Uddhav","Maruthi Dasari","Bunny Vas",367553,"Romance; Comedy"
2015,"Yevade Subramanyam","Nani","Malavika Nair","Nag Ashwin","Radhan","Rakesh E","Kotagiri Venkateswara Rao","Nag Ashwin","Priyanka Dutt",332831,"Adventure; Comedy; Drama"
2014,"Aaha Kalyanam","Nani","Vaani Kapoor","A. Gokul Krishna","Dharan Kumar","Loganathan Srinivasan","Bavan Sreekumar","A. Gokul Krishna","Aditya Chopra",251898,"Romance; Comedy"
2013,"Paisa","Nani","Catherine Tresa","Krishna Vamsi","Sai Karthik","Bhaskar Samala","S. Ravikanth","Padmasri, K.K. Binojee","Ramesh Puppala",233633,"Drama; Romance; Social"
2012,"Yeto Vellipoyindhi Manasu","Nani","Samantha","G. V. Menon","Ilaiyaraaja","M. S. Prabhu","Anthony","G. V. Menon","C. Kalyan",149262,"Romance; Drama"
2012,"Eega","Nani","Samantha","S.S. Rajamouli","M. M. Keeravani","K. K. Senthil Kumar","Kotagiri Venkateswara Rao","S.S. Rajamouli","Sai Korrapati",148265,"Fantasy; Action; Thriller"
