Year,Title,Slug,Director,Heroine,Music Director,Cinematographer,Editor,Writer,Producer,TMDB ID,Missing Fields
2026,"The Paradise",the-paradise-2026,"Srikanth Odela","Sonali Kulkarni","Anirudh Ravichander","","Naveen Nooli","Srikanth Odela","Sudhakar Cherukuri",1376856,"cinematographer"
2025,"HIT: The Third Case",hit-the-third-case-2025,"Sailesh Kolanu","Srinidhi Shetty","Mickey J Meyer","","Karthika Srinivas","Sailesh Kolanu","Prashanti Tipirneni",1060046,"cinematographer"
2024,"Saripodhaa Sanivaaram",saripodhaa-sanivaaram-2024,"Vivek Athreya","Priyanka Arul Mohan","Jakes Bejoy","","Karthika Srinivas","Vivek Athreya","Kalyan Dasari",1194915,"cinematographer"
2023,"Hi Nanna",hi-nanna-2023,"Shouryuv","Mrunal Thakur","Hesham Abdul Wahab","","Praveen Antony","Shouryuv","Mohan Cherukuri",1068452,"cinematographer"
2023,"Dasara",dasara-2023,"Srikanth Odela","Keerthy Suresh","Santhosh Narayanan","","Naveen Nooli","Jella Srinath","Sudhakar Cherukuri",885184,"cinematographer"
2022,"Ante... Sundaraniki!",ante-sundaraniki-2022,"Vivek Athreya","Nazriya Nazim","Vivek Sagar","","Raviteja Girijala","Vivek Athreya","Naveen Yerneni",834654,"cinematographer"
2021,"Shyam Singha Roy",shyam-singha-roy-2021,"Rahul Sankrityan","Sai Pallavi","Mickey J Meyer","","Naveen Nooli","Rahul Sankrityan","Venkat Boyanapalli",799676,"cinematographer"
2021,"Tuck Jagadish",tuck-jagadish-2021,"Shiva Nirvana","Ritu Varma","Gopi Sundar","","Prawin Pudi","Shiva Nirvana","Sahu Garapati",784963,"cinematographer"
2020,"V",v-2020,"Mohana Krishna Indraganti","Nivetha Thomas","Amit Trivedi","","Marthand K Venkatesh","Mohana Krishna Indraganti","Dil Raju",683342,"cinematographer"
2019,"Nani's Gang Leader",nanis-gang-leader-2019,"Vikram Kumar","Lakshmi","Anirudh Ravichander","","Naveen Nooli","Vikram Kumar","Mohan Cherukuri",612402,"cinematographer"
2018,"Krishnarjuna Yuddham",krishnarjuna-yuddham-2018,"Merlapaka Gandhi","Anupama Parameswaran","Hiphop Tamizha","Karthik Ghattamaneni","Satya Giduturi","Merlapaka Gandhi","",,"producer, tmdb_id"
2017,"Nenu Local",nenu-local-2017,"Trinadha Rao Nakkina","Keerthy Suresh","Devi Sri Prasad","","Sai Krishna","Trinadha Rao Nakkina","Dil Raju",439057,"cinematographer"
2017,"M.c.a",mca-2017,"Venu Sree Raam","Bhumika Chawla","Devi Sri Prasad","","Prawin Pudi","Venu Sriram","Dil Raju",485869,"cinematographer"
2017,"Ninnu Kori",ninnu-kori-2017,"Shiva Nirvana","Nivetha Thomas","Gopi Sundar","","Prawin Pudi","Kona Venkat","DVV Danayya",465099,"cinematographer"
2016,"Gentleman",gentleman-2016,"Mohana Krishna","Nivetha Thomas","Mohan Krishna Indraganti","","Marthand K. Venkatesh","R. David Nathan","Sivalenka Krishna Prasad",,"cinematographer, tmdb_id"
2016,"Majnu",majnu-2016,"Virinchi Varma","Anu Emmanuel","Doniyor Agzamov","","Prawin Pudi","Virinchi Varma","Diyor Mahkamov",,"cinematographer, tmdb_id"
2016,"Krishna Gaadi Veera Prema Gaadha",krishna-gaadi-veera-prema-gaadha-2016,"Hanu Raghavapudi","Mehreen Pirzada","Vishal Chandrasekhar","","M. R. Varmaa","","Ram Achanta Gopichand Achanta Anil Sunkara",384420,"cinematographer, writer"
2015,"Janda Pai Kapiraju",janda-pai-kapiraju-2015,"Samuthirakani","Amala Paul","G. V. Prakash Kumar","","S.N.Fazil","Samuthirakani","K. S. Sreenivasan",263995,"cinematographer"
2015,"Yevade Subramanyam",yevade-subramanyam-2015,"Nag Ashwin","Malavika Nair","Radhan","","Kotagiri Venkateswara Rao","Nag Ashwin","Priyanka Dutt",332831,"cinematographer"
2013,"Paisa",paisa-2013,"Krishna Vamsi","Catherine Tresa","Sai Karthik","","Leopoldo Joe Nakata","Eliane Caffé","Luciana Farias",,"cinematographer, tmdb_id"
2012,"Yeto Vellipoyindhi Manasu",yeto-vellipoyindhi-manasu-2012,"Gautham Vasudev Menon","Samantha","Ilaiyaraaja","","Anthony","Gautham Vasudev Menon","Gautham Vasudev Menon",149262,"cinematographer"
2011,"Pilla Zamindar",pilla-zamindar-2011,"Ashok G.","Hariprriya","V. Selvaganesh","","Praveen Poodi","Ashok G.","D.S. Rao",85818,"cinematographer"
2011,"Ala Modalaindi",ala-modalaindi-2011,"B. V. Nandini Reddy","Nithya Menen","Kalyani Malik","","Marthand K Venkatesh","Lakshmi Bhoopal","K. L. Damodar Prasad",57010,"cinematographer"
2010,"Bheemili Kabaddi Jattu",bheemili-kabaddi-jattu-2010,"Tatineni Satya","Kishore","V. Selvaganesh","K. Chitti Babu","","Suseenthiran","N V Prasad",200034,"editor"
2010,"Alasyam Amrutham",alasyam-amrutham-2010,"Trivikram Srinivas","Anushka Shetty","Koti","Poorna Kandru","Marthand K. Venkatesh","S. Prudhvi Teja (Story), Chandra Mahesh (Screenplay), Paruchuri Brothers (Dialogues)","",,"producer, tmdb_id"
2009,"Snehituda",snehituda-2009,"Satyam Bellamkonda","Madhavi Latha","Shiva Shankar","Vasu","","Satyam Bellamkonda","Prasad",109369,"editor"
2008,"Ashta Chamma",ashta-chamma-2008,"Mohan Krishna Indraganti","Bhargavi","Kalyani Malik","","Marthand K Venkatesh","Oscar Wilde","Ram Mohan P",80889,"cinematographer"
