"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Billa","2009","lead","Yes","","tmdb, wikidata","0.75","Exists","23766","tt1525323"
"Ek Niranjan","2009","lead","Yes","","tmdb, wikidata","0.75","Exists","38220","tt1579540"
"Mr. Perfect","2011","lead","Yes","","tmdb, wikidata","0.75","Exists","63376","tt1852036"
"Darling","2010","lead","Yes","","tmdb, wikidata","0.75","Exists","63414","tt1649303"
"Varsham","2004","lead","Yes","","tmdb, wikidata","0.75","Exists","82322","tt0439869"
"Chatrapathi","2005","lead","Yes","","tmdb","0.50","Exists","79210",""
"Chakram","2005","lead","Yes","","tmdb, wikidata","0.75","Exists","132437","tt0455385"
"Bujjigaadu: Made in Chennai","2008","lead","Yes","","tmdb","0.50","Exists","117029",""
"Eeshwar","2002","lead","Yes","","tmdb, wikidata","0.75","Exists","117085","tt0924219"
"Rebel","2012","lead","Yes","","tmdb, wikidata","0.75","Exists","135870","tt2235858"
"Raghavendra","2003","lead","Yes","","tmdb, wikidata","0.75","Exists","202080","tt0924271"
"Mirchi","2013","lead","Yes","","tmdb, wikidata","0.75","Exists","176590","tt2469980"
"Munna","2007","lead","Yes","","tmdb, wikidata","0.75","Exists","199229","tt0897374"
"Pournami","2006","lead","Yes","","tmdb, wikidata","0.75","Added","226200","tt0471862"
"Salaar: Part 1 - Ceasefire","2023","lead","Yes","","tmdb","0.50","Exists","770906",""
"Adavi Ramudu","2004","lead","Yes","","tmdb, wikidata","0.75","Exists","228096","tt0416458"
"Yogi","2007","lead","Yes","","tmdb, wikidata","0.75","Exists","228092","tt0887793"
"Bāhubali: The Beginning","2015","lead","Yes","","tmdb","0.50","Exists","256040",""
"Kannappa","2025","supporting","No","","tmdb","0.50","Added","1232232",""
"Action Jackson","2014","cameo","No","","tmdb","0.50","Added","308165",""
"Fauzi","2026","lead","Yes","","tmdb","0.50","Added","1257973",""
"Bāhubali 2: The Conclusion","2017","lead","Yes","","tmdb","0.50","Exists","350312",""
"Modern Masters: SS Rajamouli","2024","supporting","No","","tmdb","0.50","Added","1313130",""
"Saaho","2019","lead","Yes","","tmdb, wikidata","0.75","Exists","454292","tt6836936"
"Radhe Shyam","2022","lead","Yes","","tmdb, wikidata","0.75","Exists","673392","tt8960382"
"Adipurush","2023","lead","Yes","","tmdb, wikidata","0.75","Exists","734253","tt12915716"
"Kalki 2898-AD","2024","lead","Yes","","tmdb","0.50","Exists","801688",""
"The Rajasaab","2026","lead","Yes","","tmdb","0.50","Exists","1022453",""
"Bāhubali: The Epic","2025","lead","Yes","","tmdb","0.50","Exists","1511417",""
"Mirai","2025","voice","No","","tmdb","0.50","Added","1222479",""
"Baahubali: The Eternal War – Part 1","2027","voice","No","","tmdb","0.50","Exists","1570976",""
"Filmfare Awards South","2004","lead","Yes","","wikipedia","0.50","Exists","",""
"Filmfare Awards South","2005","lead","Yes","","wikipedia","0.50","Exists","",""
"CineMAA Awards","2010","lead","Yes","","wikipedia","0.50","Exists","",""
"Filmfare Awards South","2011","lead","Yes","","wikipedia","0.50","Exists","",""
"Filmfare Awards South","2013","lead","Yes","","wikipedia","0.50","Exists","",""
"IIFA Utsavam","2015","lead","Yes","","wikipedia","0.50","Exists","",""
"Filmfare Awards South","2017","lead","Yes","","wikipedia","0.50","Exists","",""
"Chhatrapati","2005","supporting","No","","wikidata","0.50","Exists","","tt0843328"
"Bujjigadu","2008","supporting","No","","wikidata","0.50","Added","","tt1194104"
"Baahubali: The Beginning","2015","supporting","No","","wikidata","0.50","Added","","tt2631186"
"Baahubali: The Beginning","2016","supporting","No","","wikidata","0.50","Added","","tt2631186"
"Baahubali: The Beginning","2017","supporting","No","","wikidata","0.50","Added","","tt2631186"
"Baahubali 2: The Conclusion","2017","supporting","No","","wikidata","0.50","Exists","","tt4849438"
"Baahubali 2: The Conclusion","2018","supporting","No","","wikidata","0.50","Exists","","tt4849438"
"Jack & Daniel","2019","supporting","No","","wikidata","0.50","Added","","tt10087134"
"'Salaar: Part 2 – Shouryanga Parvam","2023","supporting","No","","wikidata","0.50","Added","","tt13927994"
"Kalki 2898 AD","2024","supporting","No","","wikidata","0.50","Added","","tt12735488"
"Mirai (2025 film)","2025","supporting","No","","wikidata","0.50","Added","","tt30858568"
