"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Chirutha","2007","supporting","No","","wikidata","0.50","Exists","","tt1105721"
"Magadheera","2009","supporting","No","","wikidata","0.50","Exists","","tt1447500"
"Orange","2010","supporting","No","","wikidata","0.50","Exists","","tt1533748"
"Rachcha","2012","supporting","No","","wikidata","0.50","Added","","tt2287973"
"Naayak","2013","supporting","No","","wikidata","0.50","Added","","tt2440354"
"Zanjeer","2013","supporting","No","","wikidata","0.50","Exists","","tt2357489"
"Yevadu","2014","supporting","No","","wikidata","0.50","Exists","","tt2211173"
"Govindudu Andarivadele","2014","supporting","No","","wikidata","0.50","Exists","","tt3802668"
"Bruce Lee - The Fighter","2015","supporting","No","","wikidata","0.50","Exists","","tt5038448"
"Dhruva","2016","supporting","No","","wikidata","0.50","Added","","tt6027478"
"Rangasthalam","2018","supporting","No","","wikidata","0.50","Exists","","tt7392212"
"Vinaya Vidheya Rama","2019","supporting","No","","wikidata","0.50","Exists","","tt8361196"
"RRR","2022","supporting","No","","wikidata","0.50","Added","","tt8178634"
"Game Changer","2025","supporting","No","","wikidata","0.50","Exists","","tt14209618"
