"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Balupu","2013","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt2654480"
"Power","2014","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt3949638"
"Raja the Great","2017","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt7322850"
"Disco Raja","2020","lead","Yes","","wikipedia","0.50","Exists","",""
"Ravanasura","2023","lead","Yes","","wikipedia","0.50","Exists","",""
"Nee Kosam","1999","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt1606299"
"Khadgam","2002","lead","Yes","","wikipedia, wikidata","0.75","Added","","tt0339252"
"Krishna","2008","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt1173506"
"Kick","2009","lead","Yes","","wikipedia, wikidata","0.75","Exists","","tt1579592"
"Neninthe","2010","lead","Yes","","wikipedia","0.50","Exists","",""
"Waltair Veerayya","2023","lead","Yes","","wikipedia, wikidata","0.75","Added","","tt15281402"
"Allari Priyudu","1993","supporting","No","","wikidata","0.50","Added","","tt0257385"
"Sindhooram","1997","supporting","No","","wikidata","0.50","Added","","tt1885372"
"Samudram","1999","supporting","No","","wikidata","0.50","Added","","tt1268906"
"Premaku Velayara","1999","supporting","No","","wikidata","0.50","Added","","tt1575660"
"Annayya","2000","supporting","No","","wikidata","0.50","Added","","tt0239236"
"Itlu Sravani Subramanyam","2001","supporting","No","","wikidata","0.50","Exists","","tt1606253"
"Avunu Valliddaru Ista Paddaru!","2002","supporting","No","","wikidata","0.50","Added","","tt0318338"
"Idiot","2002","supporting","No","","wikidata","0.50","Exists","","tt1606248"
"Amma Nanna O Tamila Ammayi","2003","supporting","No","","wikidata","0.50","Exists","","tt0374497"
"Dongodu","2003","supporting","No","","wikidata","0.50","Exists","","tt0377127"
"Ee Abbai Chala Manchodu","2003","supporting","No","","wikidata","0.50","Exists","","tt2363161"
"Veede","2003","supporting","No","","wikidata","0.50","Exists","","tt0386102"
"Oka Raju Oka Rani","2003","supporting","No","","wikidata","0.50","Exists","","tt0373202"
"Chanti","2004","supporting","No","","wikidata","0.50","Exists","","tt2387419"
"Venky","2004","supporting","No","","wikidata","0.50","Exists","","tt0417229"
"Naa Autograph","2004","supporting","No","","wikidata","0.50","Exists","","tt0959328"
"Bhadra","2005","supporting","No","","wikidata","0.50","Exists","","tt0805492"
"Bhageeratha","2005","supporting","No","","wikidata","0.50","Exists","","tt0978570"
"Khatarnak","2006","supporting","No","","wikidata","0.50","Exists","","tt0924234"
"Shock","2006","supporting","No","","wikidata","0.50","Exists","","tt0843379"
"Vikramarkudu","2006","supporting","No","","wikidata","0.50","Exists","","tt0858492"
"Dubai Seenu","2007","supporting","No","","wikidata","0.50","Exists","","tt0944195"
"Baladur","2008","supporting","No","","wikidata","0.50","Added","","tt1263658"
"Neninthe","2008","supporting","No","","wikidata","0.50","Exists","","tt1426937"
"Anjaneyulu","2009","supporting","No","","wikidata","0.50","Exists","","tt1579526"
"Shambo Shiva Shambo","2010","supporting","No","","wikidata","0.50","Exists","","tt1637995"
"Don Seenu","2010","supporting","No","","wikidata","0.50","Exists","","tt1692189"
"Dongala Mutha","2011","supporting","No","","wikidata","0.50","Exists","","tt1860215"
"Mirapakay","2011","supporting","No","","wikidata","0.50","Exists","","tt1814797"
"Veera","2011","supporting","No","","wikidata","0.50","Exists","","tt1783411"
"Devudu Chesina Manushulu","2012","supporting","No","","wikidata","0.50","Exists","","tt2342061"
"Sarocharu","2012","supporting","No","","wikidata","0.50","Exists","","tt2520342"
"Daruvu","2012","supporting","No","","wikidata","0.50","Exists","","tt2304573"
"Nippu","2012","supporting","No","","wikidata","0.50","Exists","","tt2175823"
"Romeo","2014","supporting","No","","wikidata","0.50","Added","","tt4112274"
"Kick 2","2015","supporting","No","","wikidata","0.50","Exists","","tt4958666"
"Bengal Tiger","2015","supporting","No","","wikidata","0.50","Exists","","tt5266218"
"Touch Chesi Chudu","2018","supporting","No","","wikidata","0.50","Exists","","tt6468814"
"Nela Ticket","2018","supporting","No","","wikidata","0.50","Exists","","tt8133888"
"Amar Akbar Anthony","2018","supporting","No","","wikidata","0.50","Exists","","tt8107464"
"Tiger Nageswara Rao","2023","supporting","No","","wikidata","0.50","Exists","","tt9688874"
"Hanu Man","2024","supporting","No","","wikidata","0.50","Added","","tt15433956"
