"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Chembaruthi","1992","supporting","No","","wikidata","0.50","Added","","tt0259241"
"Uzhaippali","1993","supporting","No","","wikidata","0.50","Added","","tt0318797"
"Indhu","1994","supporting","No","","wikidata","0.50","Added","","tt4862418"
"Athiradi Padai","1994","supporting","No","","wikidata","0.50","Added","","tt0317055"
"Bhairava Dweepam","1994","supporting","No","","wikidata","0.50","Exists","","tt0264415"
"Bobbili Simham","1994","supporting","No","","wikidata","0.50","Exists","","tt1579532"
"Shubha Lagnam","1994","supporting","No","","wikidata","0.50","Added","","tt0267927"
"Mugguru Monagallu","1994","supporting","No","","wikidata","0.50","Exists","","tt0246090"
"Asuran","1995","supporting","No","","wikidata","0.50","Added","","tt10160390"
"Big Boss","1995","supporting","No","","wikidata","0.50","Exists","","tt0245768"
"Makkal Aatchi","1995","supporting","No","","wikidata","0.50","Added","","tt0271625"
"Pokiri Raja","1995","supporting","No","","wikidata","0.50","Exists","","tt1579659"
"Raja Muthirai","1995","supporting","No","","wikidata","0.50","Added","","tt33203812"
"Ghatotkachudu","1995","supporting","No","","wikidata","0.50","Exists","","tt0267524"
"Tamizh Selvan","1996","supporting","No","","wikidata","0.50","Added","","tt10168928"
"Adimai Changili","1997","supporting","No","","wikidata","0.50","Added","","tt31186533"
"Annamayya","1997","supporting","No","","wikidata","0.50","Added","","tt0249361"
"Peddannayya","1997","supporting","No","","wikidata","0.50","Exists","","tt1579854"
"Kadavul","1997","supporting","No","","wikidata","0.50","Added","","tt0317792"
"En Aasai Rasave","1998","supporting","No","","wikidata","0.50","Added","","tt1725965"
"Unnidathil Ennai Koduthen","1998","supporting","No","","wikidata","0.50","Added","","tt0976183"
"Chinna Durai","1999","supporting","No","","wikidata","0.50","Added","","tt0280548"
"Chinna Raja","1999","supporting","No","","wikidata","0.50","Added","","tt11603262"
"Sultan","1999","supporting","No","","wikidata","0.50","Exists","","tt1575688"
"Mugham","1999","supporting","No","","wikidata","0.50","Added","","tt0289345"
"Eazhaiyin Sirippil","2000","supporting","No","","wikidata","0.50","Added","","tt8954404"
"Sandhitha Velai","2000","supporting","No","","wikidata","0.50","Added","","tt14814194"
"Thirunelveli","2000","supporting","No","","wikidata","0.50","Added","","tt8052464"
"Mitta Miraasu","2001","supporting","No","","wikidata","0.50","Added","","tt10168534"
"Sonnal Thaan Kaadhala","2001","supporting","No","","wikidata","0.50","Added","","tt15010664"
"Kottai Mariamman","2001","supporting","No","","wikidata","0.50","Added","","tt3817988"
"Family Circus","2001","supporting","No","","wikidata","0.50","Exists","","tt0285084"
"Angala Parameswari","2002","supporting","No","","wikidata","0.50","Added","","tt14728348"
"Malayali Mamanu Vanakkam","2002","supporting","No","","wikidata","0.50","Added","","tt0355729"
"Kottai Mariamman","2002","supporting","No","","wikidata","0.50","Added","","tt3817988"
"Arasu","2003","supporting","No","","wikidata","0.50","Added","","tt1479670"
"Maurya","2004","supporting","No","","wikidata","0.50","Added","","tt6536784"
"Pasa Kiligal","2006","supporting","No","","wikidata","0.50","Added","","tt1054636"
"Parijatham","2006","supporting","No","","wikidata","0.50","Added","","tt1365496"
"Kuttrapathirikai","2007","supporting","No","","wikidata","0.50","Added","","tt13667538"
"Golimaar","2010","supporting","No","","wikidata","0.50","Added","","tt1666308"
"Sri Rama Rajyam","2011","supporting","No","","wikidata","0.50","Added","","tt1783377"
"Kaavalan","2011","supporting","No","","wikidata","0.50","Added","","tt1821478"
"Mogudu","2011","supporting","No","","wikidata","0.50","Exists","","tt2093185"
"Pavitra","2013","supporting","No","","wikidata","0.50","Added","","tt6915090"
