"Title","Year","Role Type","Is Primary","Appears As","Sources","Confidence","Status","TMDB ID","IMDb ID"
"Samsaram","1950","supporting","No","","wikidata","0.50","Added","","tt0255567"
"Patala Bhairavi","1951","supporting","No","","wikidata","0.50","Added","","tt0043908"
"Palletooru","1952","supporting","No","","wikidata","0.50","Added","","tt0254652"
"Pelli Chesi Choodu","1952","supporting","No","","wikidata","0.50","Exists","","tt0255470"
"Adarsham","1952","supporting","No","","wikidata","0.50","Added","","tt0154114"
"Shanti","1952","supporting","No","","wikidata","0.50","Added","","tt0257165"
"Devadasu","1953","supporting","No","","wikidata","0.50","Exists","","tt0256719"
"Bratuku Theruvu","1953","supporting","No","","wikidata","0.50","Added","","tt0263155"
"Chandraharam","1954","supporting","No","","wikidata","0.50","Added","","tt0263191"
"Parivartana","1954","supporting","No","","wikidata","0.50","Added","","tt0254660"
"Ardhangi","1955","supporting","No","","wikidata","0.50","Added","","tt0255807"
"Donga Ramudu","1955","supporting","No","","wikidata","0.50","Added","","tt0266479"
"Kanyasulkam","1955","supporting","No","","wikidata","0.50","Exists","","tt0252590"
"Vadina","1955","supporting","No","","wikidata","0.50","Exists","","tt0259710"
"Missamma","1955","supporting","No","","wikidata","0.50","Exists","","tt0251847"
"Amara Deepam","1956","supporting","No","","wikidata","0.50","Exists","","tt0254081"
"Bhale Ramudu","1956","supporting","No","","wikidata","0.50","Added","","tt0256650"
"Pennin Perumai","1956","supporting","No","","wikidata","0.50","Added","","tt0256262"
"Mayabazar","1957","supporting","No","","wikidata","0.50","Exists","","tt0249795"
"M.L.A.","1957","supporting","No","","wikidata","0.50","Added","","tt0327024"
"Thodi Kodallu","1957","supporting","No","","wikidata","0.50","Exists","","tt6548518"
"Vanangamudi","1957","supporting","No","","wikidata","0.50","Added","","tt0256421"
"Pathini Deivam","1957","supporting","No","","wikidata","0.50","Added","","tt0247609"
"Annaiyin Aanai","1958","supporting","No","","wikidata","0.50","Added","","tt0247174"
"Kaathavaraayan","1958","supporting","No","","wikidata","0.50","Added","","tt1440212"
"Padhi Bhakti","1958","supporting","No","","wikidata","0.50","Added","","tt0156878"
"Appu Chesi Pappu Koodu","1959","supporting","No","","wikidata","0.50","Exists","","tt0254967"
"Kalathur Kannamma","1960","supporting","No","","wikidata","0.50","Added","","tt0156666"
"Kuravanji","1960","supporting","No","","wikidata","0.50","Added","","tt0369640"
"Nammina Bantu","1960","supporting","No","","wikidata","0.50","Added","","tt0261095"
"Sri Venkateswara Mahatyam","1960","supporting","No","","wikidata","0.50","Added","","tt0256406"
"Chivaraku Migiledi","1960","supporting","No","","wikidata","0.50","Added","","tt0302410"
"Abhimanam","1960","supporting","No","","wikidata","0.50","Exists","","tt0261509"
"Pasamalar","1961","supporting","No","","wikidata","0.50","Added","","tt0156874"
"Pava Mannippu","1961","supporting","No","","wikidata","0.50","Added","","tt0156879"
"Velugu Needalu","1961","supporting","No","","wikidata","0.50","Exists","","tt0264145"
"Aradhana","1962","supporting","No","","wikidata","0.50","Exists","","tt0055757"
"Manchi Manasulu","1962","supporting","No","","wikidata","0.50","Exists","","tt0213855"
"Nartanasala","1962","supporting","No","","wikidata","0.50","Added","","tt0263778"
"Paarthaal Pasi Theerum","1962","supporting","No","","wikidata","0.50","Added","","tt0156873"
"Gundamma Katha","1962","supporting","No","","wikidata","0.50","Added","","tt0262455"
"Chaduvukunna Ammayilu","1963","supporting","No","","wikidata","0.50","Added","","tt0269061"
"Doctor Chakravarthy","1963","supporting","No","","wikidata","0.50","Exists","","tt0260868"
"Karpagam","1963","supporting","No","","wikidata","0.50","Added","","tt0214839"
"Apne Huye Paraye","1964","supporting","No","","wikidata","0.50","Added","","tt0357433"
"Karnan","1964","supporting","No","","wikidata","0.50","Added","","tt0250461"
"Ganga Ki Lahren","1964","supporting","No","","wikidata","0.50","Added","","tt0418698"
"Kai Koduttha Dheivam","1964","supporting","No","","wikidata","0.50","Added","","tt0214848"
"Mooga Manasulu","1964","supporting","No","","wikidata","0.50","Added","","tt0261075"
"Pandava Vanavasam","1965","supporting","No","","wikidata","0.50","Added","","tt0263831"
"Vallavanukku Vallavan","1965","supporting","No","","wikidata","0.50","Added","","tt3498588"
"Thiruvilayadal","1965","supporting","No","","wikidata","0.50","Added","","tt0246986"
"Poojaikku Vandha Malar","1965","supporting","No","","wikidata","0.50","Added","","tt3460800"
"Ummadi Kutumbam","1967","supporting","No","","wikidata","0.50","Exists","","tt0264126"
"Bandhavyalu","1968","supporting","No","","wikidata","0.50","Added","","tt0260724"
"Varakatnam","1968","supporting","No","","wikidata","0.50","Added","","tt0259712"
"Thalli Prema","1968","supporting","No","","wikidata","0.50","Added","","tt7245252"
"Kodalu Diddina Kapuram","1970","supporting","No","","wikidata","0.50","Exists","","tt3005174"
"Allude Menalludu","1970","supporting","No","","wikidata","0.50","Added","","tt0255786"
"Amma Mata","1972","supporting","No","","wikidata","0.50","Added","","tt0186815"
"Chuzhi","1973","supporting","No","","wikidata","0.50","Added","","tt0277633"
"Pooja","1975","supporting","No","","wikidata","0.50","Exists","","tt10478754"
"Amar Deep","1979","supporting","No","","wikidata","0.50","Added","","tt0078761"
"Gorintaku","1979","supporting","No","","wikidata","0.50","Added","","tt0262447"
"Punadhirallu","1979","supporting","No","","wikidata","0.50","Added","","tt0215087"
"Ashwadhamavu","1979","supporting","No","","wikidata","0.50","Added","","tt0243771"
"Varakatnam","2007","supporting","No","","wikidata","0.50","Added","","tt0259712"
